"x","y","z"
44,95,25
45,95,21
45,95,22
45,95,23
45,95,24
45,96,19
45,96,20
46,95,19
46,95,20
46,95,21
46,95,22
46,95,23
46,95,24
46,95,25
46,96,17
46,96,18
46,96,19
46,96,20
46,96,21
46,96,22
46,96,23
46,96,24
46,97,19
46,97,20
46,97,21
46,97,22
46,98,19
46,98,20
47,95,18
47,95,19
47,95,20
47,95,21
47,95,22
47,95,23
47,95,24
47,95,25
47,95,26
47,96,16
47,96,17
47,96,18
47,96,19
47,96,20
47,96,21
47,96,22
47,96,23
47,96,24
47,96,25
47,97,17
47,97,18
47,97,19
47,97,20
47,97,21
47,97,22
47,97,23
47,97,24
47,97,25
47,98,18
47,98,19
47,98,20
47,98,21
47,98,22
47,98,23
47,99,19
47,99,20
47,99,21
47,99,22
47,99,23
47,100,20
48,95,18
48,95,19
48,95,20
48,95,21
48,95,22
48,95,23
48,95,24
48,95,25
48,95,26
48,95,27
48,95,28
48,96,16
48,96,17
48,96,18
48,96,19
48,96,20
48,96,21
48,96,22
48,96,23
48,96,24
48,96,25
48,96,26
48,96,27
48,97,17
48,97,18
48,97,19
48,97,20
48,97,21
48,97,22
48,97,23
48,97,24
48,97,25
48,97,26
48,98,17
48,98,18
48,98,19
48,98,20
48,98,21
48,98,22
48,98,23
48,98,24
48,99,18
48,99,19
48,99,20
48,99,21
48,99,22
48,99,23
48,100,19
48,100,20
48,100,21
48,100,22
49,95,17
49,95,18
49,95,19
49,95,20
49,95,21
49,95,22
49,95,23
49,95,24
49,95,25
49,95,26
49,95,27
49,95,28
49,95,29
49,95,30
49,96,15
49,96,16
49,96,17
49,96,18
49,96,19
49,96,20
49,96,21
49,96,22
49,96,23
49,96,24
49,96,25
49,96,26
49,96,27
49,96,28
49,96,29
49,97,16
49,97,17
49,97,18
49,97,19
49,97,20
49,97,21
49,97,22
49,97,23
49,97,24
49,97,25
49,97,26
49,97,27
49,98,17
49,98,18
49,98,19
49,98,20
49,98,21
49,98,22
49,98,23
49,98,24
49,98,25
49,98,26
49,99,17
49,99,18
49,99,19
49,99,20
49,99,21
49,99,22
49,99,23
49,99,24
49,100,18
49,100,19
49,100,20
49,100,21
49,100,22
49,100,23
50,95,17
50,95,18
50,95,19
50,95,20
50,95,21
50,95,22
50,95,23
50,95,24
50,95,25
50,95,26
50,95,27
50,95,28
50,95,29
50,95,30
50,95,31
50,96,15
50,96,16
50,96,17
50,96,18
50,96,19
50,96,20
50,96,21
50,96,22
50,96,23
50,96,24
50,96,25
50,96,26
50,96,27
50,96,28
50,96,29
50,96,30
50,96,31
50,97,16
50,97,17
50,97,18
50,97,19
50,97,20
50,97,21
50,97,22
50,97,23
50,97,24
50,97,25
50,97,26
50,97,27
50,97,28
50,97,29
50,97,30
50,98,16
50,98,17
50,98,18
50,98,19
50,98,20
50,98,21
50,98,22
50,98,23
50,98,24
50,98,25
50,98,26
50,98,27
50,98,28
50,99,17
50,99,18
50,99,19
50,99,20
50,99,21
50,99,22
50,99,23
50,99,24
50,99,25
50,99,26
50,100,17
50,100,18
50,100,19
50,100,20
50,100,21
50,100,22
50,100,23
50,100,24
50,100,25
51,95,16
51,95,17
51,95,18
51,95,19
51,95,20
51,95,21
51,95,22
51,95,26
51,95,27
51,95,28
51,95,29
51,95,30
51,95,31
51,96,15
51,96,16
51,96,17
51,96,18
51,96,19
51,96,20
51,96,21
51,96,22
51,96,23
51,96,24
51,96,25
51,96,26
51,96,27
51,96,28
51,96,29
51,96,30
51,96,31
51,97,16
51,97,17
51,97,18
51,97,19
51,97,20
51,97,21
51,97,22
51,97,23
51,97,24
51,97,25
51,97,26
51,97,27
51,97,28
51,97,29
51,97,30
51,97,31
51,98,16
51,98,17
51,98,18
51,98,19
51,98,20
51,98,21
51,98,22
51,98,23
51,98,24
51,98,25
51,98,26
51,98,27
51,98,28
51,98,29
51,98,30
51,99,17
51,99,18
51,99,19
51,99,20
51,99,21
51,99,22
51,99,23
51,99,24
51,99,25
51,99,26
51,99,27
51,99,28
51,100,17
51,100,18
51,100,19
51,100,20
51,100,21
51,100,22
51,100,23
51,100,24
51,100,25
51,100,26
52,95,16
52,95,17
52,95,18
52,95,19
52,95,20
52,95,21
52,95,27
52,95,28
52,96,16
52,96,17
52,96,18
52,96,19
52,96,20
52,96,21
52,96,22
52,96,23
52,96,24
52,96,25
52,96,26
52,96,27
52,96,28
52,96,29
52,97,16
52,97,17
52,97,18
52,97,19
52,97,20
52,97,21
52,97,22
52,97,23
52,97,24
52,97,25
52,97,26
52,97,27
52,97,28
52,97,29
52,98,16
52,98,17
52,98,18
52,98,19
52,98,20
52,98,21
52,98,22
52,98,23
52,98,24
52,98,25
52,98,26
52,98,27
52,98,28
52,98,29
52,99,17
52,99,18
52,99,19
52,99,20
52,99,21
52,99,22
52,99,23
52,99,24
52,99,25
52,99,26
52,99,27
52,99,28
52,99,29
52,100,17
52,100,18
52,100,19
52,100,20
52,100,21
52,100,22
52,100,23
52,100,24
52,100,25
52,100,26
53,95,16
53,95,17
53,95,18
53,95,19
53,95,20
53,96,16
53,96,17
53,96,18
53,96,19
53,96,20
53,96,21
53,96,25
53,96,26
53,97,17
53,97,18
53,97,19
53,97,20
53,97,21
53,97,22
53,97,23
53,97,24
53,97,25
53,97,26
53,97,27
53,97,28
53,98,17
53,98,18
53,98,19
53,98,20
53,98,21
53,98,22
53,98,23
53,98,24
53,98,25
53,98,26
53,98,27
53,98,28
53,99,17
53,99,18
53,99,19
53,99,20
53,99,21
53,99,22
53,99,23
53,99,24
53,99,25
53,99,26
53,99,27
53,99,28
53,100,18
53,100,19
53,100,20
53,100,21
53,100,22
53,100,23
53,100,24
53,100,25
54,95,17
54,95,18
54,95,19
54,96,18
54,96,19
54,97,17
54,97,18
54,97,19
54,97,20
54,97,21
54,97,22
54,97,23
54,97,24
54,97,25
54,97,26
54,98,18
54,98,19
54,98,20
54,98,21
54,98,22
54,98,23
54,98,24
54,98,25
54,98,26
54,99,18
54,99,19
54,99,20
54,99,21
54,99,22
54,99,23
54,99,24
54,100,20
54,100,21
54,100,22
55,95,17
55,95,18
55,95,19
55,97,19
55,97,20
55,97,21
55,97,22
55,97,23
55,98,20
55,98,21
55,98,22
55,99,19
55,99,20
55,99,21
56,95,19
97,95,18
97,95,19
97,96,18
97,96,19
97,96,20
97,97,18
97,97,19
97,97,20
97,97,21
97,97,26
97,98,18
97,98,19
97,98,20
97,98,21
97,98,22
97,98,23
97,98,24
97,98,25
97,98,26
98,95,16
