"x","y","z"
34,90,42
34,90,43
34,91,42
34,92,41
34,92,42
35,77,52
35,77,53
35,77,54
35,79,51
35,79,52
35,79,53
35,79,54
35,80,50
35,80,51
35,80,52
35,80,53
35,80,54
35,81,50
35,81,51
35,81,52
35,81,53
35,82,48
35,82,49
35,82,50
35,82,51
35,82,52
35,82,53
35,83,48
35,83,49
35,83,50
35,83,51
35,83,52
35,84,47
35,84,48
35,84,49
35,84,50
35,84,51
35,85,46
35,85,47
35,85,48
35,85,49
35,85,50
35,86,45
35,86,46
35,86,47
35,86,48
35,86,49
35,87,44
35,87,45
35,87,46
35,87,47
35,87,48
35,88,42
35,88,43
35,88,44
35,88,45
35,88,46
35,88,47
35,88,48
35,89,42
35,89,43
35,89,44
35,89,45
35,89,46
35,89,47
35,90,40
35,90,41
35,90,42
35,90,43
35,90,44
35,90,45
35,90,46
35,90,47
35,91,40
35,91,41
35,91,42
35,91,43
35,91,44
35,91,45
35,91,46
35,91,47
35,92,36
35,92,37
35,92,39
35,92,40
35,92,41
35,92,42
35,92,43
35,92,44
35,92,45
35,92,46
35,93,37
35,93,38
35,93,39
35,93,40
35,93,41
35,93,42
35,93,43
35,93,44
35,93,45
35,94,37
35,94,38
35,94,39
35,94,40
35,94,41
35,94,42
35,94,43
35,94,44
35,95,31
35,95,36
35,95,37
35,95,38
35,95,39
35,95,40
35,95,41
35,95,42
35,95,43
35,96,35
35,96,36
35,96,37
35,96,38
35,96,39
35,96,40
35,96,41
35,96,42
35,97,34
35,97,35
35,97,36
35,97,37
35,97,38
35,97,39
35,97,40
35,97,41
35,98,33
35,98,34
35,98,35
35,98,36
35,98,37
35,98,38
35,98,39
35,98,40
35,98,41
35,99,34
35,99,35
35,99,36
35,99,37
35,99,38
35,100,34
35,100,36
35,100,37
36,75,55
36,75,56
36,76,54
36,76,55
36,76,56
36,77,51
36,77,52
36,77,53
36,77,54
36,77,55
36,78,51
36,78,52
36,78,53
36,78,54
36,78,55
36,79,50
36,79,51
36,79,52
36,79,53
36,79,54
36,79,55
36,79,56
36,80,50
36,80,51
36,80,52
36,80,53
36,80,54
36,80,55
36,81,49
36,81,50
36,81,51
36,81,52
36,81,53
36,81,54
36,81,55
36,82,47
36,82,48
36,82,49
36,82,50
36,82,51
36,82,52
36,82,53
36,82,54
36,83,47
36,83,48
36,83,49
36,83,50
36,83,51
36,83,52
36,83,53
36,83,54
36,84,46
36,84,47
36,84,48
36,84,49
36,84,50
36,84,51
36,84,52
36,84,53
36,84,54
36,85,45
36,85,46
36,85,47
36,85,48
36,85,49
36,85,50
36,85,51
36,85,52
36,85,53
36,86,43
36,86,44
36,86,45
36,86,46
36,86,47
36,86,48
36,86,49
36,86,50
36,86,51
36,86,52
36,86,53
36,87,42
36,87,43
36,87,44
36,87,45
36,87,46
36,87,47
36,87,48
36,87,49
36,87,50
36,87,51
36,88,40
36,88,41
36,88,42
36,88,43
36,88,44
36,88,45
36,88,46
36,88,47
36,88,48
36,88,49
36,88,50
36,89,40
36,89,41
36,89,42
36,89,43
36,89,44
36,89,45
36,89,46
36,89,47
36,89,48
36,89,49
36,89,50
36,90,39
36,90,40
36,90,41
36,90,42
36,90,43
36,90,44
36,90,45
36,90,46
36,90,47
36,90,48
36,90,49
36,91,38
36,91,39
36,91,40
36,91,41
36,91,42
36,91,43
36,91,44
36,91,45
36,91,46
36,91,47
36,91,48
36,91,49
36,92,36
36,92,37
36,92,38
36,92,39
36,92,40
36,92,41
36,92,42
36,92,43
36,92,44
36,92,45
36,92,46
36,92,47
36,92,48
36,93,37
36,93,38
36,93,39
36,93,40
36,93,41
36,93,42
36,93,43
36,93,44
36,93,45
36,93,46
36,93,47
36,93,48
36,94,35
36,94,36
36,94,37
36,94,38
36,94,39
36,94,40
36,94,41
36,94,42
36,94,43
36,94,44
36,94,45
36,94,46
36,94,47
36,95,31
36,95,34
36,95,35
36,95,36
36,95,37
36,95,38
36,95,39
36,95,40
36,95,41
36,95,42
36,95,43
36,95,44
36,95,45
36,95,46
36,95,47
36,96,33
36,96,34
36,96,35
36,96,36
36,96,37
36,96,38
36,96,39
36,96,40
36,96,41
36,96,42
36,96,43
36,96,44
36,96,45
36,97,33
36,97,34
36,97,35
36,97,36
36,97,37
36,97,38
36,97,39
36,97,40
36,97,41
36,97,42
36,97,43
36,97,44
36,98,33
36,98,34
36,98,35
36,98,36
36,98,37
36,98,38
36,98,39
36,98,40
36,98,41
36,98,42
36,99,32
36,99,33
36,99,34
36,99,35
36,99,36
36,99,37
36,99,38
36,99,39
36,99,40
36,99,41
36,100,31
36,100,32
36,100,33
36,100,34
36,100,35
36,100,36
36,100,37
36,100,38
