"x","y","z"
58,36,30
58,36,31
58,37,30
58,59,30
58,59,31
58,59,32
58,59,33
58,60,31
58,61,30
59,56,31
59,57,31
59,57,32
59,58,30
59,58,31
59,58,32
59,58,33
59,58,34
59,58,35
59,59,30
59,59,31
59,59,32
59,59,33
59,59,34
59,60,29
59,60,30
59,60,31
59,60,32
59,60,33
59,61,29
59,61,30
59,61,31
59,62,29
59,62,30
60,35,32
60,35,33
60,38,21
60,39,21
60,40,21
60,41,21
60,43,24
60,43,25
60,44,24
60,44,25
60,45,20
60,45,24
60,45,25
60,45,26
60,46,20
60,46,21
60,46,24
60,46,25
60,46,26
60,47,20
60,47,24
60,47,25
60,47,26
60,47,27
60,47,31
60,48,20
60,48,24
60,48,25
60,48,26
60,48,27
60,48,28
60,48,29
60,48,30
60,48,31
60,49,25
60,49,26
60,49,27
60,49,28
60,49,29
60,49,30
60,49,31
60,50,21
60,50,25
60,50,26
60,50,27
60,50,28
60,50,29
60,50,30
60,50,31
60,51,34
60,53,33
60,54,32
60,54,33
60,55,31
60,55,32
60,56,31
60,56,32
60,57,30
60,57,31
60,57,32
60,57,33
60,57,34
60,58,29
60,58,30
60,58,31
60,58,32
60,58,33
60,58,34
60,58,35
60,58,36
60,59,29
60,59,30
60,59,31
60,59,32
60,59,33
60,59,34
60,60,29
60,60,30
60,60,31
60,60,32
60,60,33
60,60,34
60,61,29
60,61,30
60,61,31
60,61,32
60,62,28
60,62,29
60,62,30
60,62,31
60,63,28
60,63,29
60,63,30
60,64,28
61,35,33
61,37,21
61,37,23
61,37,24
61,38,20
61,38,21
61,38,23
61,38,24
61,39,20
61,39,21
61,39,22
61,39,23
61,39,24
61,39,25
61,40,20
61,40,23
61,40,24
61,40,25
61,41,20
61,41,23
61,41,24
61,41,25
61,41,26
61,42,23
61,42,24
61,42,25
61,42,26
61,43,23
61,43,24
61,43,25
61,43,26
61,44,19
61,44,24
61,44,25
61,44,26
61,44,27
61,45,19
61,45,24
61,45,25
61,45,26
61,45,27
61,46,19
61,46,20
61,46,24
61,46,25
61,46,26
61,46,27
61,46,28
61,46,31
61,46,32
61,47,19
61,47,20
61,47,24
61,47,25
61,47,26
61,47,27
61,47,28
61,47,29
61,47,30
61,47,31
61,47,32
61,48,19
61,48,20
61,48,24
61,48,25
61,48,26
61,48,27
61,48,28
61,48,29
