"x","y","z"
35,36,39
36,27,44
36,29,42
36,29,43
36,29,44
36,29,45
36,29,46
36,30,42
36,30,43
36,30,44
36,30,45
36,30,46
36,30,47
36,31,35
36,31,36
36,31,37
36,31,42
36,31,43
36,31,44
36,31,45
36,31,46
36,31,47
36,32,34
36,32,35
36,32,36
36,32,37
36,32,38
36,32,39
36,32,40
36,32,41
36,32,42
36,32,43
36,32,44
36,32,45
36,32,46
36,32,47
36,33,35
36,33,36
36,33,37
36,33,38
36,33,39
36,33,40
36,33,41
36,33,42
36,33,43
36,33,44
36,33,45
36,33,46
36,33,47
36,34,34
36,34,35
36,34,36
36,34,37
36,34,38
36,34,39
36,34,40
36,34,41
36,34,42
36,34,43
36,34,45
36,34,46
36,35,35
36,35,36
36,35,37
36,35,38
36,35,39
36,35,40
36,35,41
36,35,42
36,35,43
36,36,35
36,36,36
36,36,37
36,36,38
36,36,39
36,36,40
36,36,41
36,36,42
36,37,35
36,37,36
36,37,37
36,37,38
36,37,39
36,37,40
36,37,41
36,37,42
36,37,43
36,38,36
36,38,37
36,38,38
36,38,39
36,38,40
36,38,41
36,38,42
36,39,37
36,39,38
36,39,39
36,39,41
36,39,43
36,40,38
36,40,39
36,41,38
36,41,39
36,41,40
36,41,42
36,41,43
36,41,44
36,42,39
36,42,40
36,42,41
36,42,42
36,43,39
36,43,40
36,43,41
36,44,31
36,44,39
36,45,31
37,26,42
37,26,43
37,26,44
37,27,40
37,27,41
37,27,42
37,27,43
37,27,44
37,27,45
37,27,46
37,27,47
37,28,41
37,28,42
37,28,43
37,28,44
37,28,45
37,28,46
37,28,47
37,28,48
37,29,40
37,29,41
37,29,42
37,29,43
37,29,44
37,29,45
37,29,46
37,29,47
37,29,48
37,30,35
37,30,36
37,30,37
37,30,38
37,30,39
37,30,40
37,30,41
37,30,42
37,30,43
37,30,44
37,30,45
37,30,46
37,30,47
37,30,48
37,30,49
37,31,33
37,31,34
37,31,35
37,31,36
37,31,37
37,31,38
37,31,39
37,31,40
37,31,41
37,31,42
37,31,43
37,31,44
37,31,45
37,31,46
37,31,47
37,31,48
37,32,33
37,32,34
37,32,35
37,32,36
37,32,37
37,32,38
37,32,39
37,32,40
37,32,41
37,32,42
37,32,43
37,32,44
37,32,45
37,32,46
37,32,47
37,32,48
37,33,32
37,33,33
37,33,34
37,33,35
37,33,36
37,33,37
37,33,38
37,33,39
37,33,40
37,33,41
37,33,42
37,33,43
37,33,44
37,33,45
37,33,46
37,33,47
37,33,48
37,34,33
37,34,34
37,34,35
37,34,36
37,34,37
37,34,38
37,34,39
37,34,40
37,34,41
37,34,42
37,34,43
37,34,44
37,34,45
37,34,46
37,34,47
37,35,32
37,35,34
37,35,35
37,35,36
37,35,37
37,35,38
37,35,39
37,35,40
37,35,41
37,35,42
37,35,43
37,35,44
37,35,45
37,35,46
37,35,47
37,36,32
37,36,34
37,36,35
37,36,36
37,36,37
37,36,38
37,36,39
37,36,40
37,36,41
37,36,42
37,36,43
37,36,44
37,36,45
37,36,46
37,36,47
37,37,34
37,37,35
37,37,36
37,37,37
37,37,38
37,37,39
37,37,40
37,37,41
37,37,42
37,37,43
37,37,44
37,37,46
37,38,34
37,38,35
37,38,36
37,38,37
37,38,38
37,38,39
37,38,40
37,38,41
37,38,42
37,38,43
37,38,44
37,39,35
37,39,36
37,39,37
37,39,38
37,39,39
37,39,40
37,39,41
37,39,42
37,39,43
37,39,44
37,40,36
37,40,37
37,40,38
37,40,39
37,40,40
37,40,41
37,40,42
37,40,43
37,40,44
37,40,45
37,40,46
37,41,37
37,41,38
37,41,39
37,41,40
37,41,41
37,41,42
37,41,43
37,41,44
37,42,38
37,42,39
37,42,40
37,42,41
37,42,42
37,43,30
37,43,38
37,43,39
37,43,40
37,43,41
37,44,30
37,44,31
37,44,32
37,44,38
37,44,39
37,45,30
37,45,31
37,45,32
37,46,29
37,46,30
37,46,31
37,46,32
37,46,33
37,47,31
37,47,32
37,47,33
37,48,32
37,48,33
38,25,44
38,26,40
38,26,41
38,26,42
38,26,43
38,26,44
38,26,45
38,26,46
38,26,47
38,26,48
38,27,39
38,27,40
38,27,41
38,27,42
38,27,43
38,27,44
38,27,45
38,27,46
38,27,47
38,27,48
38,27,49
38,28,39
38,28,40
38,28,41
38,28,42
38,28,43
38,28,44
38,28,45
38,28,46
38,28,47
38,28,48
38,28,49
38,29,35
38,29,36
38,29,37
38,29,38
38,29,39
38,29,40
38,29,41
38,29,42
38,29,43
38,29,44
38,29,45
38,29,46
38,29,47
38,29,48
38,29,49
38,29,50
38,30,33
38,30,34
38,30,35
38,30,36
38,30,37
38,30,38
38,30,39
38,30,40
38,30,41
38,30,42
38,30,43
38,30,44
38,30,45
38,30,46
38,30,47
38,30,48
38,30,49
38,30,50
38,31,33
38,31,34
38,31,35
38,31,36
38,31,37
38,31,38
38,31,39
38,31,40
38,31,41
38,31,42
38,31,43
38,31,44
38,31,45
38,31,46
38,31,47
38,31,48
38,31,49
38,31,50
38,32,31
38,32,32
38,32,33
38,32,34
38,32,35
38,32,36
38,32,37
38,32,38
38,32,39
38,32,40
38,32,41
38,32,42
38,32,43
38,32,44
38,32,45
38,32,46
38,32,47
38,32,48
38,32,49
38,32,50
38,33,31
38,33,32
38,33,33
38,33,34
38,33,35
38,33,36
38,33,37
38,33,38
38,33,39
38,33,40
38,33,41
38,33,42
38,33,43
38,33,44
38,33,45
38,33,46
38,33,47
38,33,48
38,33,49
38,33,50
38,34,31
38,34,32
38,34,33
38,34,34
38,34,35
38,34,36
38,34,37
38,34,38
38,34,39
38,34,40
38,34,41
38,34,42
38,34,43
38,34,44
38,34,45
38,34,46
38,34,47
38,34,48
38,34,49
38,35,32
38,35,33
38,35,34
38,35,35
38,35,36
38,35,37
38,35,38
38,35,39
38,35,40
38,35,41
38,35,42
38,35,43
38,35,44
38,35,45
38,35,46
38,35,47
38,35,48
38,35,49
38,36,32
38,36,33
38,36,34
38,36,35
38,36,36
38,36,37
38,36,38
38,36,39
38,36,40
38,36,41
38,36,42
38,36,43
38,36,44
38,36,45
38,36,46
38,36,47
38,36,48
38,37,33
38,37,34
38,37,35
38,37,36
38,37,37
38,37,38
38,37,39
38,37,40
38,37,41
38,37,42
38,37,43
38,37,44
38,37,45
38,37,46
38,37,47
38,38,34
38,38,35
38,38,36
38,38,37
38,38,38
38,38,39
38,38,40
38,38,41
38,38,42
38,38,43
38,38,44
38,38,45
38,38,46
38,38,47
38,39,34
38,39,35
38,39,36
38,39,37
38,39,38
38,39,39
38,39,40
38,39,41
38,39,42
38,39,43
38,39,44
38,39,45
38,39,46
38,39,47
38,40,35
38,40,36
38,40,37
38,40,38
38,40,39
38,40,40
38,40,41
38,40,42
38,40,43
38,40,44
38,40,45
38,40,46
38,41,36
38,41,37
38,41,38
38,41,39
38,41,40
38,41,41
38,41,42
38,41,43
38,41,44
38,42,37
38,42,38
38,42,39
38,42,40
38,42,41
38,42,42
38,42,43
38,43,29
38,43,30
38,43,37
38,43,38
38,43,39
38,43,40
38,43,41
38,43,42
38,43,43
38,44,29
38,44,30
38,44,31
38,44,32
38,44,33
38,44,37
38,44,38
38,44,39
38,44,40
38,44,41
38,44,42
38,45,28
38,45,29
38,45,30
38,45,31
38,45,32
38,45,33
38,45,34
38,45,37
38,45,38
38,45,39
38,45,40
38,45,41
38,46,29
38,46,30
38,46,31
