"x","y","z"
67,62,59
67,62,60
67,63,58
67,63,59
67,63,60
67,64,57
67,64,58
67,64,59
67,64,60
67,65,56
67,65,57
67,65,58
67,65,59
67,66,56
67,66,57
67,66,58
67,66,59
67,67,56
67,67,57
67,67,58
67,67,59
67,68,57
67,68,58
67,68,59
67,69,57
67,69,58
67,69,59
67,70,57
67,70,58
67,70,59
67,71,58
67,71,59
67,72,58
67,72,59
67,73,58
67,73,59
67,74,58
67,74,59
67,75,58
67,75,59
67,76,58
67,76,59
67,77,58
67,77,59
67,78,58
67,78,59
67,79,58
67,79,59
67,80,58
67,80,59
67,81,57
67,81,58
67,81,59
67,82,57
67,82,58
67,82,59
67,83,57
67,83,58
67,83,59
67,84,56
67,84,57
67,84,58
67,85,56
67,85,57
67,85,58
67,86,56
67,86,57
67,86,58
67,87,56
67,87,57
67,87,58
67,88,56
67,88,57
67,89,55
67,89,56
67,89,57
67,90,55
67,90,56
67,91,55
67,91,56
67,92,54
67,92,55
67,92,56
67,93,54
67,93,55
67,94,54
67,94,55
67,95,54
67,95,55
67,96,54
67,97,54
68,62,60
68,63,59
68,63,60
68,63,61
68,64,58
68,64,59
68,64,60
68,64,61
68,65,57
68,65,58
68,65,59
68,65,60
68,66,54
68,66,56
68,66,57
68,66,58
68,66,59
68,66,60
68,67,57
68,67,58
68,67,59
68,67,60
68,68,58
68,68,59
68,68,60
68,69,58
68,69,59
68,69,60
68,70,58
68,70,59
68,71,58
68,71,59
68,72,58
68,72,59
68,72,60
68,73,58
68,73,59
68,73,60
68,74,58
68,74,59
68,74,60
68,75,57
68,75,58
68,75,59
68,75,60
68,76,57
68,76,58
68,76,59
68,76,60
68,77,57
68,77,58
68,77,59
68,77,60
68,78,57
68,78,58
68,78,59
68,78,60
68,79,57
68,79,58
68,79,59
68,80,57
68,80,58
68,80,59
68,81,57
68,81,58
68,81,59
68,82,57
68,82,58
68,82,59
68,83,57
68,83,58
68,84,56
68,84,57
68,84,58
68,85,56
68,85,57
68,85,58
68,86,56
68,86,57
68,87,56
68,87,57
68,88,55
68,88,56
68,88,57
68,89,55
68,89,56
68,89,57
68,90,54
68,90,55
68,90,56
68,91,54
68,91,55
68,91,56
68,92,54
68,92,55
68,93,54
68,93,55
68,94,54
68,94,55
68,95,53
68,95,54
68,95,55
68,96,53
68,96,54
68,96,55
68,97,53
68,97,54
68,97,55
68,98,52
68,98,53
68,98,54
68,99,52
68,99,53
68,99,54
68,100,52
68,100,53
68,100,54
68,101,52
68,101,53
68,101,54
68,102,52
68,102,53
68,102,54
68,103,52
68,103,53
68,103,54
68,104,52
68,104,53
68,104,54
68,105,52
68,105,53
68,105,54
68,106,52
