"x","y","z"
38,99,52
38,99,53
38,99,54
38,100,52
38,101,52
38,102,49
38,102,50
38,102,51
38,103,49
38,103,50
38,103,51
38,104,49
38,104,50
38,104,51
38,105,49
38,105,50
38,105,51
38,106,49
38,106,50
38,107,51
38,108,48
38,108,49
39,93,56
39,94,55
39,94,56
39,94,57
39,95,53
39,95,54
39,95,55
39,95,56
39,95,57
39,96,52
39,96,53
39,96,54
39,96,55
39,96,56
39,96,57
39,97,52
39,97,53
39,97,54
39,97,55
39,97,56
39,97,57
39,98,51
39,98,52
39,98,53
39,98,54
39,98,55
39,98,56
39,98,57
39,99,50
39,99,51
39,99,52
39,99,53
39,99,54
39,99,55
39,99,56
39,99,57
39,100,49
39,100,50
39,100,51
39,100,52
39,100,53
39,100,54
39,100,55
39,100,56
39,100,57
39,101,49
39,101,50
39,101,51
39,101,52
39,101,53
39,101,54
39,101,55
39,101,56
39,102,48
39,102,49
39,102,50
39,102,51
39,102,52
39,102,53
39,102,54
39,103,44
39,103,47
39,103,48
39,103,49
39,103,50
39,103,51
39,103,52
39,103,53
39,103,54
39,104,47
39,104,48
39,104,49
39,104,50
39,104,51
39,104,52
39,104,53
39,104,54
39,104,55
39,105,46
39,105,47
39,105,48
39,105,49
39,105,50
39,105,51
39,105,52
39,105,53
39,105,54
39,106,46
39,106,47
39,106,48
39,106,49
39,106,50
39,106,51
39,106,52
39,106,53
39,107,46
39,107,47
39,107,48
39,107,49
39,107,50
39,107,51
39,107,52
39,107,53
39,108,46
39,108,47
39,108,48
39,108,49
39,108,50
39,108,51
39,108,52
39,108,53
39,109,46
39,109,47
39,109,48
39,109,49
39,109,50
39,109,51
39,109,52
39,110,47
39,110,48
39,110,49
39,110,50
39,110,51
39,110,52
39,111,47
39,111,48
39,111,49
39,111,50
39,111,51
39,111,52
39,112,48
39,112,49
39,112,50
40,90,57
40,90,58
40,90,59
40,91,56
40,91,57
40,91,58
40,91,59
40,92,55
40,92,56
40,92,57
40,92,58
40,92,59
40,92,60
40,93,55
40,93,56
40,93,57
40,93,58
40,93,59
40,94,54
40,94,55
40,94,56
40,94,57
40,94,58
40,94,59
40,95,53
40,95,54
40,95,55
40,95,56
40,95,57
40,95,58
40,95,59
40,96,51
40,96,52
40,96,53
40,96,54
40,96,55
40,96,56
40,96,57
40,96,58
40,96,59
40,97,50
40,97,51
40,97,52
40,97,53
40,97,54
40,97,55
40,97,56
40,97,57
40,97,58
40,97,59
40,98,49
40,98,50
40,98,51
40,98,52
40,98,53
40,98,54
40,98,55
40,98,56
40,98,57
40,98,58
40,99,49
40,99,50
40,99,51
40,99,52
40,99,53
40,99,54
40,99,55
40,99,56
40,99,57
40,99,58
40,100,48
40,100,49
40,100,50
40,100,51
40,100,52
40,100,53
40,100,54
40,100,55
40,100,56
40,100,57
40,100,58
40,101,48
40,101,49
40,101,50
40,101,51
40,101,52
40,101,53
40,101,54
40,101,55
40,101,56
40,101,57
40,101,58
40,102,47
40,102,48
40,102,49
40,102,50
40,102,51
40,102,52
40,102,53
40,102,54
40,102,55
40,102,56
40,102,57
40,102,58
40,103,46
40,103,47
40,103,48
40,103,49
40,103,50
40,103,51
40,103,52
40,103,53
40,103,54
40,103,55
40,103,56
40,103,57
40,104,46
40,104,47
40,104,48
40,104,49
40,104,50
40,104,51
40,104,52
40,104,53
40,104,54
40,104,55
40,104,56
40,104,57
40,105,45
40,105,46
40,105,47
40,105,48
40,105,49
40,105,50
40,105,51
40,105,52
40,105,53
40,105,54
40,105,55
40,105,56
40,106,45
40,106,46
40,106,47
40,106,48
40,106,49
40,106,50
40,106,51
40,106,52
40,106,53
40,106,54
40,106,55
40,106,56
40,107,45
40,107,46
40,107,47
40,107,48
40,107,49
40,107,50
40,107,51
40,107,52
40,107,53
40,107,54
40,107,55
40,108,45
40,108,46
40,108,47
40,108,48
40,108,49
40,108,50
40,108,51
40,108,52
40,108,53
40,108,54
40,109,45
40,109,46
40,109,47
40,109,48
40,109,49
40,109,50
40,109,51
40,109,52
40,109,53
40,109,54
40,110,45
40,110,46
40,110,47
40,110,48
40,110,49
40,110,50
40,110,51
40,110,52
40,110,53
40,110,54
40,111,44
40,111,45
40,111,46
40,111,47
40,111,48
40,111,49
40,111,50
40,111,51
40,111,52
40,111,53
40,112,45
40,112,46
40,112,47
40,112,48
40,112,49
40,112,50
40,112,51
40,112,52
40,112,53
40,113,45
40,113,46
40,113,47
40,113,48
40,113,49
40,113,50
40,113,51
40,113,52
40,113,53
40,114,45
40,114,46
40,114,47
40,114,48
40,114,49
40,114,50
40,114,51
40,114,52
40,115,44
40,115,45
40,115,46
40,115,47
40,115,48
40,115,49
40,115,50
40,115,51
40,116,44
40,116,45
40,116,46
40,116,47
40,116,48
40,116,49
40,117,44
40,118,44
40,118,45
41,90,56
41,90,57
41,90,58
41,91,55
41,91,56
41,91,57
41,91,58
41,91,59
41,91,60
41,91,61
41,92,54
41,92,55
41,92,56
41,92,57
41,92,58
41,92,59
41,92,60
41,92,61
41,93,53
41,93,54
41,93,55
41,93,56
41,93,57
41,93,58
41,93,59
41,93,60
41,93,61
41,94,53
41,94,54
41,94,55
41,94,56
41,94,57
41,94,58
41,94,59
41,94,60
41,94,61
41,95,52
41,95,53
41,95,54
41,95,55
41,95,56
41,95,57
41,95,58
41,95,59
41,95,60
41,95,61
41,96,51
41,96,52
41,96,53
41,96,54
41,96,55
41,96,56
41,96,57
41,96,58
41,96,59
41,96,60
41,97,50
41,97,51
41,97,52
41,97,53
41,97,54
41,97,55
41,97,56
41,97,57
41,97,58
41,97,59
41,97,60
41,98,49
41,98,50
41,98,51
41,98,52
41,98,53
41,98,54
41,98,55
41,98,56
41,98,57
41,98,58
41,98,59
41,98,60
41,98,61
41,99,49
41,99,50
41,99,51
41,99,52
41,99,53
41,99,54
41,99,55
41,99,56
41,99,57
41,99,58
41,99,59
41,100,48
41,100,49
41,100,50
41,100,51
41,100,52
41,100,53
41,100,54
41,100,55
41,100,56
41,100,57
41,100,58
41,100,59
41,100,60
41,101,48
41,101,49
41,101,50
41,101,51
41,101,52
41,101,53
41,101,54
41,101,55
41,101,56
41,101,57
41,101,58
41,101,59
41,102,47
41,102,48
41,102,49
41,102,50
41,102,51
41,102,52
41,102,53
41,102,54
41,102,55
41,102,56
41,102,57
41,102,58
41,102,59
41,103,46
41,103,47
41,103,48
41,103,49
41,103,50
41,103,51
41,103,52
41,103,53
41,103,54
41,103,55
41,103,56
41,103,57
41,103,58
41,104,46
41,104,47
41,104,48
41,104,49
41,104,50
41,104,51
41,104,52
41,104,53
41,104,54
41,104,55
41,104,56
41,104,57
41,104,58
41,105,45
41,105,46
41,105,47
41,105,48
41,105,49
41,105,50
41,105,51
41,105,52
41,105,53
41,105,54
41,105,55
41,105,56
41,105,57
41,106,45
41,106,46
41,106,47
41,106,48
41,106,49
41,106,50
41,106,51
41,106,52
41,106,53
41,106,54
41,106,55
41,106,56
41,106,57
41,107,45
41,107,46
41,107,47
41,107,48
41,107,49
41,107,50
41,107,51
41,107,52
41,107,53
41,107,54
41,107,55
41,107,56
41,108,45
41,108,46
41,108,47
41,108,48
41,108,49
41,108,50
41,108,51
41,108,52
41,108,53
41,108,54
41,108,55
41,108,56
41,109,44
41,109,45
41,109,46
41,109,47
41,109,48
41,109,49
41,109,50
41,109,51
41,109,52
41,109,53
41,109,54
41,109,55
41,110,44
41,110,45
41,110,46
41,110,47
41,110,48
41,110,49
41,110,50
41,110,51
41,110,52
41,110,53
41,110,54
41,110,55
41,111,44
41,111,45
41,111,46
41,111,47
41,111,48
41,111,49
41,111,50
41,111,51
41,111,52
41,111,53
41,111,54
41,111,55
41,112,44
41,112,45
41,112,46
41,112,47
41,112,48
41,112,49
41,112,50
41,112,51
41,112,52
41,112,53
41,112,54
41,113,44
41,113,45
41,113,46
41,113,47
41,113,48
41,113,49
41,113,50
41,113,51
41,113,52
41,113,53
41,113,54
41,114,42
41,114,43
41,114,44
41,114,45
41,114,46
41,114,47
41,114,48
41,114,49
41,114,50
41,114,51
41,114,52
41,114,53
41,115,43
41,115,44
41,115,45
41,115,46
41,115,47
41,115,48
41,115,49
41,115,50
41,115,51
41,115,52
41,115,53
41,116,43
41,116,44
41,116,45
41,116,46
41,116,47
41,116,48
41,116,49
41,116,50
41,116,51
41,116,52
41,117,43
41,117,44
41,117,45
41,117,46
41,117,47
41,117,48
41,117,49
41,117,50
41,117,51
41,117,52
41,118,42
41,118,43
41,118,44
41,118,45
41,118,46
41,118,47
41,118,48
41,118,49
41,118,50
41,119,41
41,119,42
41,119,43
41,119,44
41,119,45
41,119,46
41,119,47
41,119,48
41,119,49
41,120,40
41,120,41
41,120,42
41,120,43
41,120,44
41,120,45
41,120,46
41,120,47
41,120,48
41,121,38
41,121,39
41,121,40
41,121,41
41,121,42
41,121,43
41,121,44
41,121,45
41,121,46
41,122,39
41,122,40
41,122,41
41,122,42
41,122,43
41,123,42
42,90,55
42,90,56
42,90,57
42,90,58
42,91,55
42,91,56
42,91,57
42,91,58
42,91,59
42,91,60
42,91,61
42,91,62
42,92,54
42,92,55
42,92,56
42,92,57
42,92,58
42,92,59
42,92,60
42,92,61
42,92,62
42,93,53
42,93,54
42,93,55
42,93,56
42,93,57
42,93,58
42,93,59
42,93,60
42,93,61
42,93,62
42,94,53
42,94,54
42,94,55
42,94,56
42,94,57
42,94,58
42,94,59
42,94,60
42,94,61
42,94,62
42,95,52
42,95,53
42,95,54
42,95,55
42,95,56
42,95,57
42,95,58
42,95,59
42,95,60
42,95,61
42,95,62
42,96,51
42,96,52
42,96,53
42,96,54
42,96,55
42,96,56
42,96,57
42,96,58
42,96,59
42,96,60
42,96,61
42,96,62
42,97,50
42,97,51
42,97,52
42,97,53
42,97,54
42,97,55
42,97,56
42,97,57
42,97,58
42,97,59
42,97,60
42,97,61
42,97,62
42,98,49
42,98,50
42,98,51
42,98,52
42,98,53
42,98,54
42,98,55
42,98,56
42,98,57
42,98,58
42,98,59
42,98,60
42,98,61
42,99,49
42,99,50
42,99,51
42,99,52
42,99,53
42,99,54
42,99,55
42,99,56
42,99,57
42,99,58
42,99,59
42,99,60
42,99,61
42,100,48
42,100,49
42,100,50
42,100,51
42,100,52
42,100,53
42,100,54
42,100,55
42,100,56
42,100,57
42,100,58
42,100,59
42,100,60
42,100,61
42,101,48
42,101,49
42,101,50
42,101,51
42,101,52
42,101,53
42,101,54
42,101,55
42,101,56
42,101,57
42,101,58
42,101,59
42,101,60
42,102,47
42,102,48
42,102,49
42,102,50
42,102,51
42,102,52
42,102,53
42,102,54
42,102,55
42,102,56
42,102,57
42,102,58
42,102,59
42,102,60
42,103,47
42,103,48
42,103,49
42,103,50
42,103,51
42,103,52
42,103,53
42,103,54
42,103,55
42,103,56
42,103,57
42,103,58
42,103,59
42,104,46
42,104,47
42,104,48
42,104,49
42,104,50
42,104,51
42,104,52
42,104,53
42,104,54
42,104,55
42,104,56
42,104,57
42,104,58
42,104,59
42,105,46
42,105,47
42,105,48
42,105,49
42,105,50
42,105,51
42,105,52
42,105,53
42,105,54
42,105,55
42,105,56
42,105,57
42,105,58
42,105,59
42,106,45
42,106,46
42,106,47
42,106,48
42,106,49
42,106,50
42,106,51
42,106,52
42,106,53
42,106,54
42,106,55
42,106,56
42,106,57
42,106,58
42,107,45
42,107,46
42,107,47
42,107,48
42,107,49
42,107,50
42,107,51
42,107,52
42,107,53
42,107,54
42,107,55
42,107,56
42,107,57
42,108,45
42,108,46
42,108,47
42,108,48
42,108,49
42,108,50
42,108,51
42,108,52
42,108,53
42,108,54
42,108,55
42,108,56
42,108,57
42,109,44
42,109,45
42,109,46
42,109,47
42,109,48
42,109,49
42,109,50
42,109,51
42,109,52
42,109,53
42,109,54
42,109,55
42,109,56
42,110,44
42,110,45
42,110,46
42,110,47
42,110,48
42,110,49
42,110,50
42,110,51
42,110,52
42,110,53
42,110,54
42,110,55
42,110,56
42,111,44
42,111,45
42,111,46
42,111,47
42,111,48
42,111,49
42,111,50
42,111,51
42,111,52
42,111,53
42,111,54
42,111,55
42,111,56
42,112,44
42,112,45
42,112,46
42,112,47
42,112,48
42,112,49
42,112,50
42,112,51
42,112,52
42,112,53
42,112,54
42,112,55
42,113,44
42,113,45
42,113,46
42,113,47
42,113,48
42,113,49
42,113,50
42,113,51
42,113,52
42,113,53
42,113,54
42,113,55
42,114,42
42,114,43
42,114,44
42,114,45
42,114,46
42,114,47
42,114,48
42,114,49
42,114,50
42,114,51
42,114,52
42,114,53
42,114,54
42,115,43
42,115,44
42,115,45
42,115,46
42,115,47
42,115,48
42,115,49
42,115,50
42,115,51
42,115,52
42,115,53
42,115,54
42,116,43
42,116,44
42,116,45
42,116,46
42,116,47
42,116,48
42,116,49
42,116,50
42,116,51
42,116,52
42,116,53
42,116,54
42,117,43
42,117,44
42,117,45
42,117,46
42,117,47
42,117,48
42,117,49
42,117,50
42,117,51
42,117,52
42,117,53
42,118,42
42,118,43
42,118,44
42,118,45
42,118,46
42,118,47
42,118,48
42,118,49
42,118,50
42,118,51
42,118,52
42,118,53
42,119,42
42,119,43
42,119,44
42,119,45
42,119,46
42,119,47
42,119,48
42,119,49
42,119,50
42,119,51
42,119,52
42,120,40
42,120,41
42,120,42
42,120,43
42,120,44
42,120,45
42,120,46
42,120,47
42,120,48
42,120,49
42,120,50
42,120,51
42,121,40
42,121,41
42,121,42
42,121,43
42,121,44
42,121,45
42,121,46
42,121,47
42,121,48
42,121,49
42,121,50
42,122,38
42,122,39
42,122,40
42,122,41
42,122,42
42,122,43
42,122,44
42,122,45
42,122,46
42,122,47
42,122,48
42,122,49
42,123,37
42,123,38
42,123,39
42,123,40
42,123,41
42,123,42
42,123,43
42,123,44
42,123,45
42,123,46
42,123,47
42,124,38
42,124,39
42,124,40
42,124,41
42,124,42
42,124,43
42,124,44
42,124,45
42,124,46
42,125,40
42,125,41
42,125,42
42,125,43
42,125,44
42,125,45
42,125,46
43,90,55
43,90,56
43,90,57
43,90,58
43,90,59
43,91,55
43,91,56
43,91,57
43,91,58
43,91,59
43,91,60
43,91,61
43,91,62
43,91,63
43,91,64
43,92,54
43,92,55
43,92,56
43,92,57
43,92,58
43,92,59
43,92,60
43,92,61
43,92,62
43,92,63
43,92,64
43,93,53
43,93,54
43,93,55
43,93,56
43,93,57
43,93,58
43,93,59
43,93,60
