"x","y","z"
43,123,50
43,124,50
43,125,49
44,116,55
44,121,53
44,122,52
44,123,50
44,123,51
44,123,52
44,123,53
44,124,50
44,124,51
44,125,49
44,125,50
44,126,48
44,126,49
45,113,56
45,114,56
45,115,55
45,115,56
45,116,54
45,116,55
45,116,56
45,117,54
45,117,55
45,117,56
45,118,54
45,118,55
45,118,56
45,119,53
45,119,54
45,119,55
45,120,53
45,120,54
45,120,55
45,121,53
45,121,54
45,121,55
45,122,52
45,122,53
45,123,50
45,123,51
45,123,52
45,123,53
45,123,54
46,107,59
46,109,56
46,109,57
46,110,56
46,110,57
46,111,56
46,111,57
46,111,60
46,112,56
46,112,57
46,112,59
46,113,55
46,113,56
46,113,57
46,113,58
46,114,54
46,114,55
46,114,56
46,114,57
46,114,58
46,115,54
46,115,55
46,115,56
46,115,57
46,116,53
46,116,54
46,116,55
46,116,56
46,117,53
46,117,54
46,117,55
46,117,56
46,118,53
46,118,54
46,118,55
46,118,56
46,119,53
46,119,54
46,119,55
46,120,53
46,120,54
46,120,55
46,121,52
46,121,53
46,121,54
47,104,60
47,104,61
47,107,57
47,107,58
47,107,59
47,107,60
47,108,57
47,108,58
47,108,59
47,108,60
47,108,61
47,109,55
47,109,56
47,109,57
47,109,58
47,109,59
47,109,60
47,110,55
47,110,56
47,110,57
47,110,58
47,110,59
47,111,55
47,111,56
47,111,57
47,111,58
47,111,59
47,112,55
47,112,56
47,112,57
47,112,58
47,112,59
47,113,53
47,113,54
47,113,55
47,113,56
47,113,57
47,114,53
47,114,54
47,114,55
47,114,56
47,114,57
47,115,53
47,115,54
47,115,55
47,115,56
47,116,52
47,116,53
47,116,54
47,116,55
47,117,53
47,117,54
47,117,55
47,118,52
47,118,53
47,118,54
47,118,55
47,119,52
47,119,53
47,119,54
47,120,52
47,120,53
47,120,54
47,121,52
47,121,53
47,121,54
48,103,62
48,104,59
48,104,60
48,104,61
48,105,59
48,105,60
48,105,61
48,105,62
48,105,63
48,106,59
