"x","y","z"
37,82,28
37,82,29
38,74,28
38,74,29
38,74,30
38,75,27
38,75,28
38,75,29
38,76,26
38,76,27
38,76,28
38,76,29
38,77,26
38,77,27
38,77,28
38,77,29
38,77,30
38,77,31
38,77,32
38,78,26
38,78,27
38,78,28
38,78,29
38,78,30
38,78,31
38,78,32
38,78,33
38,79,26
38,79,27
38,79,28
38,79,29
38,79,30
38,79,31
38,79,32
38,80,25
38,80,26
38,80,27
38,80,28
38,80,29
38,80,30
38,80,31
38,82,26
38,82,27
38,82,28
38,82,29
38,82,30
38,83,26
38,83,27
38,84,26
39,72,27
39,72,28
39,72,29
39,73,27
39,73,28
39,73,29
39,73,30
39,73,31
39,74,27
39,74,28
39,74,30
39,74,31
39,74,32
39,74,33
39,75,25
39,75,26
39,75,27
39,75,30
39,75,31
39,75,32
39,75,33
39,76,25
39,76,26
39,76,30
39,76,31
39,76,32
39,76,33
39,76,34
39,76,35
39,77,25
39,77,26
39,77,32
39,77,33
39,77,34
39,78,25
39,78,26
39,78,31
39,78,32
39,78,33
39,78,34
39,79,24
39,79,25
39,79,26
39,79,31
39,79,32
39,79,33
39,79,34
39,80,24
39,80,25
39,80,31
39,80,32
39,81,24
39,81,25
39,81,26
39,82,24
39,82,25
39,82,26
39,82,30
39,82,31
39,83,25
39,83,26
39,84,24
39,84,25
39,84,26
39,85,25
39,85,26
39,86,26
39,86,27
40,72,27
40,73,27
40,74,25
40,74,26
40,74,27
40,74,32
40,75,25
40,75,32
40,75,33
40,75,34
40,76,24
40,76,25
40,76,33
40,76,34
40,76,35
40,76,36
40,77,24
40,77,25
40,77,33
40,77,34
40,77,35
40,78,23
40,78,24
40,78,25
40,78,34
40,78,35
40,79,22
40,79,23
40,79,24
40,79,33
40,79,34
40,79,35
40,80,23
40,80,24
40,80,33
40,81,23
40,81,24
40,82,23
40,82,24
40,82,31
40,82,32
40,83,22
40,83,23
40,83,24
40,83,25
40,84,23
40,84,24
40,85,23
40,85,24
40,85,25
40,86,23
40,86,24
40,86,25
40,86,28
40,87,24
40,87,25
40,87,26
40,87,27
40,87,28
40,88,24
40,88,25
40,88,26
40,88,27
41,70,28
41,70,29
41,72,26
41,72,27
41,73,25
41,73,26
41,73,27
41,74,24
41,74,25
41,75,25
41,75,35
41,75,36
41,76,24
41,76,36
41,76,37
41,77,23
41,77,24
41,77,36
41,78,22
41,78,23
41,78,35
41,78,36
41,79,22
41,79,35
41,79,36
41,80,22
41,80,23
41,80,34
41,81,22
41,81,23
41,82,21
41,82,22
41,82,23
41,82,32
41,82,33
41,83,21
41,83,22
41,84,21
41,84,22
41,84,23
41,85,21
41,85,22
41,85,23
41,86,21
41,86,22
41,86,23
41,86,29
41,87,21
41,87,22
41,87,23
41,87,24
41,87,28
41,87,29
41,88,23
41,88,24
41,88,27
41,88,28
41,89,23
41,89,24
42,70,27
42,70,28
42,71,26
42,71,27
42,72,26
42,73,25
42,74,23
42,74,24
42,75,24
42,75,25
42,76,23
42,76,24
42,76,37
42,76,38
42,77,23
42,77,37
42,78,22
42,78,36
42,78,37
42,79,21
42,79,22
42,79,36
42,80,21
42,80,22
42,81,21
42,81,22
42,82,20
42,82,21
42,82,33
42,83,20
42,83,21
42,84,20
42,84,21
42,85,20
42,86,19
