"x","y","z"
31,76,44
35,35,39
35,94,18
35,94,19
35,94,20
36,94,20
38,94,49
39,53,36
39,59,35
39,94,50
40,82,22
40,94,50
42,113,28
46,58,30
46,58,31
47,34,44
47,35,55
47,121,24
47,121,25
47,123,30
48,121,25
48,121,26
48,123,31
49,77,34
49,121,25
49,121,26
49,132,43
50,78,31
50,78,32
50,80,33
50,116,31
50,121,25
50,121,26
50,132,43
51,78,31
51,80,32
51,80,33
51,115,30
51,115,31
51,115,32
51,116,30
51,116,31
51,116,32
51,116,33
51,120,29
51,121,26
52,78,30
52,80,31
52,80,32
52,108,32
52,109,31
52,109,32
52,115,30
52,115,31
52,115,32
52,115,33
52,115,34
52,116,30
52,116,31
52,116,32
52,116,33
52,116,34
52,116,35
52,118,29
52,118,30
52,119,29
52,120,28
52,120,29
52,120,30
52,120,31
52,121,26
52,121,29
52,121,30
52,127,43
53,78,29
53,80,30
53,80,31
53,109,31
53,111,32
53,112,33
53,115,30
53,115,31
53,115,32
53,115,33
53,115,34
53,115,35
53,116,30
53,116,31
53,116,32
53,116,33
53,116,34
53,116,35
53,116,36
53,116,37
53,116,38
53,117,31
53,117,32
53,118,29
53,118,30
53,118,31
53,119,28
53,119,29
53,119,30
53,119,31
53,119,32
53,120,28
53,120,29
53,120,30
53,120,31
53,120,32
53,121,26
53,121,29
53,121,30
53,121,31
54,80,29
54,115,30
54,115,31
54,115,32
54,115,33
54,116,30
54,116,31
54,116,32
54,116,33
54,116,34
54,116,35
54,116,36
54,116,37
54,116,38
54,116,39
54,117,31
54,117,32
54,117,33
54,118,29
54,118,30
54,118,31
54,118,32
54,118,33
54,118,34
54,119,28
54,119,29
54,119,30
54,119,31
54,119,32
54,119,33
54,120,28
54,120,29
54,120,30
54,120,31
54,120,32
54,120,33
54,121,27
54,121,28
54,121,29
54,121,30
54,121,31
54,121,32
54,127,65
55,85,44
55,115,30
55,115,31
55,116,29
55,116,30
55,116,31
55,116,32
55,116,39
55,116,40
55,116,41
55,117,31
55,117,32
55,117,33
55,118,28
55,118,29
55,118,30
55,118,31
55,118,32
55,118,33
55,118,34
55,119,28
55,119,29
55,119,30
55,119,31
55,119,32
55,119,33
55,119,34
55,119,35
55,120,28
55,120,29
55,120,30
55,120,31
55,120,32
55,120,33
55,120,34
55,121,27
55,121,28
55,121,29
55,121,30
55,121,31
55,121,32
55,121,33
55,121,34
56,43,22
56,44,22
56,70,35
56,70,36
56,70,37
56,79,47
56,116,42
56,117,31
56,117,32
56,117,33
56,118,28
56,118,29
56,118,30
56,118,31
56,118,32
56,118,33
56,119,28
56,119,29
56,119,30
56,119,31
56,119,32
56,119,33
56,119,34
56,120,28
56,120,29
56,120,30
56,120,31
56,120,32
56,120,33
56,120,34
56,121,27
56,121,28
56,121,29
56,121,30
56,121,31
56,121,32
56,121,33
56,121,34
56,124,68
57,35,27
57,38,23
57,42,23
57,70,35
57,70,36
57,70,37
57,70,38
57,92,66
57,118,32
57,118,33
57,118,34
57,119,28
57,119,29
57,119,30
57,119,31
57,119,32
57,119,33
57,119,34
57,119,65
57,120,28
57,120,29
57,120,30
57,120,31
57,120,32
57,120,33
57,120,34
57,120,35
57,121,28
57,121,29
57,121,30
57,121,31
57,121,32
57,121,33
57,121,34
57,121,35
58,59,38
58,59,39
58,70,34
58,70,35
58,70,36
58,70,39
58,70,40
58,71,34
58,72,43
58,119,32
58,119,33
58,119,34
58,120,32
58,120,33
58,120,34
58,120,35
58,121,29
58,121,30
58,121,31
58,121,32
58,121,33
58,121,34
58,121,35
59,70,40
59,70,41
59,71,35
59,120,33
59,120,34
59,120,35
59,121,32
59,121,33
59,121,34
59,121,35
60,70,42
60,73,29
60,117,33
60,121,33
60,121,34
61,59,44
61,67,58
61,67,59
61,70,43
61,70,44
61,90,22
61,124,32
61,146,44
62,59,46
62,67,58
62,68,39
62,70,42
62,70,43
62,70,44
62,70,45
62,111,53
62,121,30
63,68,40
63,68,41
63,70,42
63,70,43
63,70,44
63,70,45
63,70,46
63,70,47
63,70,60
63,122,30
64,68,43
64,70,44
64,70,45
64,70,46
64,70,47
64,70,59
64,122,30
64,122,31
64,122,32
64,142,44
64,143,51
64,144,46
65,70,45
65,70,46
65,70,47
65,70,48
65,73,22
65,74,41
65,74,42
65,79,46
65,88,21
65,122,30
65,122,31
65,122,32
65,122,33
65,122,34
65,123,32
65,123,33
65,123,34
65,123,35
65,123,36
65,123,37
65,123,38
65,123,39
65,123,40
66,70,45
66,70,46
66,70,47
66,70,48
66,70,49
66,73,21
66,74,42
66,74,43
66,79,46
66,106,32
66,112,22
66,112,23
66,122,30
66,122,31
66,122,32
66,122,33
66,122,34
66,122,35
66,123,32
66,123,33
66,123,34
66,123,35
66,123,36
66,123,37
66,123,38
66,123,39
66,123,40
66,124,32
66,124,33
66,133,38
67,70,46
67,70,47
67,70,48
67,70,49
67,74,43
67,74,44
67,74,45
67,77,44
67,79,45
67,79,46
67,105,33
67,112,21
67,112,22
67,112,23
67,122,30
67,122,31
67,122,32
67,122,33
67,122,34
67,122,35
67,122,36
67,123,32
67,123,33
67,123,34
67,123,35
67,123,36
67,123,37
67,123,38
67,123,39
67,124,32
67,124,33
67,124,34
67,124,35
67,124,36
67,124,37
67,124,38
67,124,39
67,124,40
67,124,41
67,124,42
67,124,43
67,124,44
68,70,47
68,70,48
68,70,49
68,70,50
68,74,20
68,74,44
68,74,45
68,74,46
68,112,22
68,112,23
68,112,26
68,112,28
68,113,27
68,113,28
68,113,29
68,113,31
68,117,30
68,118,31
68,122,30
68,122,31
68,122,32
68,122,33
68,122,34
68,122,35
68,122,36
68,122,37
68,123,31
68,123,32
68,123,33
68,123,34
68,123,35
68,123,36
68,123,37
68,123,38
68,123,39
68,124,32
68,124,33
68,124,34
68,124,35
68,124,36
68,124,37
68,124,38
68,124,39
68,124,40
68,124,41
68,124,42
68,124,43
68,124,44
68,125,36
69,70,47
69,70,48
69,70,49
69,70,50
69,74,45
69,104,42
69,112,22
69,112,23
69,112,27
69,113,26
69,113,27
69,113,28
69,113,29
69,113,30
69,114,32
69,114,33
69,114,34
69,117,31
69,118,31
69,118,32
69,122,30
69,122,31
69,122,32
69,122,33
69,122,34
69,122,35
69,122,36
69,122,37
69,122,38
69,123,31
69,123,32
69,123,33
69,123,34
69,123,35
69,123,36
69,123,37
69,123,38
69,123,39
69,124,32
69,124,33
69,124,34
69,124,35
69,124,36
69,124,37
69,124,38
69,124,39
69,124,40
69,124,41
69,124,42
69,124,43
69,124,44
70,68,48
70,70,48
70,70,49
70,70,50
70,107,47
70,110,22
70,112,22
70,113,24
70,113,25
70,113,26
70,113,27
70,113,28
70,113,29
70,114,32
70,114,33
70,114,34
70,114,35
70,114,36
70,115,34
70,117,31
70,117,32
70,117,33
70,118,31
70,118,32
70,118,33
70,120,33
70,122,30
70,122,31
70,122,32
70,122,33
70,122,34
70,122,35
70,122,36
70,122,37
70,122,38
70,122,39
70,123,31
70,123,32
70,123,33
70,123,34
70,123,35
70,123,36
70,123,37
70,123,38
70,123,39
70,124,31
70,124,32
70,124,33
70,124,34
70,124,35
70,124,36
70,124,37
70,124,38
70,124,39
70,124,40
70,124,41
70,124,42
71,70,48
71,70,49
71,70,50
71,76,45
71,80,22
71,112,22
71,113,22
71,113,23
71,113,24
71,113,25
71,113,26
71,113,27
71,113,28
71,114,32
71,114,33
71,115,33
71,115,34
71,115,35
71,115,36
71,117,31
71,117,32
71,117,33
71,117,34
71,118,30
71,118,31
71,118,32
71,118,33
71,118,34
71,119,33
71,120,34
71,120,35
71,121,36
71,122,30
71,122,31
71,124,40
71,124,41
72,70,49
72,70,50
72,80,22
72,92,23
72,109,21
72,111,51
72,113,23
72,113,24
72,113,25
72,113,26
72,113,27
72,114,31
72,114,51
72,117,31
72,117,32
72,117,33
72,117,34
72,117,35
72,117,36
72,118,29
72,118,30
72,118,31
72,118,32
72,118,33
72,118,34
72,118,35
72,118,36
72,118,37
72,119,33
72,119,34
72,119,35
72,119,36
72,120,34
72,154,43
73,70,50
73,80,20
73,80,21
73,80,22
73,109,21
73,113,23
73,113,24
73,113,25
73,113,26
73,113,44
73,116,47
73,117,30
73,117,31
73,117,32
73,117,33
73,117,34
73,118,26
73,118,27
73,118,28
73,118,29
73,118,30
73,118,31
73,118,32
73,118,33
73,118,34
73,118,35
73,118,36
73,118,37
73,118,38
73,118,39
73,119,32
73,119,33
73,119,34
73,119,35
73,119,36
73,119,37
73,119,38
73,119,39
73,119,40
73,119,41
74,80,20
74,80,21
74,80,44
74,92,45
74,103,38
74,106,45
74,113,24
74,113,25
74,113,26
74,117,30
74,117,31
74,117,32
74,117,33
74,118,23
74,118,24
74,118,25
74,118,26
74,118,27
74,118,28
74,118,29
74,118,30
74,118,31
74,118,32
74,118,33
74,118,34
74,118,35
74,119,32
74,119,33
74,119,34
74,119,35
74,119,42
75,80,20
75,80,44
75,113,26
75,117,30
75,117,31
75,117,32
75,118,25
75,118,26
75,118,27
75,118,28
75,118,29
75,118,30
75,118,31
75,118,32
75,118,33
75,118,34
75,119,32
75,119,33
75,119,34
75,146,36
76,80,20
76,80,21
76,103,36
76,111,22
77,80,20
77,80,21
77,80,43
77,80,44
77,103,35
77,103,36
77,111,22
77,111,65
77,113,25
77,113,26
77,115,26
77,115,27
77,117,32
77,118,25
77,118,26
77,118,27
77,118,28
77,118,29
77,118,30
77,118,31
77,118,32
77,118,33
77,119,31
77,119,32
77,119,33
77,142,70
78,62,68
78,67,52
78,80,20
78,80,21
78,103,36
78,103,37
78,103,38
78,108,30
78,113,24
78,113,25
78,113,26
78,113,45
78,115,24
78,117,32
78,117,33
78,118,26
78,118,27
78,118,28
78,118,29
78,118,30
78,118,31
78,118,32
78,118,33
78,119,30
78,119,31
78,119,32
78,119,33
78,120,33
79,61,67
79,61,68
79,70,50
79,80,22
79,100,19
79,103,38
79,109,51
79,111,46
79,111,47
79,112,22
79,113,23
79,113,24
79,113,25
79,113,26
79,114,47
79,117,32
79,117,33
79,117,34
79,117,43
79,117,44
79,117,45
79,117,46
79,118,29
79,118,30
79,118,31
79,118,32
79,118,33
79,118,34
79,119,30
79,119,31
79,119,32
79,119,33
79,119,34
79,119,43
79,119,44
79,120,32
79,120,33
80,59,70
80,61,67
80,70,49
80,70,50
80,74,34
80,74,46
80,80,22
80,104,32
80,109,51
80,111,51
80,112,22
80,113,22
80,113,23
80,113,24
80,113,25
80,113,26
80,113,27
80,114,31
80,114,32
80,117,33
80,117,34
80,117,35
80,118,30
80,118,31
80,118,32
80,118,33
80,118,34
80,118,35
80,119,30
80,119,31
80,119,32
80,119,33
80,119,34
80,119,35
80,119,42
80,120,32
80,120,33
80,120,34
80,121,34
80,122,28
80,122,29
81,61,67
81,70,49
81,70,50
81,74,46
81,106,47
81,112,21
81,112,22
81,113,22
81,113,23
81,113,24
81,113,25
81,113,26
81,113,27
81,113,28
81,114,32
81,114,33
81,114,34
81,114,35
81,117,33
81,117,34
81,117,35
81,117,36
81,117,37
81,118,31
81,118,32
81,118,33
81,118,34
81,118,35
81,118,36
81,119,30
81,119,31
81,119,32
81,119,33
81,119,34
81,119,35
81,119,36
81,119,37
81,120,31
81,120,32
81,120,33
81,120,34
81,121,34
81,121,35
81,121,36
81,122,28
81,122,29
81,122,30
81,122,31
82,70,48
82,70,49
82,70,50
82,74,45
82,74,46
82,78,44
82,79,46
82,80,22
82,112,22
82,112,23
82,112,27
82,113,22
82,113,23
82,113,24
82,113,25
82,113,26
82,113,27
82,113,28
82,113,29
82,113,30
82,113,31
82,114,32
82,114,33
82,117,33
82,117,34
82,118,31
82,118,32
82,118,33
82,118,34
82,118,35
82,119,30
82,119,31
82,119,32
82,119,33
82,119,34
82,119,35
82,120,31
82,120,32
82,121,33
82,121,34
82,121,35
82,121,36
82,121,37
82,121,38
82,122,28
82,122,29
82,122,30
82,122,31
82,122,32
82,122,33
82,122,34
82,122,35
82,122,36
82,122,37
82,122,38
82,122,39
82,122,40
82,123,31
82,123,32
82,123,33
82,123,34
82,124,34
82,124,35
82,124,36
82,129,70
83,64,26
83,70,48
83,70,49
83,70,50
83,74,45
83,74,46
83,78,44
83,80,22
83,100,18
83,112,22
83,112,23
83,112,24
83,112,25
83,112,26
83,112,27
83,112,28
83,113,22
83,113,23
83,113,24
83,113,25
83,113,26
83,113,27
83,113,28
83,113,29
83,113,30
83,114,32
83,118,31
83,118,32
83,118,33
83,118,34
83,119,30
83,119,31
83,119,32
83,119,33
83,119,34
83,120,30
83,120,31
83,121,33
83,121,34
83,121,35
83,122,28
83,122,29
83,122,30
83,122,31
83,122,32
83,122,33
83,122,34
83,122,35
83,122,36
83,122,37
83,122,38
83,123,31
83,123,32
83,123,33
83,123,34
83,123,35
83,123,36
83,123,37
83,123,38
83,123,39
83,124,34
83,124,35
83,124,36
83,124,37
83,124,38
83,124,39
83,124,40
83,124,41
83,124,42
83,124,43
84,70,48
84,70,49
84,70,50
84,74,45
84,74,46
84,77,45
84,80,21
84,112,21
84,112,22
84,112,23
84,112,24
84,112,25
84,112,26
84,113,22
84,113,23
84,113,24
84,113,25
84,113,26
84,113,27
84,113,28
84,118,32
84,118,33
84,119,30
84,119,31
84,119,32
84,120,30
84,121,33
84,122,28
84,122,29
84,122,30
84,122,31
84,122,32
84,122,33
84,122,34
84,122,35
84,122,36
84,122,37
84,123,32
84,123,33
84,123,34
84,123,35
84,123,36
84,123,37
84,123,38
84,124,34
84,124,35
84,124,36
84,124,37
84,124,38
84,124,39
84,124,40
84,124,41
84,124,42
84,124,43
84,124,44
85,56,37
85,70,47
85,70,48
85,70,49
85,74,44
85,74,45
85,74,46
85,75,45
85,77,45
85,112,21
85,112,22
85,112,23
85,113,22
85,113,25
85,118,32
85,119,30
85,119,31
85,121,32
85,122,28
85,122,29
85,122,30
85,122,31
