"x","y","z"
62,83,28
62,100,24
62,100,25
63,81,27
63,81,28
63,82,27
63,83,27
63,83,28
63,84,27
63,84,28
63,84,29
63,100,24
63,100,25
63,101,23
63,101,24
63,101,25
64,81,27
64,81,28
64,81,29
64,82,27
64,83,27
64,83,28
64,84,27
64,84,28
64,84,29
64,85,28
64,100,24
64,100,25
64,101,23
64,101,24
64,101,25
64,107,25
64,107,26
65,81,27
65,81,28
65,81,29
65,82,27
65,83,26
65,83,27
65,83,28
65,84,27
65,84,28
65,84,29
65,85,27
65,85,28
65,86,28
65,100,23
65,100,24
65,100,25
65,100,26
65,101,23
65,101,24
65,101,25
65,102,23
65,102,24
65,102,25
65,103,23
65,103,24
65,103,25
65,104,25
65,104,26
65,105,26
65,105,27
65,105,28
65,106,24
65,106,25
65,106,26
65,106,27
65,106,28
65,107,22
65,107,23
65,107,24
65,107,25
65,107,26
65,107,27
65,107,28
65,108,26
65,108,27
66,81,27
66,81,28
66,81,29
66,81,30
66,82,26
66,82,27
66,82,28
66,83,26
66,83,27
66,83,28
66,83,29
66,84,27
66,84,28
66,84,29
66,84,30
66,85,27
66,85,28
66,86,28
66,96,27
66,96,28
66,96,29
66,97,27
66,97,28
66,97,29
66,98,26
66,98,27
66,98,28
66,98,29
66,99,25
66,99,26
66,99,27
66,99,28
66,99,29
66,99,30
66,100,24
66,100,25
66,100,26
66,100,27
66,101,23
66,101,24
66,101,25
66,101,26
66,102,22
66,102,23
66,102,24
66,102,25
66,103,22
66,103,23
66,103,24
66,103,25
66,104,24
66,104,25
66,104,26
66,104,27
66,104,28
66,104,29
66,105,24
66,105,25
66,105,26
66,105,27
66,105,28
66,105,29
66,106,22
66,106,23
66,106,24
66,106,25
66,106,26
66,106,27
66,106,28
66,106,29
66,107,21
66,107,22
66,107,23
66,107,24
66,107,25
66,107,26
66,107,27
66,107,28
66,107,29
66,107,30
66,108,24
66,108,25
66,108,26
66,108,27
66,108,28
66,108,29
66,109,26
66,109,27
66,109,28
67,81,26
67,81,27
67,81,28
67,81,29
67,81,30
67,81,31
67,81,32
67,82,27
67,82,28
67,82,29
67,83,27
67,83,28
67,83,29
67,84,27
67,84,28
67,84,29
67,84,30
67,85,27
67,85,28
67,86,28
67,94,27
67,95,26
67,95,27
67,95,28
67,96,25
67,96,26
67,96,27
67,96,28
67,96,29
67,97,25
67,97,26
67,97,27
67,97,28
67,97,29
67,98,24
67,98,25
67,98,26
67,98,27
67,98,28
67,98,29
67,98,30
67,99,24
67,99,25
67,99,26
67,99,27
67,99,28
67,99,29
67,99,30
67,100,22
67,100,23
67,100,24
67,100,25
67,100,26
67,100,27
67,100,28
67,101,22
67,101,23
67,101,24
67,101,25
67,101,26
67,101,27
67,102,22
67,102,23
67,102,24
67,102,25
67,102,26
67,102,27
67,103,22
67,103,23
67,103,24
67,103,25
67,103,26
67,103,27
67,103,28
67,104,22
67,104,23
67,104,24
67,104,25
67,104,26
67,104,27
67,104,28
67,104,29
67,104,30
67,104,31
67,105,22
67,105,23
67,105,24
67,105,25
67,105,26
67,105,27
67,105,28
67,105,29
67,105,30
67,105,31
67,105,32
67,106,21
67,106,22
67,106,23
67,106,24
67,106,25
67,106,26
67,106,27
67,106,28
67,106,29
67,106,30
67,106,31
67,106,32
67,107,21
67,107,22
67,107,23
67,107,24
67,107,25
67,107,26
67,107,27
67,107,28
67,107,29
67,107,30
67,108,23
67,108,24
67,108,25
67,108,26
67,108,27
67,108,28
67,108,29
67,109,25
67,109,26
67,109,27
67,109,28
67,110,25
67,110,26
68,81,27
68,81,28
68,81,29
68,81,30
68,82,27
68,82,28
68,82,29
68,82,30
68,83,27
68,83,28
68,83,29
68,83,30
68,84,27
68,84,28
68,84,29
68,84,30
68,85,27
68,85,28
68,87,20
68,88,20
68,89,20
68,93,26
68,93,27
68,94,25
68,94,26
68,94,27
68,94,28
68,95,24
68,95,25
68,95,26
68,95,27
68,95,28
68,96,22
68,96,23
68,96,24
68,96,25
68,96,26
68,96,27
68,96,28
68,96,29
68,97,22
68,97,23
68,97,24
68,97,25
68,97,26
68,97,27
68,97,28
68,97,29
68,97,30
68,98,22
68,98,23
68,98,24
68,98,25
68,98,26
68,98,27
68,98,28
68,98,29
68,99,22
68,99,23
68,99,24
68,99,25
68,99,26
68,99,27
68,99,28
68,99,29
68,99,30
68,100,22
68,100,23
68,100,24
68,100,25
68,100,26
68,100,27
68,100,28
68,101,22
68,101,23
68,101,24
68,101,25
68,101,26
68,101,27
68,101,28
68,101,29
68,102,22
68,102,23
68,102,24
68,102,25
68,102,26
68,102,27
68,102,28
68,102,29
68,103,22
68,103,23
68,103,24
68,103,25
68,103,26
68,103,27
68,103,28
68,103,29
68,103,30
68,104,22
68,104,23
68,104,24
68,104,25
68,104,26
68,104,27
68,104,28
68,104,29
68,104,30
68,104,31
68,104,32
68,104,33
68,105,21
68,105,22
68,105,23
68,105,24
68,105,25
68,105,26
68,105,27
68,105,28
68,105,29
68,105,30
68,105,31
68,105,32
68,105,33
68,106,21
68,106,22
68,106,23
68,106,24
68,106,25
68,106,26
68,106,27
68,106,28
68,106,29
68,106,30
68,106,31
68,106,32
68,107,21
68,107,22
68,107,23
68,107,24
68,107,25
68,107,26
68,107,27
68,107,28
68,107,29
68,107,30
68,108,22
68,108,23
68,108,24
68,108,25
68,108,26
68,108,27
68,108,28
68,108,29
68,109,25
68,109,26
68,109,27
68,109,28
68,110,24
68,110,25
68,110,26
68,110,27
68,111,26
69,81,27
69,81,28
69,81,29
69,82,27
69,82,28
69,82,29
69,82,30
69,82,31
69,83,27
69,83,28
69,83,29
69,83,30
69,84,27
69,84,28
69,84,29
69,84,30
69,84,31
69,85,28
69,85,29
69,85,30
69,86,20
69,86,29
69,87,20
69,88,19
69,88,20
69,89,19
69,89,20
69,89,25
69,90,20
69,90,25
69,91,25
69,91,26
69,91,27
69,91,28
69,92,25
69,92,26
69,92,27
69,92,28
69,93,25
69,93,26
69,93,27
69,93,28
69,94,25
69,94,26
69,94,27
69,94,28
69,95,21
69,95,22
69,95,25
69,95,26
69,95,27
69,95,28
69,96,21
69,96,22
69,96,24
69,96,25
69,96,26
69,96,27
69,96,28
69,96,29
69,97,21
69,97,22
69,97,23
69,97,25
69,97,26
69,97,27
69,97,28
69,97,29
69,97,30
69,98,21
69,98,22
69,98,23
69,98,24
69,98,25
69,98,26
69,98,27
69,98,28
69,98,29
69,99,21
69,99,22
69,99,23
69,99,24
69,99,25
69,99,26
69,99,27
69,99,28
69,99,29
69,99,30
69,100,21
69,100,22
69,100,23
69,100,24
69,100,25
69,100,26
69,100,27
69,100,28
69,101,21
69,101,22
69,101,23
69,101,24
69,101,25
69,101,26
69,101,27
69,101,28
69,101,29
69,102,22
69,102,23
69,102,24
69,102,25
69,102,26
69,102,27
69,102,28
69,102,29
69,102,30
69,103,22
69,103,23
69,103,24
69,103,25
69,103,26
69,103,27
69,103,28
69,103,29
69,103,30
69,103,31
69,103,32
69,103,33
69,103,34
69,103,35
69,104,22
69,104,23
69,104,24
69,104,25
69,104,26
69,104,27
69,104,28
69,104,29
69,104,30
69,104,31
69,104,32
69,104,33
69,104,34
69,105,21
69,105,22
69,105,23
69,105,24
69,105,25
69,105,26
69,105,27
69,105,28
69,105,29
69,105,30
69,105,31
69,105,32
69,105,33
69,106,21
69,106,22
69,106,23
69,106,24
69,106,25
69,106,26
69,106,27
69,106,28
69,106,29
69,106,30
69,106,31
69,106,32
69,107,21
69,107,22
69,107,23
69,107,24
69,107,25
69,107,26
69,107,27
69,107,28
69,107,29
69,108,21
69,108,22
69,108,23
69,108,24
69,108,25
69,108,26
69,108,27
69,108,28
69,109,24
69,109,25
69,109,26
69,109,27
69,109,28
69,110,23
69,110,24
69,110,25
69,110,26
69,110,27
69,110,28
69,111,24
69,111,25
69,111,26
69,111,27
69,111,28
69,112,24
69,112,25
69,112,26
70,81,27
70,81,28
70,82,27
70,82,28
70,82,29
70,82,30
70,82,31
70,82,32
70,83,21
70,83,27
70,83,28
70,83,29
70,83,30
70,83,31
70,84,28
70,84,29
70,84,30
70,84,31
70,85,20
70,85,28
70,85,29
70,85,30
70,85,31
70,86,19
70,86,20
70,86,29
70,86,30
70,87,19
70,87,20
70,87,24
70,87,25
70,87,29
70,87,30
70,88,19
70,88,20
70,88,24
70,88,25
70,88,29
70,89,19
70,89,20
70,89,24
70,89,25
70,89,26
70,90,19
70,90,20
70,90,24
70,90,25
70,90,26
70,90,27
70,91,19
70,91,20
70,91,21
70,91,25
70,91,26
70,91,27
70,91,28
70,92,19
70,92,20
70,92,21
70,92,25
70,92,26
70,92,27
70,92,28
70,93,18
70,93,19
70,93,20
70,93,21
70,93,25
70,93,26
70,93,27
70,93,28
70,94,18
70,94,19
70,94,20
70,94,21
70,94,25
70,94,26
70,94,27
70,94,28
70,95,18
70,95,19
70,95,20
70,95,21
70,95,25
70,95,26
70,95,27
70,95,28
70,96,19
70,96,20
70,96,21
70,96,25
70,96,26
70,96,27
70,96,28
70,96,29
70,97,19
70,97,20
70,97,21
70,97,22
70,97,26
70,97,27
70,97,28
70,97,29
70,97,30
70,98,20
70,98,21
70,98,22
70,98,23
70,98,25
70,98,26
70,98,27
70,98,28
70,98,29
70,99,20
70,99,21
70,99,22
70,99,23
70,99,24
70,99,25
70,99,27
70,99,28
70,99,29
70,100,20
70,100,21
70,100,22
70,100,23
70,100,24
70,100,25
70,100,26
70,100,27
70,100,28
70,101,21
70,101,22
70,101,23
70,101,24
70,101,25
70,101,26
70,101,27
70,101,28
70,101,29
70,101,30
70,102,21
70,102,22
70,102,23
70,102,24
70,102,25
70,102,26
70,102,27
70,102,28
70,102,29
70,102,30
70,102,31
70,103,21
70,103,22
70,103,23
70,103,24
70,103,25
70,103,26
70,103,27
70,103,28
70,103,29
70,103,30
70,103,31
70,103,32
70,103,33
70,103,34
70,104,22
70,104,23
70,104,24
70,104,25
70,104,26
70,104,27
70,104,28
70,104,29
70,104,30
70,104,31
70,104,32
70,104,33
70,104,34
70,105,21
70,105,22
70,105,23
70,105,24
70,105,25
70,105,26
70,105,27
70,105,28
70,105,29
70,105,30
70,105,31
70,105,32
70,105,33
70,106,21
70,106,22
70,106,23
70,106,24
70,106,25
70,106,26
70,106,27
70,106,28
70,106,29
70,106,30
70,107,20
70,107,21
70,107,22
70,107,23
70,107,24
70,107,25
70,107,26
70,107,27
70,107,28
70,107,29
70,108,21
70,108,22
70,108,23
70,108,24
70,108,25
70,108,26
70,108,27
70,108,28
70,109,23
70,109,24
70,109,25
70,109,26
70,109,27
70,109,28
70,110,23
70,110,24
70,110,25
70,110,26
70,110,27
70,110,28
70,110,29
70,111,23
70,111,24
70,111,25
70,111,26
70,111,27
70,111,28
70,111,29
70,112,23
70,112,24
70,112,25
70,112,26
70,112,27
71,81,22
71,81,26
71,81,27
71,81,28
71,82,21
71,82,26
71,82,27
71,82,28
71,82,29
71,82,30
71,82,31
71,82,32
71,83,20
71,83,21
71,83,26
71,83,27
71,83,28
71,83,29
71,83,30
71,83,31
71,83,32
71,84,20
71,84,21
71,84,26
71,84,27
71,84,28
71,84,29
71,84,30
71,84,31
71,85,19
71,85,20
71,85,21
71,85,22
71,85,23
71,85,26
71,85,27
71,85,28
71,85,29
71,85,30
71,85,31
71,86,19
71,86,20
71,86,21
71,86,22
71,86,23
71,86,24
71,86,26
71,86,27
71,86,28
71,86,29
71,86,30
71,87,19
71,87,20
71,87,21
71,87,23
71,87,24
71,87,25
71,87,26
71,87,28
71,87,29
71,87,30
71,88,18
71,88,19
71,88,20
71,88,21
71,88,24
71,88,25
71,88,26
71,88,29
71,89,18
71,89,19
71,89,20
71,89,21
71,89,23
71,89,24
71,89,25
71,89,26
71,90,18
71,90,19
71,90,20
71,90,21
71,90,23
71,90,24
71,90,25
71,90,26
71,90,27
71,91,18
71,91,19
71,91,20
71,91,21
71,91,22
71,91,24
71,91,25
71,91,26
71,91,27
71,91,28
71,92,18
71,92,19
71,92,20
71,92,21
71,92,22
71,92,24
71,92,25
71,92,26
71,92,27
71,92,28
71,93,18
71,93,19
71,93,20
71,93,21
71,93,22
71,93,24
71,93,25
71,93,26
71,93,27
71,93,28
71,94,18
71,94,19
71,94,20
71,94,21
71,94,22
71,94,24
71,94,25
71,94,26
71,94,27
71,95,18
71,95,19
71,95,20
