"x","y","z"
31,49,39
31,50,37
31,50,38
31,50,39
31,50,40
31,50,41
31,50,42
31,51,37
31,51,38
31,51,39
31,51,40
31,51,41
31,52,35
31,52,36
31,52,37
31,52,38
31,52,39
31,52,40
31,52,41
31,52,42
31,53,34
31,53,35
31,53,36
31,53,37
31,53,38
31,53,39
31,53,40
31,53,41
31,53,42
31,54,33
31,54,34
31,54,35
31,54,36
31,54,37
31,54,38
31,54,39
31,54,40
31,54,41
31,55,33
31,55,34
31,55,35
31,55,36
31,55,37
31,55,38
31,55,39
31,55,40
31,55,41
31,56,34
31,56,35
31,56,36
31,56,37
31,56,38
31,56,39
31,56,40
31,56,41
31,57,33
31,57,34
31,57,35
31,57,36
31,57,37
31,57,38
31,57,39
31,57,40
31,57,41
31,58,32
31,58,33
31,58,34
31,58,35
31,58,36
31,58,37
31,58,38
31,58,39
31,58,40
31,59,31
31,59,32
31,59,33
31,59,34
31,59,35
31,59,36
31,59,37
31,59,38
31,59,39
31,59,40
31,60,31
31,60,32
31,60,33
31,60,34
31,60,35
31,60,36
31,60,37
31,60,38
31,60,39
31,61,31
31,61,32
31,61,33
31,61,34
31,61,35
31,61,36
31,61,37
31,61,38
31,61,39
31,62,30
31,62,31
31,62,32
31,62,33
31,62,34
31,62,35
31,62,36
31,62,37
31,62,38
31,62,39
31,63,29
31,63,30
31,63,31
31,63,32
31,63,33
31,63,34
31,63,35
31,63,36
31,63,37
31,63,38
31,63,39
31,64,29
31,64,30
31,64,31
31,64,32
31,64,33
31,64,34
31,64,35
31,64,36
31,64,37
31,64,38
31,65,29
31,65,30
31,65,31
31,65,32
31,65,33
31,65,34
31,65,35
31,65,36
31,65,37
31,66,29
31,66,30
31,66,31
31,66,32
31,66,33
31,66,34
31,66,35
31,66,36
31,67,29
31,67,30
31,67,31
31,67,32
31,67,33
31,67,34
31,67,35
31,68,28
31,68,29
31,68,31
31,68,32
31,68,33
31,68,34
31,69,28
31,69,29
31,69,31
31,69,32
31,70,28
31,70,29
31,70,30
31,70,31
31,71,28
31,71,29
31,71,30
31,72,28
31,72,29
31,72,30
31,73,27
31,73,28
31,73,29
31,74,27
31,74,28
32,46,41
32,47,39
32,47,40
32,47,41
32,47,42
32,47,43
32,48,37
32,48,38
32,48,39
32,48,40
32,48,41
32,48,42
32,48,43
32,48,44
32,49,36
32,49,37
32,49,38
32,49,39
32,49,40
32,49,41
32,49,42
32,49,43
32,49,44
32,49,45
32,50,35
32,50,36
32,50,37
32,50,38
32,50,39
32,50,40
32,50,41
32,50,42
32,50,43
32,50,44
32,51,34
32,51,35
32,51,36
32,51,37
32,51,38
32,51,39
32,51,40
32,51,41
32,51,42
32,51,43
32,51,44
32,52,34
32,52,35
32,52,36
32,52,37
32,52,38
32,52,39
32,52,40
32,52,41
32,52,42
32,52,43
32,52,44
32,53,33
32,53,34
32,53,35
32,53,36
32,53,37
32,53,38
32,53,39
32,53,40
32,53,41
32,53,42
32,53,43
32,53,44
32,54,33
32,54,34
32,54,35
32,54,36
32,54,37
32,54,38
32,54,39
32,54,40
32,54,41
32,54,42
32,54,43
32,55,32
32,55,33
32,55,34
32,55,35
32,55,36
32,55,37
32,55,38
32,55,39
32,55,40
32,55,41
32,55,42
32,56,32
32,56,33
32,56,34
32,56,35
32,56,36
32,56,37
32,56,38
32,56,39
32,56,40
32,56,41
32,56,42
32,57,31
32,57,32
32,57,33
32,57,34
32,57,35
32,57,36
32,57,37
32,57,38
32,57,39
32,57,40
32,57,41
32,57,42
32,58,31
32,58,32
32,58,33
32,58,34
32,58,35
32,58,36
32,58,37
32,58,38
32,58,39
32,58,40
32,58,41
32,59,29
32,59,30
32,59,31
32,59,32
32,59,33
32,59,34
32,59,35
32,59,36
32,59,37
32,59,38
32,59,39
32,59,40
32,59,41
32,60,29
32,60,30
32,60,31
32,60,32
32,60,33
32,60,34
32,60,35
32,60,36
32,60,37
32,60,38
32,60,39
32,60,40
32,60,41
32,61,28
32,61,29
32,61,30
32,61,31
32,61,32
32,61,33
32,61,34
32,61,35
32,61,36
32,61,37
32,61,38
32,61,39
32,61,40
32,61,41
32,62,28
32,62,29
32,62,30
32,62,31
32,62,32
32,62,33
32,62,34
32,62,35
32,62,36
32,62,37
32,62,38
32,62,39
32,62,40
32,63,27
32,63,28
32,63,29
32,63,30
32,63,31
32,63,32
32,63,33
32,63,34
32,63,35
32,63,36
32,63,37
32,63,38
32,63,39
32,63,40
32,64,27
32,64,28
32,64,29
32,64,30
32,64,31
32,64,32
32,64,33
32,64,34
32,64,35
32,64,36
32,64,37
32,64,38
32,64,39
32,65,27
32,65,28
32,65,29
32,65,30
32,65,31
32,65,32
32,65,33
32,65,34
32,65,35
32,65,36
32,65,37
32,65,38
32,65,39
32,66,27
32,66,28
32,66,29
32,66,30
32,66,31
32,66,32
32,66,33
32,66,34
32,66,35
32,66,36
32,66,37
32,67,27
32,67,28
32,67,29
32,67,30
32,67,31
32,67,32
32,67,33
32,67,34
32,67,35
32,67,36
32,67,37
32,68,26
32,68,27
32,68,28
32,68,29
32,68,30
32,68,31
32,68,32
32,68,33
32,68,34
32,68,35
32,69,26
32,69,27
32,69,28
32,69,29
32,69,30
32,69,31
32,69,32
32,69,33
32,70,25
32,70,26
32,70,27
32,70,28
32,70,29
32,70,30
32,70,31
32,71,25
32,71,26
32,71,27
32,71,28
32,71,29
32,71,30
32,72,24
32,72,25
32,72,26
32,72,27
32,72,28
32,72,29
