"x","y","z"
57,122,20
57,123,19
57,123,20
57,124,19
57,124,20
57,125,20
57,125,21
57,126,20
57,126,21
57,127,21
57,128,21
58,122,19
58,123,19
58,123,20
58,124,19
58,124,20
58,125,19
58,125,20
58,125,21
58,126,20
58,126,21
58,127,20
58,127,21
58,127,22
58,128,21
58,128,22
58,129,21
58,129,22
58,130,22
58,130,23
58,131,23
58,132,23
58,133,24
58,134,25
59,123,19
59,123,20
59,124,19
59,124,20
59,125,20
59,125,21
59,126,20
59,126,21
59,127,20
59,127,21
59,127,22
59,128,20
59,128,21
59,128,22
59,129,21
59,129,22
59,129,23
59,130,21
59,130,22
59,130,23
59,131,22
59,131,23
59,131,24
59,132,23
59,132,24
59,133,24
59,133,25
59,134,24
59,134,25
59,135,25
59,135,26
59,136,26
59,136,27
59,137,27
59,137,28
60,123,20
60,124,20
60,125,20
60,125,21
60,126,20
60,126,21
60,127,20
60,127,21
60,128,20
60,128,21
60,128,22
60,129,21
60,129,22
60,129,23
60,130,21
60,130,22
60,130,23
60,131,22
60,131,23
60,131,24
60,132,22
60,132,23
60,132,24
60,133,23
60,133,24
60,133,25
60,134,24
60,134,25
60,134,26
60,135,25
60,135,26
60,136,25
60,136,26
60,136,27
60,137,26
60,137,27
60,137,28
60,138,27
60,138,28
61,125,20
61,126,20
61,126,21
61,127,20
61,127,21
61,128,20
61,128,21
61,129,21
61,129,22
61,130,21
61,130,22
61,130,23
61,131,21
61,131,22
61,131,23
61,132,22
61,132,23
61,132,24
61,133,22
61,133,23
61,133,24
61,133,25
61,134,23
61,134,24
61,134,25
61,135,24
61,135,25
61,135,26
61,136,25
61,136,26
61,136,27
61,137,26
61,137,27
61,137,28
61,138,27
61,138,28
62,128,20
62,128,21
62,129,21
62,130,21
62,130,22
62,131,21
62,131,22
62,131,23
62,132,22
62,132,23
62,133,22
62,133,23
62,133,24
62,134,23
62,134,24
62,134,25
62,135,24
62,135,25
62,136,24
62,136,25
62,136,26
62,137,25
62,137,26
62,137,27
62,138,26
62,138,27
62,138,28
62,139,27
63,131,21
63,131,22
63,132,22
63,132,23
63,133,22
63,133,23
63,134,23
63,134,24
63,135,23
63,135,24
63,135,25
63,136,24
63,136,25
63,137,25
63,137,26
63,138,26
63,138,27
63,139,26
63,139,27
64,131,26
64,134,23
64,135,23
64,135,24
64,136,24
64,136,25
64,137,25
64,138,26
87,138,25
87,138,26
87,139,26
87,139,27
87,140,27
87,140,28
87,141,28
88,133,22
88,133,23
88,134,23
88,135,23
88,136,24
88,137,24
88,137,25
88,138,25
88,138,26
88,138,27
88,139,26
88,139,27
88,139,28
88,140,27
88,140,28
88,140,29
88,141,28
88,141,29
88,142,29
89,130,21
89,130,22
89,131,22
89,131,27
89,132,22
89,132,23
89,133,22
89,133,23
89,133,24
89,134,23
89,134,24
89,135,23
89,135,24
89,136,24
89,136,25
89,137,25
89,137,26
89,138,26
89,138,27
89,139,26
89,139,27
89,139,28
89,140,28
89,140,29
89,141,29
89,144,32
89,144,33
89,144,34
89,144,35
89,144,36
90,127,20
90,127,21
90,128,21
90,129,21
90,129,22
90,130,21
90,130,22
90,131,22
90,131,23
90,132,22
90,132,23
90,132,24
90,133,22
90,133,23
90,133,24
90,134,23
90,134,24
90,134,25
90,135,24
90,135,25
90,135,26
90,136,24
90,136,25
90,136,26
90,137,25
90,137,26
90,137,27
90,138,26
90,138,27
90,138,28
90,139,27
90,139,28
90,139,29
90,140,28
90,140,29
90,140,30
90,141,29
90,141,30
90,141,31
90,142,31
90,143,32
90,143,33
90,143,34
90,143,35
90,144,34
90,144,35
90,144,37
90,144,38
90,144,39
91,124,20
91,125,20
91,126,20
91,126,21
91,127,20
91,127,21
91,128,20
91,128,21
91,128,22
91,129,21
91,129,22
91,130,21
91,130,22
91,130,23
91,131,22
91,131,23
91,131,24
91,132,22
91,132,23
91,132,24
91,133,23
91,133,24
91,133,25
91,134,23
91,134,24
91,134,25
91,135,24
91,135,25
91,135,26
91,136,25
91,136,26
91,136,27
91,137,26
91,137,27
91,137,28
91,138,27
91,138,28
91,138,29
91,139,28
91,139,29
91,139,30
91,140,29
91,140,30
91,140,31
91,141,31
91,141,32
91,141,33
91,142,32
91,142,33
91,143,34
91,144,38
92,122,19
92,122,20
92,123,19
92,123,20
92,124,19
92,124,20
92,125,20
92,126,20
92,126,21
92,127,20
92,127,21
92,127,22
92,128,20
92,128,21
92,128,22
92,129,21
92,129,22
92,129,23
92,130,21
92,130,22
92,130,23
92,131,22
92,131,23
92,131,24
92,132,22
92,132,23
92,132,24
92,132,25
92,133,23
92,133,24
92,133,25
92,134,24
92,134,25
92,134,26
92,135,25
92,135,26
92,135,27
92,136,25
92,136,26
92,136,27
92,136,28
92,137,26
92,137,27
92,137,28
92,137,29
92,138,28
92,138,29
92,138,30
92,139,29
92,139,30
92,139,31
92,140,30
92,140,31
92,140,32
92,141,31
92,141,32
93,120,19
93,120,20
93,121,19
93,121,20
93,122,19
93,122,20
93,123,19
93,123,20
93,124,19
93,124,20
93,125,20
93,126,20
93,126,21
93,127,20
93,127,21
93,127,22
93,128,21
93,128,22
93,129,21
93,129,22
93,129,23
93,130,22
93,130,23
93,131,22
93,131,23
93,131,24
93,132,23
93,132,24
93,133,24
93,133,25
93,134,24
93,134,25
93,134,26
93,135,25
93,135,26
93,135,27
93,136,26
93,136,27
93,136,28
93,137,27
93,137,28
93,137,29
93,138,29
93,138,30
93,139,30
93,139,31
94,119,18
94,119,19
94,119,20
94,120,18
94,120,19
94,120,20
94,121,18
94,121,19
94,121,20
94,122,19
94,122,20
94,123,19
94,123,20
94,124,19
94,124,20
94,125,20
94,126,20
94,126,21
94,127,20
94,127,21
94,127,22
94,128,21
94,128,22
94,129,22
94,130,22
94,130,23
94,131,23
94,132,24
94,133,24
94,133,25
94,134,25
94,134,26
94,135,26
94,135,27
94,136,27
94,136,28
95,119,18
95,119,19
95,120,18
95,120,19
95,121,18
95,121,19
95,122,19
95,123,19
95,123,20
95,124,19
95,124,20
95,125,20
95,126,20
95,126,21
95,127,21
96,119,19
96,120,18
96,120,19
96,121,18
96,121,19
96,122,19
