"x","y","z"
57,64,24
58,72,24
58,74,30
58,75,30
59,71,28
59,72,22
59,73,22
59,74,30
59,75,30
59,76,29
60,71,28
60,72,27
60,72,28
60,73,21
60,74,27
60,74,28
60,74,29
60,74,30
60,75,29
60,76,29
61,65,25
61,66,23
61,66,24
61,66,25
61,72,26
61,73,27
61,73,28
61,74,26
61,74,27
61,74,28
61,74,29
61,75,27
61,75,28
61,75,29
62,64,20
62,64,21
62,64,22
62,65,20
62,65,21
62,65,22
62,65,23
62,65,25
62,65,26
62,66,21
62,66,22
62,66,26
62,72,25
62,73,26
62,74,25
62,74,26
62,74,27
62,74,28
62,75,25
62,75,26
62,75,27
62,75,28
62,76,25
62,76,27
62,76,28
63,64,18
63,64,19
63,64,20
63,64,21
63,64,26
63,65,19
63,65,20
63,65,21
63,66,20
63,66,21
63,67,26
63,71,24
63,71,25
63,72,24
63,72,25
63,72,26
63,73,25
63,73,26
63,73,27
63,74,24
63,74,25
63,74,26
63,74,27
63,75,24
63,75,25
63,75,26
63,75,27
63,75,28
63,76,24
63,76,25
63,76,26
63,76,27
63,76,28
63,77,26
63,77,27
63,79,26
63,80,25
63,80,26
63,81,26
64,64,18
64,64,19
64,64,20
64,65,18
64,65,19
64,65,20
64,66,19
64,66,20
64,67,19
64,67,26
64,71,24
64,71,25
64,71,26
64,72,23
64,72,24
64,72,25
64,72,26
64,72,27
64,73,24
64,73,25
64,73,26
64,73,27
64,74,23
64,74,24
64,74,25
64,74,26
64,74,27
64,75,24
64,75,25
64,75,26
64,75,27
64,76,23
64,76,24
64,76,25
64,76,26
64,76,27
64,77,25
64,77,26
64,77,27
64,78,26
64,78,27
64,79,25
64,79,26
64,79,27
64,80,24
64,80,25
64,80,26
64,81,25
64,81,26
64,82,25
65,64,18
65,64,19
65,65,17
65,65,18
65,65,19
65,66,19
65,66,20
65,71,27
65,71,28
65,72,24
65,72,25
65,72,26
65,72,27
65,72,28
65,73,23
65,73,24
65,73,25
65,73,26
65,73,27
65,73,28
65,74,23
65,74,24
65,74,25
65,74,26
65,74,27
65,75,23
65,75,24
65,75,25
65,75,26
65,75,27
65,76,23
65,76,24
65,76,25
65,76,26
65,76,27
65,77,24
65,77,25
65,77,26
65,77,27
65,78,25
65,78,26
65,78,27
65,79,24
65,79,25
65,79,26
65,80,23
65,80,24
65,80,25
65,80,26
65,81,24
65,81,25
65,81,26
65,82,25
66,64,17
66,64,18
66,64,19
66,65,16
66,65,17
66,65,18
66,65,19
66,66,17
66,66,18
66,66,19
66,66,26
66,66,31
66,67,25
66,67,26
66,67,27
66,68,23
66,71,22
66,71,27
66,71,28
66,72,21
66,72,26
66,72,27
66,72,28
66,73,25
66,73,26
66,73,27
66,73,28
66,74,25
66,74,26
66,74,27
66,75,23
66,75,24
66,75,25
66,75,26
66,75,27
66,76,23
66,76,24
66,76,25
66,76,26
66,77,23
66,77,24
66,77,25
66,77,26
66,78,23
66,78,24
66,78,25
66,78,26
66,79,24
66,79,25
66,79,26
66,80,23
66,80,24
66,80,25
66,80,26
66,81,23
66,81,24
66,81,25
66,81,26
66,82,24
66,82,25
67,64,17
67,64,18
67,65,16
67,65,17
67,65,18
67,65,24
67,65,30
67,65,31
67,65,32
67,66,17
67,66,18
67,66,25
67,66,26
67,66,27
67,66,28
67,66,30
67,66,31
67,66,32
67,67,24
67,67,25
67,67,26
67,67,27
67,67,30
67,67,31
67,68,23
67,68,24
67,68,26
67,68,27
67,71,27
67,72,21
67,72,27
67,72,28
67,73,26
67,73,27
67,73,28
67,74,25
67,74,26
67,74,27
67,74,28
67,75,25
67,75,26
67,75,27
67,76,25
67,76,26
67,77,24
67,77,25
67,77,26
67,78,24
67,78,25
67,78,26
67,79,23
67,79,24
67,79,25
67,79,26
67,80,22
67,80,23
67,80,24
67,80,25
67,81,22
67,81,23
67,81,24
67,81,25
67,82,23
67,82,24
67,82,25
68,63,33
68,64,17
68,64,30
68,64,31
68,64,32
68,64,33
68,65,16
68,65,17
68,65,24
68,65,27
68,65,28
68,65,29
68,65,30
68,65,31
68,65,32
68,65,33
68,66,16
68,66,17
68,66,18
68,66,24
68,66,25
68,66,26
68,66,27
68,66,28
68,66,29
68,66,30
68,66,31
68,66,32
68,66,33
68,67,17
68,67,23
68,67,24
68,67,25
68,67,26
68,67,27
68,67,30
68,67,31
68,67,32
68,68,22
68,68,23
68,68,24
68,68,25
68,68,26
68,72,20
68,72,26
68,72,27
68,72,28
68,73,25
68,73,26
68,73,27
68,73,28
68,74,25
68,74,26
68,74,27
68,74,28
68,75,25
68,75,26
68,75,27
68,75,28
68,76,25
68,76,26
68,77,24
68,77,25
68,78,24
68,78,25
