"x","y","z"
39,108,22
39,108,23
40,108,20
40,108,21
40,108,22
40,108,23
40,108,24
40,109,22
40,109,23
41,108,19
41,108,20
41,108,21
41,108,22
41,108,23
41,108,24
41,108,25
41,109,20
41,109,21
41,109,22
41,109,23
41,109,24
41,110,22
41,110,23
42,107,17
42,108,18
42,108,19
42,108,20
42,108,21
42,108,22
42,108,23
42,108,24
42,108,25
42,109,19
42,109,20
42,109,21
42,109,22
42,109,23
42,109,24
42,110,20
42,110,21
42,110,22
42,110,23
42,110,24
42,110,25
42,111,22
42,111,25
43,107,16
43,107,17
43,108,17
43,108,18
43,108,19
43,108,20
43,108,21
43,108,22
43,108,23
43,108,24
43,108,25
43,109,19
43,109,20
43,109,21
43,109,22
43,109,23
43,109,24
43,110,19
43,110,20
43,110,21
43,110,22
43,110,23
43,110,24
43,110,25
43,111,21
43,111,22
43,111,23
43,111,24
43,111,25
43,112,22
43,112,23
43,112,24
43,112,25
43,113,23
43,113,24
43,113,25
43,114,24
44,107,16
44,107,17
44,108,17
44,108,18
44,108,19
44,108,20
44,108,21
44,108,22
44,108,23
44,108,24
44,108,25
44,108,26
44,109,18
44,109,19
44,109,20
44,109,21
44,109,22
44,109,23
44,109,24
44,109,25
44,110,19
44,110,20
44,110,21
44,110,22
44,110,23
44,110,24
44,110,25
44,111,20
44,111,21
44,111,22
44,111,23
44,111,24
44,111,25
44,112,21
44,112,22
44,112,23
44,112,24
44,112,25
44,113,21
44,113,22
44,113,23
44,113,24
44,113,25
44,114,22
44,114,23
44,114,24
44,115,23
44,115,24
44,115,25
45,107,16
45,107,17
45,108,17
45,108,18
45,108,19
45,108,20
45,108,21
45,108,22
45,108,23
45,108,24
45,108,25
45,108,26
45,109,18
45,109,19
45,109,20
45,109,21
45,109,22
45,109,23
45,109,24
45,109,25
45,110,19
45,110,20
45,110,21
45,110,22
45,110,23
45,110,24
45,110,25
45,111,19
45,111,20
45,111,21
45,111,22
45,111,23
45,111,24
45,111,25
45,112,20
45,112,21
45,112,22
45,112,23
45,112,24
45,112,25
45,113,21
45,113,22
45,113,23
45,113,24
45,113,25
45,114,21
45,114,22
45,114,23
45,114,24
45,115,21
45,115,22
45,115,23
45,115,24
45,115,25
45,116,22
45,116,23
45,116,24
45,116,25
45,117,23
45,117,24
46,107,16
46,107,17
46,107,18
46,108,17
46,108,18
46,108,19
46,108,20
46,108,21
46,108,22
46,108,23
46,108,24
46,108,25
46,108,26
46,109,18
46,109,19
46,109,20
46,109,21
46,109,22
46,109,23
46,109,24
46,109,25
46,109,26
46,110,19
46,110,20
46,110,21
46,110,22
46,110,23
46,110,24
46,110,25
46,110,26
46,111,19
46,111,20
46,111,21
46,111,22
46,111,23
46,111,24
46,111,25
46,111,26
46,112,20
46,112,21
46,112,22
46,112,23
46,112,24
46,112,25
46,112,26
46,113,20
46,113,21
46,113,22
46,113,23
46,113,24
46,113,25
46,114,20
46,114,21
46,114,22
46,114,23
46,114,24
46,114,25
46,115,20
46,115,21
46,115,22
46,115,23
46,115,24
46,115,25
46,116,21
46,116,22
46,116,23
46,116,24
46,116,25
46,117,21
46,117,22
46,117,23
46,117,24
46,117,25
46,117,26
46,118,22
46,118,23
