"x","y","z"
33,73,23
33,77,23
34,73,22
34,77,22
34,77,23
34,77,24
34,78,22
34,79,22
34,96,21
34,97,21
34,98,21
35,72,22
35,73,22
35,77,21
35,77,22
35,77,23
35,77,24
35,78,21
35,78,22
35,79,21
35,79,22
35,81,20
35,87,20
35,93,18
35,93,19
35,93,20
35,94,17
35,95,17
35,95,18
35,95,19
35,95,20
35,95,21
35,96,18
35,96,19
35,96,20
35,96,21
35,97,18
35,97,19
35,97,20
35,97,21
35,97,22
35,98,18
35,98,19
35,98,20
35,98,21
35,98,22
35,99,19
35,99,20
35,99,21
35,99,22
35,99,23
35,100,20
35,100,21
35,100,22
35,100,23
35,101,22
36,72,22
36,73,21
36,73,22
36,77,21
36,77,22
36,77,23
36,77,24
36,77,25
36,78,20
36,78,21
36,78,22
36,78,23
36,79,20
36,79,21
36,79,22
36,79,23
36,79,24
36,81,20
36,81,21
36,81,22
36,85,19
36,85,20
36,86,18
36,86,19
36,86,20
36,86,21
36,87,17
36,87,18
36,87,19
36,87,20
36,88,17
36,88,18
36,88,19
36,88,20
36,89,17
36,89,18
36,90,16
36,90,17
36,90,18
36,90,19
36,91,16
36,91,17
36,91,18
36,91,19
36,91,20
36,92,16
36,92,17
36,92,18
36,93,16
36,93,17
36,93,18
36,93,19
36,93,20
36,94,16
36,94,17
36,94,18
36,94,19
36,95,16
36,95,17
36,95,18
36,95,19
36,95,20
36,95,21
36,96,16
36,96,17
36,96,18
36,96,19
36,96,20
36,96,21
36,96,22
36,96,23
36,96,24
36,97,17
36,97,18
36,97,19
36,97,20
36,97,21
36,97,22
36,97,23
36,98,16
36,98,17
36,98,18
36,98,19
36,98,20
36,98,21
36,98,22
36,98,23
36,99,17
36,99,18
36,99,19
36,99,20
36,99,21
36,99,22
36,99,23
36,99,24
36,100,18
36,100,19
36,100,20
36,100,21
36,100,22
36,100,23
36,100,24
36,101,19
36,101,20
36,101,21
36,101,22
36,101,23
36,101,24
36,102,20
36,102,21
36,102,22
36,102,23
36,103,21
36,103,22
36,103,23
37,62,27
37,72,21
37,72,22
37,72,23
37,73,21
37,73,22
37,73,23
37,74,21
37,75,21
37,77,20
37,77,21
37,77,22
37,77,23
37,77,24
37,77,25
37,77,26
37,77,27
37,78,20
37,78,21
37,78,22
37,78,23
37,78,24
37,78,25
37,79,19
37,79,20
37,79,21
37,79,22
37,79,23
37,79,24
37,79,25
37,80,19
37,81,18
37,81,19
37,81,20
37,81,21
37,81,22
37,81,23
37,82,18
37,83,17
37,83,18
37,83,19
37,84,17
37,85,16
37,85,17
37,85,18
37,85,19
37,85,20
37,86,15
37,86,16
37,86,17
37,86,18
37,86,19
37,86,20
37,86,21
37,87,15
37,87,16
37,87,17
37,87,18
37,87,19
37,87,20
37,87,21
37,88,16
37,88,17
37,88,18
37,88,19
37,88,20
37,88,21
37,89,14
37,89,16
37,89,17
37,89,18
37,89,19
37,90,15
37,90,16
37,90,17
37,90,18
37,90,19
37,90,20
37,91,14
37,91,15
37,91,16
37,91,17
37,91,18
37,91,19
37,91,20
37,92,14
37,92,15
37,92,16
37,92,17
37,92,18
37,93,14
37,93,15
37,93,16
37,93,17
37,93,18
37,93,19
37,93,20
37,93,21
37,94,14
37,94,15
37,94,16
37,94,17
37,94,18
37,94,19
37,94,20
37,95,15
37,95,16
37,95,17
37,95,18
37,95,19
37,95,20
37,95,21
37,95,22
37,96,15
37,96,16
37,96,17
37,96,18
37,96,19
37,96,20
37,96,21
37,96,22
37,96,23
37,96,24
37,97,15
37,97,16
37,97,17
37,97,18
37,97,19
37,97,20
37,97,21
37,97,22
37,97,23
37,98,15
37,98,16
37,98,17
37,98,18
37,98,19
37,98,20
37,98,21
37,98,22
37,98,23
37,98,24
37,99,16
37,99,17
37,99,18
37,99,19
37,99,20
37,99,21
37,99,22
37,99,23
37,99,24
37,100,17
37,100,18
37,100,19
37,100,20
37,100,21
37,100,22
37,100,23
37,100,24
37,100,25
37,101,17
37,101,18
37,101,19
37,101,20
37,101,21
37,101,22
37,101,23
37,101,24
37,101,25
37,102,18
37,102,19
37,102,20
37,102,21
37,102,22
37,102,23
37,102,24
37,103,19
37,103,20
37,103,21
37,103,22
37,103,23
37,103,24
37,104,20
37,104,21
37,104,22
37,104,23
37,104,24
37,105,21
37,105,22
37,105,23
38,62,27
38,63,26
38,72,21
38,72,22
38,72,23
38,73,21
38,73,22
38,73,23
38,74,20
38,74,21
38,75,20
38,75,21
38,77,19
38,77,20
38,77,21
38,77,22
38,77,23
38,77,24
38,77,25
38,78,18
38,78,19
38,78,20
38,78,21
38,78,22
38,78,23
38,78,24
38,78,25
38,79,18
38,79,19
38,79,20
38,79,21
38,79,22
38,79,23
38,79,24
38,79,25
38,80,17
38,80,18
38,80,19
38,80,20
38,80,21
38,81,16
38,81,17
38,81,18
38,81,19
38,81,20
38,81,21
38,81,22
38,81,23
38,81,24
38,82,16
38,82,17
38,82,18
38,82,19
38,83,15
38,83,16
38,83,17
38,83,18
38,83,19
38,84,15
38,84,16
38,84,17
38,84,18
38,85,14
38,85,15
38,85,16
38,85,17
38,85,18
38,85,19
38,85,20
38,85,21
38,85,22
38,86,14
38,86,15
38,86,16
38,86,17
38,86,18
38,86,19
38,86,20
38,86,21
38,86,22
38,86,23
38,87,14
38,87,15
38,87,16
38,87,17
38,87,18
38,87,19
38,87,20
38,87,21
38,88,14
38,88,15
38,88,16
38,88,17
38,88,18
38,88,19
38,88,20
38,88,21
38,89,13
38,89,14
38,89,15
38,89,16
38,89,17
38,89,18
38,89,19
38,89,20
38,90,13
38,90,14
38,90,15
38,90,16
38,90,17
38,90,18
38,90,19
38,90,20
38,91,13
38,91,14
38,91,15
38,91,16
38,91,17
38,91,18
38,91,19
38,91,20
38,91,21
38,92,13
38,92,14
38,92,15
38,92,16
38,92,17
38,92,18
38,93,12
38,93,13
38,93,14
38,93,15
38,93,16
38,93,17
38,93,18
38,93,19
38,93,20
38,93,21
38,94,13
38,94,14
38,94,15
38,94,16
38,94,17
38,94,18
38,94,19
38,94,20
38,95,13
38,95,14
38,95,15
38,95,16
38,95,17
38,95,18
38,95,19
38,95,20
38,95,21
38,95,22
38,96,13
38,96,14
38,96,15
38,96,16
38,96,17
38,96,18
38,96,19
38,96,20
38,96,21
38,96,22
38,96,23
38,96,24
38,97,14
38,97,15
38,97,16
38,97,17
38,97,18
38,97,19
38,97,20
38,97,21
38,97,22
38,97,23
38,98,14
38,98,15
38,98,16
38,98,17
38,98,18
38,98,19
38,98,20
38,98,21
38,98,22
38,98,23
38,98,24
38,98,25
38,99,15
38,99,16
38,99,17
38,99,18
38,99,19
38,99,20
38,99,21
38,99,22
38,99,23
38,99,24
38,100,16
38,100,17
38,100,18
38,100,19
38,100,20
38,100,21
38,100,22
38,100,23
38,100,24
38,100,25
38,101,16
38,101,17
38,101,18
38,101,19
38,101,20
38,101,21
38,101,22
38,101,23
38,101,24
38,101,25
38,102,16
38,102,17
38,102,18
38,102,19
38,102,20
38,102,21
38,102,22
38,102,23
38,102,24
38,102,25
38,103,17
38,103,18
38,103,19
38,103,20
38,103,21
38,103,22
38,103,23
38,103,24
38,103,25
38,104,18
38,104,19
38,104,20
38,104,21
38,104,22
38,104,23
38,104,24
38,104,25
38,105,19
38,105,20
38,105,21
38,105,22
38,105,23
38,105,24
38,106,20
38,106,21
38,106,22
38,106,23
38,106,24
38,107,23
39,52,37
39,52,38
39,52,39
39,53,37
39,60,29
39,61,27
39,61,28
39,62,27
39,62,28
39,62,29
39,63,26
39,72,21
39,72,22
39,72,23
39,72,24
39,72,25
39,73,20
39,73,21
39,73,22
39,73,23
39,73,24
39,73,25
39,74,20
39,74,21
39,74,22
39,74,23
39,75,19
39,75,20
39,75,21
39,75,22
39,75,23
39,76,18
39,76,19
39,77,18
39,77,19
39,77,20
39,77,21
39,77,22
39,77,23
39,77,24
39,78,17
39,78,18
39,78,19
39,78,20
39,78,21
39,78,22
39,78,23
39,78,24
39,79,16
39,79,17
39,79,18
39,79,19
39,79,20
39,79,21
39,79,22
39,79,23
39,80,16
39,80,17
39,80,18
39,80,19
39,80,20
39,80,21
39,80,22
39,80,23
39,81,15
39,81,16
39,81,17
39,81,18
39,81,19
39,81,20
39,81,21
39,81,22
39,81,23
39,82,15
39,82,16
39,82,17
39,82,18
39,82,19
39,82,20
39,83,14
39,83,15
39,83,16
39,83,17
39,83,18
39,83,19
39,83,20
39,83,21
39,84,14
39,84,15
39,84,16
39,84,17
39,84,18
39,85,14
39,85,15
39,85,16
39,85,17
39,85,18
39,85,19
39,85,20
39,85,21
39,85,22
39,85,23
39,85,24
39,86,14
39,86,15
39,86,16
39,86,17
39,86,18
39,86,19
39,86,20
39,86,21
39,86,22
39,86,23
39,86,24
39,86,25
39,87,13
39,87,14
39,87,15
39,87,16
39,87,17
39,87,18
39,87,19
39,87,20
39,87,21
39,87,22
39,87,23
39,88,13
39,88,14
39,88,15
39,88,16
39,88,17
39,88,18
39,88,19
39,88,20
39,88,21
39,88,22
39,89,13
39,89,14
39,89,15
39,89,16
39,89,17
39,89,18
39,89,19
39,89,20
39,89,21
39,90,12
39,90,13
39,90,14
39,90,15
39,90,16
39,90,17
39,90,18
39,90,19
39,90,20
39,90,21
39,91,12
39,91,13
39,91,14
39,91,15
39,91,16
39,91,17
39,91,18
39,91,19
39,91,20
39,91,21
39,91,22
39,92,12
39,92,13
39,92,14
39,92,15
39,92,16
39,92,17
39,92,18
39,92,19
39,93,12
39,93,13
39,93,14
39,93,15
39,93,16
39,93,17
39,93,18
39,93,19
39,93,20
39,93,21
39,94,12
39,94,13
39,94,14
39,94,15
39,94,16
39,94,17
39,94,18
39,94,19
39,94,20
39,95,12
39,95,13
39,95,14
39,95,15
39,95,16
39,95,17
39,95,18
39,95,19
39,95,20
39,95,21
39,95,22
39,96,12
39,96,13
39,96,14
39,96,15
39,96,16
39,96,17
39,96,18
39,96,19
39,96,20
39,96,21
39,96,22
39,96,23
39,96,24
39,97,13
39,97,14
39,97,15
39,97,16
39,97,17
39,97,18
39,97,19
39,97,20
39,97,21
39,97,22
39,97,23
39,98,13
39,98,14
39,98,15
39,98,16
39,98,17
39,98,18
39,98,19
39,98,20
39,98,21
39,98,22
39,98,23
39,98,24
39,98,25
39,99,14
39,99,15
39,99,16
39,99,17
39,99,18
39,99,19
39,99,20
39,99,21
39,99,22
39,99,23
39,99,24
39,100,15
39,100,16
39,100,17
39,100,18
39,100,19
39,100,20
39,100,21
39,100,22
39,100,23
39,100,24
39,100,25
39,101,15
39,101,16
39,101,17
39,101,18
39,101,19
39,101,20
39,101,21
39,101,22
39,101,23
39,101,24
39,101,25
39,102,16
39,102,17
39,102,18
39,102,19
39,102,20
39,102,21
39,102,22
39,102,23
39,102,24
39,102,25
39,103,16
39,103,17
39,103,18
39,103,19
39,103,20
39,103,21
39,103,22
39,103,23
39,103,24
39,103,25
39,104,17
39,104,18
39,104,19
39,104,20
39,104,21
39,104,22
39,104,23
39,104,24
39,105,18
39,105,19
39,105,20
39,105,21
39,105,22
39,105,23
39,105,24
39,105,25
39,106,18
39,106,19
39,106,20
39,106,21
39,106,22
39,106,23
39,106,24
39,106,25
39,107,20
39,107,21
39,107,22
39,107,23
39,107,24
40,52,38
40,52,39
40,52,40
40,52,41
40,53,37
40,53,38
40,53,39
40,59,35
40,59,36
40,60,29
40,60,30
40,60,31
40,61,28
40,61,29
40,61,30
40,62,27
40,62,28
40,62,29
40,62,30
40,62,31
40,63,26
40,63,27
40,63,28
40,64,25
40,64,26
40,69,23
40,72,21
40,72,22
40,72,23
40,72,24
40,72,25
40,72,26
40,73,20
40,73,21
40,73,22
40,73,23
40,73,24
40,73,25
40,73,26
40,74,19
40,74,20
40,74,21
40,74,22
40,74,23
40,74,24
40,75,18
40,75,19
40,75,20
40,75,21
40,75,22
40,75,23
40,75,24
40,76,18
40,76,19
40,77,17
40,77,18
40,77,19
40,77,20
40,77,21
40,77,22
40,77,23
40,78,16
40,78,17
40,78,18
40,78,19
40,78,20
40,78,21
40,78,22
40,79,15
40,79,16
40,79,17
40,79,18
40,79,19
40,79,20
40,79,21
40,80,15
40,80,16
40,80,17
40,80,18
40,80,19
40,80,20
40,80,21
40,80,22
40,81,14
40,81,15
40,81,16
40,81,17
40,81,18
40,81,19
40,81,20
40,81,21
40,81,22
40,82,14
40,82,15
40,82,16
40,82,17
40,82,18
40,82,19
40,82,20
40,82,21
40,83,14
40,83,15
40,83,16
40,83,17
40,83,18
40,83,19
40,83,20
40,83,21
40,84,13
40,84,14
40,84,15
40,84,16
40,84,17
40,84,18
40,84,19
40,84,20
40,85,13
40,85,14
40,85,15
40,85,16
40,85,17
40,85,18
40,85,19
40,85,20
40,85,21
40,85,22
40,86,13
40,86,14
40,86,15
40,86,16
40,86,17
40,86,18
40,86,19
40,86,20
40,86,21
40,86,22
40,87,12
40,87,13
40,87,14
40,87,15
40,87,16
40,87,17
40,87,18
40,87,19
40,87,20
40,87,21
40,87,22
40,87,23
40,88,12
40,88,13
40,88,14
40,88,15
40,88,16
40,88,17
40,88,18
40,88,19
40,88,20
40,88,21
40,88,22
40,88,23
40,89,12
40,89,13
40,89,14
40,89,15
40,89,16
40,89,17
40,89,18
40,89,19
40,89,20
40,89,21
40,89,22
40,89,23
40,90,12
40,90,13
40,90,14
40,90,15
40,90,16
40,90,17
40,90,18
40,90,19
40,90,20
40,90,21
40,90,22
40,91,12
40,91,13
40,91,14
40,91,15
40,91,16
40,91,17
40,91,18
40,91,19
40,91,20
40,91,21
40,91,22
40,92,11
40,92,12
40,92,13
40,92,14
40,92,15
40,92,16
40,92,17
40,92,18
40,92,19
40,93,11
40,93,12
40,93,13
40,93,14
40,93,15
40,93,16
40,93,17
40,93,18
40,93,19
40,93,20
40,93,21
40,94,11
40,94,12
40,94,13
40,94,14
40,94,15
40,94,16
40,94,17
40,94,18
40,94,19
40,94,20
40,95,12
40,95,13
40,95,14
40,95,15
40,95,16
40,95,17
40,95,18
40,95,19
40,95,20
40,95,21
40,95,22
40,95,23
40,96,12
40,96,13
40,96,14
40,96,15
40,96,16
40,96,17
40,96,18
