"x","y","z"
30,72,35
30,73,35
30,73,36
30,74,35
30,74,36
30,74,37
30,74,38
30,75,38
30,76,37
30,76,38
30,77,37
30,77,38
30,77,39
30,78,37
30,78,38
30,78,39
30,79,36
30,79,37
30,79,38
30,80,36
30,80,37
30,81,36
30,83,31
30,84,30
30,84,31
30,85,30
30,85,31
30,86,30
30,86,31
30,87,30
30,87,31
31,68,39
31,68,40
31,68,41
31,68,42
31,68,43
31,69,33
31,69,37
31,69,38
31,69,39
31,69,40
31,69,41
31,69,42
31,69,43
31,69,44
31,70,36
31,70,37
31,70,38
31,70,39
31,70,40
31,70,41
31,70,42
31,70,43
31,70,44
31,71,35
31,71,36
31,71,37
31,71,38
31,71,39
31,71,40
31,71,41
31,71,42
31,71,43
31,72,33
31,72,34
31,72,35
31,72,36
31,72,37
31,72,38
31,72,39
31,72,40
31,72,41
31,72,42
31,72,43
31,72,44
31,73,33
31,73,34
31,73,35
31,73,36
31,73,37
31,73,38
31,73,39
31,73,40
31,73,41
31,73,42
31,73,43
31,73,44
31,74,33
31,74,34
31,74,35
31,74,36
31,74,37
31,74,38
31,74,39
31,74,40
31,74,41
31,74,42
31,74,43
31,74,44
31,75,33
31,75,34
31,75,35
31,75,36
31,75,37
31,75,38
31,75,39
31,75,40
31,75,41
31,75,42
31,75,43
31,75,44
31,76,27
31,76,28
31,76,30
31,76,31
31,76,32
31,76,33
31,76,34
31,76,35
31,76,36
31,76,37
31,76,38
31,76,39
31,76,40
31,76,41
31,76,42
31,76,43
31,77,27
31,77,28
31,77,29
31,77,30
31,77,31
31,77,32
31,77,33
31,77,34
31,77,35
31,77,36
31,77,37
31,77,38
31,77,39
31,77,40
31,77,41
31,77,42
31,77,43
31,78,27
31,78,28
31,78,29
31,78,30
31,78,31
31,78,32
31,78,33
31,78,34
31,78,35
31,78,36
31,78,37
31,78,38
31,78,39
31,78,40
31,78,41
31,78,42
31,78,43
31,79,27
31,79,28
31,79,29
31,79,30
31,79,31
31,79,32
31,79,33
31,79,34
31,79,35
31,79,36
31,79,37
31,79,38
31,79,39
31,79,40
31,79,41
31,79,42
31,79,43
31,80,25
31,80,26
31,80,27
31,80,28
31,80,29
31,80,30
31,80,31
31,80,32
31,80,33
31,80,34
31,80,35
31,80,36
31,80,37
31,80,38
31,80,39
31,80,40
31,80,41
31,80,42
31,81,26
31,81,27
31,81,28
31,81,29
31,81,30
31,81,31
31,81,32
31,81,33
31,81,34
31,81,35
31,81,36
31,81,37
31,81,38
31,81,39
31,81,40
31,81,41
31,81,42
31,82,25
31,82,26
31,82,27
31,82,28
31,82,29
31,82,30
31,82,31
31,82,32
31,82,33
31,82,34
31,82,35
31,82,36
31,82,37
31,82,38
31,82,39
31,82,40
31,82,41
31,83,27
31,83,28
31,83,29
31,83,30
31,83,31
31,83,32
31,83,33
31,83,34
31,83,35
31,83,36
31,83,37
31,83,38
