"x","y","z"
37,97,24
37,97,25
37,97,28
38,97,24
38,97,25
38,97,26
38,97,27
38,97,28
38,99,25
39,97,24
39,97,25
39,97,26
39,97,27
39,98,28
39,99,25
39,101,26
39,102,26
39,102,27
39,103,26
39,103,27
39,104,25
39,104,26
39,105,26
40,98,26
40,98,28
40,99,25
40,99,26
40,100,26
40,101,26
40,101,27
40,102,26
40,102,27
40,103,26
40,103,27
40,104,25
40,104,26
40,104,27
40,105,26
40,105,27
40,106,26
40,106,27
41,98,27
41,98,28
41,98,29
41,99,26
41,99,27
41,99,28
41,100,26
41,100,27
41,100,28
41,101,26
41,101,27
41,102,26
41,102,27
41,103,26
41,103,27
41,104,25
41,104,26
41,104,27
41,104,28
41,105,26
41,105,27
41,106,26
41,106,27
41,106,28
41,107,26
41,107,27
41,108,26
41,108,27
42,98,27
42,98,28
42,98,29
42,99,26
42,99,27
42,99,28
42,99,29
42,100,26
42,100,27
42,100,28
42,100,29
42,101,26
42,101,27
42,101,28
42,102,26
42,102,27
42,102,28
42,103,26
42,103,27
42,103,28
42,104,26
42,104,27
42,104,28
42,105,26
42,105,27
42,105,28
42,106,26
42,106,27
42,106,28
42,107,26
42,107,27
42,107,28
42,108,26
42,108,27
42,108,28
42,109,25
42,109,26
42,109,27
42,110,27
43,98,28
43,98,29
43,98,30
43,99,27
43,99,28
43,99,29
43,99,30
43,100,27
43,100,28
43,100,29
43,101,26
43,101,27
43,101,28
43,102,26
43,102,27
43,102,28
43,103,26
43,103,27
43,103,28
43,104,27
43,104,28
43,105,26
43,105,27
43,105,28
43,106,27
43,106,28
43,107,26
43,107,27
43,107,28
43,108,26
43,108,27
43,108,28
43,109,25
43,109,26
43,109,27
43,110,26
43,110,27
43,111,26
43,111,27
43,112,27
43,113,28
44,98,28
44,98,29
44,98,30
44,98,31
44,98,32
44,99,28
44,99,29
44,99,30
44,99,31
44,100,28
44,100,29
44,100,30
44,101,27
44,101,28
44,101,29
44,102,27
44,102,28
44,103,27
44,103,28
44,104,27
44,104,28
44,104,29
44,105,27
44,105,28
44,105,29
44,106,27
44,106,28
44,106,29
44,107,27
44,107,28
44,108,27
44,108,28
44,109,26
44,109,27
44,109,28
44,110,26
44,110,27
44,110,28
44,111,26
44,111,27
44,111,28
44,112,26
44,112,27
44,112,28
44,113,26
44,113,27
44,113,28
44,114,25
44,114,27
45,98,29
45,98,30
45,98,31
45,98,32
45,99,29
45,99,30
45,99,31
45,100,28
45,100,29
45,100,30
45,101,27
45,101,28
45,101,29
45,102,27
45,102,28
45,103,27
45,103,28
45,103,29
45,104,27
45,104,28
45,104,29
45,105,27
45,105,28
45,105,29
45,106,27
45,106,28
45,106,29
45,107,27
45,107,28
45,107,29
45,108,27
45,108,28
45,108,29
45,109,26
45,109,27
45,109,28
45,110,26
45,110,27
45,110,28
45,111,26
45,111,27
45,111,28
45,112,26
45,112,27
45,112,28
45,113,26
45,113,27
45,114,25
45,114,26
45,114,27
45,115,26
45,115,27
45,115,28
45,116,28
46,99,30
46,99,31
46,100,29
46,100,30
46,101,28
46,101,29
46,103,27
46,103,28
46,103,29
46,104,28
46,104,29
46,105,28
46,105,29
46,106,28
46,106,29
46,107,27
46,107,28
46,107,29
46,108,27
46,108,28
46,108,29
46,109,27
46,109,28
46,110,27
46,110,28
46,111,27
46,111,28
46,112,27
46,112,28
46,112,29
46,113,26
46,113,27
46,113,28
46,114,26
46,114,27
46,114,28
46,115,26
46,115,27
46,115,28
46,115,29
46,116,26
46,116,27
46,116,28
46,116,29
46,117,30
46,117,31
46,120,30
46,120,31
46,120,32
46,121,31
46,122,32
46,124,34
47,104,28
47,104,29
47,105,28
47,105,29
47,106,28
47,106,29
47,107,28
47,107,29
47,108,28
47,108,29
47,109,27
47,109,28
47,109,29
47,110,27
47,110,28
47,110,29
47,111,27
47,111,28
47,111,29
47,112,27
47,112,28
47,112,29
47,113,26
47,113,27
47,113,28
47,114,26
47,114,27
47,114,28
47,115,27
47,115,28
47,115,29
47,116,27
47,116,28
47,116,29
47,117,30
47,117,31
47,117,32
47,119,30
47,119,31
47,120,30
47,120,31
47,120,32
47,120,33
47,120,34
47,121,30
47,121,31
47,121,32
47,121,33
47,122,30
47,122,31
47,122,32
47,122,33
47,123,32
47,123,33
47,124,34
47,124,35
47,125,35
48,107,28
48,107,29
48,108,28
48,108,29
48,109,27
48,109,28
48,109,29
48,110,27
48,110,28
48,110,29
48,111,27
48,111,28
48,111,29
48,112,28
48,112,29
48,113,27
48,113,28
48,113,29
48,114,27
48,114,28
48,114,29
48,115,28
48,115,29
48,115,30
48,116,28
48,116,29
48,116,30
48,116,31
48,116,32
48,116,33
48,117,30
48,117,31
48,117,32
48,117,33
48,118,32
48,118,33
48,118,34
48,119,29
48,119,30
48,119,31
48,119,32
48,119,33
48,119,34
48,119,35
48,120,31
48,120,32
48,120,33
48,120,34
48,120,35
48,120,36
48,121,30
48,121,31
48,121,32
48,121,33
48,121,34
48,121,35
48,122,31
48,122,32
48,122,33
48,122,34
48,122,35
48,123,32
48,123,33
48,123,34
48,123,35
48,124,33
48,124,34
48,124,35
48,125,34
48,125,35
48,125,36
48,126,34
48,126,35
48,126,36
48,126,37
48,127,37
48,127,38
48,128,38
49,110,28
49,110,29
49,111,28
49,111,29
49,112,28
49,112,29
49,113,27
49,113,28
49,113,29
49,114,27
49,114,28
49,114,29
49,115,28
49,115,29
49,115,30
49,115,31
49,115,32
49,115,33
49,115,34
49,116,28
49,116,29
49,116,30
49,116,31
49,116,32
49,116,33
49,116,34
49,116,35
49,117,31
49,117,32
49,117,33
49,117,34
49,117,35
49,117,36
49,118,32
49,118,33
49,118,34
49,118,35
49,118,36
49,119,30
49,119,31
49,119,32
49,119,33
49,119,34
49,119,35
49,119,36
49,119,37
49,120,33
49,120,34
49,120,35
49,120,36
