"x","y","z"
34,87,40
34,88,38
34,88,39
34,89,38
34,92,34
35,80,47
35,80,48
35,80,49
35,81,47
35,81,48
35,81,49
35,82,45
35,83,44
35,83,45
35,84,44
35,85,42
35,85,43
35,86,40
35,86,41
35,87,39
35,87,40
35,88,38
35,88,39
35,89,38
35,89,39
35,90,37
35,90,38
35,91,35
35,91,36
35,91,37
35,92,34
35,92,35
35,93,34
35,94,33
35,95,32
36,80,46
36,80,47
36,80,48
36,80,49
36,81,46
36,81,47
36,81,48
36,82,44
36,82,45
36,82,46
36,83,43
36,83,44
36,83,45
36,83,46
36,84,43
36,84,44
36,84,45
36,85,41
36,85,42
36,85,43
36,85,44
36,86,39
36,86,40
36,86,41
36,86,42
36,87,38
36,87,39
36,87,40
36,87,41
36,88,37
36,88,38
36,88,39
36,89,37
36,89,38
36,89,39
36,90,36
36,90,37
36,90,38
36,91,35
36,91,36
36,91,37
36,92,34
36,92,35
36,93,33
36,93,34
36,93,35
36,93,36
36,94,33
36,94,34
36,95,32
36,95,33
36,96,32
37,80,45
37,80,46
37,80,47
37,80,48
37,81,45
37,81,46
37,81,47
37,81,48
37,82,44
37,82,45
37,82,46
37,83,42
37,83,43
37,83,44
37,83,45
37,84,42
37,84,43
37,84,44
37,84,45
37,85,40
37,85,41
37,85,42
37,85,43
37,86,38
37,86,39
37,86,40
37,86,41
37,87,37
37,87,38
37,87,39
37,87,40
37,88,36
37,88,37
37,88,38
37,88,39
37,89,36
37,89,37
37,89,38
37,89,39
37,90,36
37,90,37
37,90,38
37,91,34
37,91,35
37,91,36
37,92,33
37,92,34
37,92,35
37,93,33
37,93,34
37,93,35
37,96,31
37,96,32
38,80,44
38,80,45
38,80,46
38,80,47
38,81,45
38,81,46
38,81,47
38,82,43
38,82,44
38,82,45
38,83,41
38,83,42
38,83,43
38,83,44
38,84,41
38,84,42
38,84,43
38,84,44
38,85,39
38,85,40
38,85,41
38,85,42
38,86,38
38,86,39
38,86,40
38,87,37
38,87,38
38,87,39
38,88,36
38,88,37
38,88,38
38,89,36
38,89,37
38,89,38
38,90,35
38,90,36
38,90,37
38,91,34
38,91,35
38,91,36
38,92,33
38,92,34
38,92,35
38,93,33
38,93,34
39,80,44
39,80,45
39,80,46
39,81,44
39,81,45
39,81,46
39,82,42
39,82,43
39,82,44
39,82,45
39,83,41
39,83,42
39,83,43
39,84,40
39,84,41
39,84,42
39,84,43
39,85,39
39,85,40
39,85,41
39,86,38
39,86,39
39,87,37
39,87,38
39,88,36
39,88,37
39,89,36
39,89,37
39,90,35
39,90,36
39,90,37
39,91,34
39,91,35
39,92,33
39,92,34
40,80,44
40,80,45
40,81,43
40,81,44
40,81,45
40,81,46
40,82,42
40,82,43
40,82,44
40,83,41
40,83,42
40,84,40
40,84,41
40,84,42
40,85,39
40,85,40
40,86,38
40,86,39
40,87,37
40,87,38
40,88,36
40,88,37
40,89,36
40,89,37
40,90,35
40,90,36
40,91,34
40,91,35
41,81,43
41,81,44
41,81,45
41,82,42
41,82,43
41,85,39
41,85,40
41,87,37
41,87,38
110,92,32
110,92,33
111,89,35
111,89,36
111,91,33
111,91,34
111,91,35
111,92,32
111,92,33
111,93,32
111,93,33
112,80,44
112,80,45
112,87,37
112,87,38
112,88,36
112,88,37
112,89,35
112,89,36
112,90,34
112,90,35
112,91,33
112,91,34
112,91,35
112,92,32
112,92,33
112,93,32
112,93,33
113,80,44
113,80,45
113,80,46
113,81,43
113,81,44
113,82,41
113,82,42
113,82,43
113,83,40
113,83,41
113,83,42
113,84,39
113,84,40
113,85,38
113,85,39
113,85,40
113,86,38
113,86,39
113,87,37
113,87,38
113,87,39
113,88,36
113,88,37
113,89,35
113,89,36
113,89,37
113,90,34
113,90,35
113,90,36
113,91,34
113,91,35
113,92,32
113,92,33
113,92,34
113,93,32
113,93,33
114,80,44
114,80,45
114,80,46
114,81,43
114,81,44
114,81,45
114,82,41
114,82,42
114,82,43
114,82,44
114,83,40
114,83,41
114,83,42
114,83,43
114,84,39
114,84,40
114,84,41
114,85,38
114,85,39
114,85,40
114,86,38
114,86,39
114,86,40
114,87,37
114,87,38
114,87,39
114,88,36
114,88,37
114,88,38
114,89,35
114,89,36
114,89,37
114,90,34
114,90,35
114,90,36
114,91,34
114,91,35
114,91,36
114,92,32
114,92,33
114,92,34
114,93,32
114,93,33
114,96,30
114,96,31
115,80,45
115,80,46
115,80,47
115,81,43
115,81,44
115,81,45
115,82,42
115,82,43
115,82,44
115,82,45
115,83,41
115,83,42
115,83,43
115,84,39
115,84,40
115,84,41
115,84,42
115,85,39
115,85,40
115,85,41
115,86,38
115,86,39
115,86,40
115,86,41
115,87,38
115,87,39
115,87,40
115,88,36
115,88,37
115,88,38
115,89,36
115,89,37
115,90,35
115,90,36
115,90,37
115,91,34
115,91,35
115,91,36
115,92,33
115,92,34
115,92,35
115,93,32
115,93,33
115,96,30
115,96,31
116,80,45
116,80,46
116,80,47
116,81,44
116,81,45
116,81,46
116,82,43
116,82,44
116,82,45
116,82,46
116,83,42
116,83,43
116,83,44
116,84,40
116,84,41
116,84,42
116,84,43
116,85,39
116,85,40
116,85,41
116,86,39
116,86,40
116,86,41
116,87,38
116,87,39
116,87,40
116,88,37
116,88,38
116,89,36
116,89,37
116,89,38
116,90,35
116,90,36
116,90,37
116,91,35
116,91,36
116,91,37
116,92,33
116,92,34
116,92,35
116,93,32
116,93,33
116,94,32
116,94,33
116,94,34
116,95,30
116,95,31
117,80,46
117,80,47
117,80,48
117,81,44
117,81,45
117,82,44
117,83,42
117,83,43
117,84,41
117,84,42
117,85,40
117,87,39
117,88,37
117,88,38
117,88,39
117,89,36
117,89,37
117,89,38
117,90,37
117,91,35
117,92,34
117,93,32
117,93,33
117,94,32
117,95,30
118,80,46
118,80,47
118,81,45
118,88,37
118,88,38
118,92,34
118,93,32
