"x","y","z"
58,92,65
58,92,66
58,92,67
59,92,65
59,92,66
59,92,67
60,92,67
60,92,68
61,92,67
61,92,68
61,92,69
61,93,68
61,93,69
62,92,68
62,92,69
62,93,67
62,93,68
62,93,69
62,93,70
62,94,69
62,94,70
62,95,69
62,95,70
63,93,67
63,93,68
63,93,69
63,94,68
63,94,69
63,94,70
63,95,69
63,95,70
63,96,71
63,96,72
64,94,68
64,94,69
64,94,70
64,95,69
64,95,70
64,95,71
64,96,71
88,96,71
88,96,72
89,95,69
89,95,70
89,96,71
90,93,67
90,93,68
90,93,69
90,93,70
90,94,69
90,94,70
90,95,68
90,95,69
90,95,70
91,92,64
91,92,65
91,92,66
91,92,67
91,92,68
91,93,66
91,93,67
91,93,68
91,93,69
91,94,68
91,94,69
91,94,70
91,95,68
91,95,69
91,95,70
92,92,64
92,92,65
92,92,66
92,92,67
92,93,66
92,93,67
92,93,68
92,94,68
92,94,69
92,94,70
93,92,66
93,92,67
94,92,66
94,92,67
