"x","y","z"
62,118,26
62,118,27
62,119,27
62,120,26
62,120,27
62,121,26
62,121,27
62,122,26
62,122,27
62,122,28
62,123,26
62,123,27
62,123,28
63,114,27
63,114,28
63,114,29
63,115,27
63,115,28
63,115,29
63,116,26
63,116,27
63,116,28
63,116,29
63,117,26
63,117,27
63,117,28
63,117,29
63,118,26
63,118,27
63,118,28
63,118,29
63,118,30
63,119,26
63,119,27
63,119,28
63,119,29
63,119,30
63,120,25
63,120,26
63,120,27
63,120,28
63,120,29
63,121,25
63,121,26
63,121,27
63,121,28
63,122,25
63,122,26
63,122,27
63,122,28
63,122,29
63,123,25
63,123,26
63,123,27
63,123,28
63,123,29
63,124,26
63,124,27
63,124,28
63,125,26
63,125,27
63,126,27
63,126,28
63,127,26
63,127,27
63,128,26
63,128,27
63,130,27
63,130,28
64,113,28
64,113,29
64,113,30
64,114,27
64,114,28
64,114,29
64,114,30
64,115,26
64,115,27
64,115,28
64,115,29
64,115,30
64,116,26
64,116,27
64,116,28
64,116,29
64,116,30
64,117,26
64,117,27
64,117,28
64,117,29
64,117,30
64,118,26
64,118,27
64,118,28
64,118,29
64,118,30
64,119,26
64,119,27
64,119,28
64,119,29
64,119,30
64,120,26
64,120,27
64,120,28
64,120,29
64,121,25
64,121,26
64,121,27
64,121,28
64,121,29
64,121,30
64,122,25
64,122,26
64,122,27
64,122,28
64,122,29
64,123,25
64,123,26
64,123,27
64,123,28
64,123,29
64,124,25
64,124,26
64,124,27
64,124,28
64,124,29
64,125,25
64,125,26
64,125,27
64,125,28
64,126,26
64,126,27
64,126,28
64,126,29
64,127,25
64,127,26
64,127,27
64,127,28
64,128,25
64,128,26
64,128,27
64,128,28
64,129,27
64,129,28
64,130,26
64,130,27
64,130,28
64,130,29
65,111,29
65,111,30
65,112,28
65,112,29
65,112,30
65,113,27
65,113,28
65,113,29
65,113,30
65,114,27
65,114,28
65,114,29
65,114,30
65,115,26
65,115,27
65,115,28
65,115,29
65,115,30
65,116,26
65,116,27
65,116,28
65,116,29
65,116,30
65,117,26
65,117,27
65,117,28
65,117,29
65,118,26
65,118,27
65,118,28
65,118,29
65,119,26
65,119,27
65,119,28
65,119,29
65,120,26
65,120,27
65,120,28
65,120,29
65,121,26
65,121,27
65,121,28
65,121,29
65,122,26
65,122,27
65,122,28
65,123,25
65,123,26
65,123,27
65,123,28
65,124,25
65,124,26
65,124,27
65,124,28
65,125,25
65,125,26
65,125,27
65,125,28
65,126,26
65,126,27
65,126,28
65,126,29
65,127,25
65,127,26
65,127,27
65,127,28
65,128,25
65,128,26
65,128,27
65,128,28
65,129,26
65,129,27
65,129,28
65,129,29
65,130,26
65,130,27
65,130,28
65,130,29
66,109,29
66,109,30
66,109,31
66,110,29
66,110,30
66,111,28
66,111,29
66,111,30
66,112,27
66,112,28
66,112,29
66,112,30
66,113,27
66,113,28
66,113,29
66,113,30
66,114,27
66,114,28
66,114,29
66,114,30
66,115,27
66,115,28
66,115,29
66,115,30
66,116,27
66,116,28
66,116,29
66,117,27
66,117,28
66,117,29
66,118,27
66,118,28
66,119,27
66,119,28
66,127,26
66,128,26
66,128,27
66,129,26
66,129,27
66,129,28
66,129,29
66,130,27
66,130,28
67,108,30
67,108,31
67,109,29
67,109,30
67,109,31
67,110,28
67,110,29
67,110,30
67,110,31
67,111,28
67,111,29
67,111,30
67,111,31
67,112,27
67,112,28
67,112,29
67,112,30
67,112,31
67,113,27
67,113,28
67,113,29
67,113,30
67,114,29
67,114,30
68,107,31
68,108,30
68,108,31
68,108,32
68,109,29
68,109,30
68,109,31
68,110,28
68,110,29
68,110,30
68,110,31
68,111,28
68,111,29
68,111,30
68,111,31
68,112,27
68,112,29
68,112,30
68,112,31
68,113,30
69,107,30
