"x","y","z"
55,104,28
55,104,29
55,104,30
55,104,31
56,95,28
56,95,29
56,96,28
56,96,29
56,96,30
56,97,28
56,97,29
56,97,30
56,98,29
56,98,30
56,100,30
56,100,31
56,100,32
56,100,33
56,100,34
56,100,35
56,101,30
56,101,31
56,101,32
56,101,33
56,102,27
56,102,29
56,102,30
56,102,31
56,102,32
56,103,29
56,103,30
56,103,31
56,104,27
56,104,28
56,104,29
56,104,30
56,104,31
56,104,32
56,105,28
56,105,29
56,105,30
57,94,28
57,94,29
57,95,28
57,95,29
57,96,27
57,96,28
57,96,29
57,96,30
57,97,27
57,97,28
57,97,29
57,97,30
57,98,28
57,98,29
57,98,30
57,99,28
57,99,29
57,99,30
57,99,31
57,100,29
57,100,30
57,100,31
57,100,32
57,100,33
57,100,34
57,101,29
57,101,30
57,101,31
57,101,32
57,101,33
57,102,27
57,102,28
57,102,29
57,102,30
57,102,31
57,102,32
57,103,27
57,103,28
57,103,29
57,103,30
57,103,31
57,103,32
57,104,26
57,104,27
57,104,28
57,104,29
57,104,30
57,104,31
57,105,27
57,105,28
57,105,29
57,105,30
58,95,28
58,95,29
58,96,27
58,96,28
58,96,29
58,96,30
58,97,27
58,97,28
58,97,29
58,97,30
58,98,28
58,98,29
58,98,30
58,99,28
58,99,29
58,99,30
58,99,31
58,100,27
58,100,28
58,100,29
58,100,30
58,100,31
58,100,32
58,100,33
58,101,27
58,101,28
58,101,29
58,101,30
58,101,31
58,101,32
58,101,33
58,102,27
58,102,28
58,102,29
58,102,30
58,102,31
58,102,32
58,103,27
58,103,28
58,103,29
58,103,30
58,103,31
58,103,32
58,103,33
58,104,26
58,104,27
58,104,28
58,104,29
58,104,30
58,104,31
58,105,27
58,105,28
58,105,29
58,105,30
58,106,27
58,106,28
58,106,29
59,95,28
59,96,28
59,96,29
59,97,28
59,97,29
59,97,30
59,98,28
59,98,29
59,98,30
59,99,28
59,99,29
59,99,30
59,100,27
59,100,28
59,100,29
59,100,30
59,100,31
59,100,32
59,101,27
59,101,28
59,101,29
59,101,30
59,101,31
59,101,32
59,101,33
59,102,27
59,102,28
59,102,29
59,102,30
59,102,31
59,102,32
59,103,27
59,103,28
59,103,29
59,103,30
59,103,31
59,103,32
59,103,33
59,104,26
59,104,27
59,104,28
59,104,29
59,104,30
59,104,31
59,104,32
59,105,27
59,105,28
59,105,29
59,105,30
59,105,31
59,106,28
59,106,29
59,106,30
60,96,28
60,97,28
60,97,29
60,98,28
60,98,29
60,98,30
60,99,28
60,99,29
60,99,30
60,100,28
60,100,29
60,100,30
60,100,31
60,101,27
60,101,28
60,101,29
60,101,30
60,101,31
60,101,32
60,102,28
60,102,29
60,102,30
60,102,31
60,102,32
60,103,29
60,103,30
60,103,31
60,103,32
60,104,29
60,104,30
60,104,31
60,104,32
60,105,29
60,105,30
60,105,31
60,106,29
60,106,30
60,106,31
60,107,29
60,107,30
61,98,28
61,98,29
61,99,28
61,99,29
61,99,30
61,100,28
61,100,29
61,100,30
61,101,29
61,101,30
61,102,30
61,102,31
61,103,30
61,103,31
61,104,30
61,104,31
61,105,30
61,105,31
61,106,29
61,106,30
61,106,31
61,107,30
89,119,29
90,99,28
90,119,28
90,119,29
90,119,30
91,97,28
91,98,28
91,98,29
91,99,28
91,99,29
91,99,30
91,100,28
91,100,29
91,100,30
91,100,31
91,101,28
91,101,29
91,101,30
91,101,31
91,102,29
91,102,30
91,102,31
91,103,29
91,103,30
91,103,31
91,103,32
91,104,29
91,104,30
91,104,31
91,105,29
91,105,30
91,105,31
91,106,29
91,106,30
91,106,31
91,107,26
91,107,28
91,107,29
91,107,30
91,108,26
91,108,27
91,108,28
91,119,28
91,119,29
91,119,30
91,119,31
91,119,32
92,96,28
92,97,28
92,97,29
92,98,28
92,98,29
92,98,30
92,99,28
92,99,29
