"x","y","z"
62,136,40
62,136,41
62,136,42
62,136,43
62,136,44
62,136,45
62,136,46
63,136,40
63,136,41
63,136,42
63,136,43
63,136,44
63,136,45
63,136,46
63,136,47
63,136,48
64,136,40
64,136,41
64,136,42
64,136,43
64,136,44
64,136,45
64,136,46
64,136,47
64,136,48
64,136,49
64,136,50
64,136,51
65,133,40
65,133,41
65,134,40
65,136,41
65,136,42
65,136,43
65,136,44
65,136,45
65,136,46
65,136,47
65,136,48
65,136,49
65,136,50
65,136,51
65,136,52
65,136,53
65,136,54
65,137,38
65,137,42
65,138,42
65,138,44
65,138,45
65,138,46
65,138,47
65,138,48
65,138,49
65,138,50
65,138,51
65,141,43
65,141,44
65,142,44
65,142,45
65,142,46
65,142,47
65,142,48
65,142,49
65,142,50
65,142,51
65,143,45
65,143,46
65,143,47
65,143,48
65,143,49
65,143,50
65,143,51
65,143,52
65,144,45
65,144,46
65,144,47
65,144,48
65,144,49
66,133,39
66,133,40
66,133,41
66,133,42
66,133,43
66,134,40
66,134,41
66,134,42
66,135,36
66,135,37
66,135,40
66,136,37
66,136,41
66,136,42
66,136,43
66,136,44
66,136,45
66,136,46
66,136,47
66,136,48
66,136,49
66,136,50
66,136,51
66,136,52
66,136,53
66,136,54
66,137,37
66,137,38
66,137,42
66,137,43
66,137,44
66,137,45
66,138,39
66,138,42
66,138,43
66,138,44
66,138,45
66,138,46
66,138,47
66,138,48
66,138,49
66,138,50
66,138,51
66,138,52
66,138,53
66,138,54
66,138,55
66,138,56
66,139,39
66,139,42
66,139,43
66,139,44
66,139,45
66,139,46
66,139,47
66,139,48
66,139,49
66,139,50
66,139,51
66,140,39
66,140,43
66,140,44
66,140,45
66,140,46
66,140,47
66,140,48
66,140,49
66,140,50
66,141,43
66,141,44
66,141,45
66,141,46
66,141,47
66,141,48
66,141,49
66,141,50
66,141,51
66,142,43
66,142,44
66,142,45
66,142,46
66,142,47
66,142,48
66,142,49
66,142,50
66,142,51
66,142,52
66,142,53
66,142,54
66,142,55
66,142,56
66,142,57
66,142,58
66,142,59
66,143,44
66,143,45
66,143,46
66,143,47
66,143,48
66,143,49
66,143,50
66,143,51
66,143,52
66,143,53
66,143,54
66,143,55
66,144,45
66,144,46
66,144,47
66,144,48
66,144,49
66,144,50
66,145,46
67,125,43
67,130,34
67,130,35
67,130,36
67,131,35
67,131,39
67,132,36
67,132,37
67,132,38
67,132,39
67,132,40
67,133,36
67,133,37
67,133,38
67,133,39
67,133,40
67,133,41
67,133,42
67,133,43
67,133,44
67,133,45
67,133,46
67,133,47
67,134,36
67,134,37
67,134,38
67,134,39
67,134,40
67,134,41
67,134,42
67,134,43
67,134,44
67,135,35
67,135,36
67,135,37
67,135,38
67,135,39
67,135,40
67,135,41
67,135,42
67,135,43
67,135,44
67,135,45
67,135,46
67,135,47
67,135,48
67,135,49
67,135,50
67,135,51
67,135,52
67,136,36
67,136,37
67,136,38
67,136,39
67,136,40
67,136,41
67,136,42
67,136,43
67,136,44
67,136,45
67,136,46
67,136,47
67,136,48
67,136,49
67,136,50
67,136,51
67,136,52
67,136,53
67,136,54
67,137,36
67,137,37
67,137,38
67,137,39
67,137,42
67,137,43
67,137,44
67,137,45
67,137,46
67,137,47
67,137,48
67,137,49
67,137,50
67,137,51
67,137,52
67,137,53
67,137,54
67,137,55
67,138,38
67,138,39
67,138,40
67,138,41
67,138,42
67,138,43
67,138,44
67,138,45
67,138,46
67,138,47
67,138,48
67,138,49
67,138,50
67,138,51
67,138,52
67,138,53
67,138,54
67,138,55
67,138,56
67,139,38
67,139,39
67,139,40
67,139,41
67,139,42
67,139,43
67,139,44
67,139,45
67,139,46
67,139,47
67,139,48
67,139,49
67,139,50
67,139,51
67,139,52
67,139,53
67,139,54
67,139,55
67,139,56
67,139,57
67,140,37
67,140,38
67,140,39
67,140,40
67,140,41
67,140,42
67,140,43
67,140,44
67,140,45
67,140,46
67,140,47
67,140,48
67,140,49
67,140,50
67,140,51
67,140,52
67,140,53
67,140,54
67,140,55
67,140,56
67,140,57
67,140,58
67,141,38
67,141,39
67,141,40
67,141,41
67,141,42
67,141,43
67,141,44
67,141,45
67,141,46
67,141,47
67,141,48
67,141,49
67,141,50
67,141,51
67,141,52
67,141,53
67,141,54
67,141,55
67,141,56
67,141,57
67,141,58
67,141,59
67,142,42
67,142,43
67,142,44
67,142,45
67,142,46
67,142,47
67,142,48
67,142,49
67,142,50
67,142,51
67,142,52
67,142,53
67,142,54
67,142,55
67,142,56
67,142,57
67,142,58
67,142,59
67,142,60
67,143,43
67,143,44
67,143,45
67,143,46
67,143,47
67,143,48
67,143,49
67,143,50
67,143,51
67,143,52
67,143,53
67,143,54
67,143,55
67,143,56
67,143,57
67,144,44
67,144,45
67,144,46
67,144,47
67,144,48
67,144,49
67,144,50
67,144,51
67,144,52
67,145,45
67,145,46
67,145,47
67,145,48
67,145,49
68,125,37
68,125,38
68,125,40
68,125,41
68,125,42
68,125,43
68,125,44
68,126,43
68,126,44
68,128,35
68,128,36
68,129,35
68,129,36
68,129,37
68,129,38
68,129,39
68,130,33
68,130,34
68,130,35
68,130,36
68,130,37
68,130,38
68,130,39
68,130,40
68,131,35
68,131,36
68,131,37
68,131,38
68,131,39
68,132,36
68,132,37
68,132,38
68,132,39
68,132,40
68,132,41
68,133,36
68,133,37
68,133,38
68,133,39
68,133,40
68,133,41
68,133,42
68,133,43
68,133,44
68,133,45
68,133,46
68,133,47
68,133,48
68,134,36
68,134,37
68,134,38
68,134,39
68,134,40
68,134,41
68,134,42
68,134,43
68,134,44
68,134,45
68,134,46
68,134,47
68,135,34
68,135,35
68,135,36
68,135,37
68,135,38
68,135,39
68,135,40
68,135,41
68,135,42
68,135,43
68,135,44
68,135,45
68,135,46
68,135,47
68,135,48
68,135,49
68,135,50
68,135,51
68,135,52
68,136,36
68,136,37
68,136,38
68,136,39
68,136,40
68,136,41
68,136,42
68,136,43
68,136,44
68,136,45
68,136,46
68,136,47
68,136,48
68,136,49
68,136,50
68,136,51
68,136,52
68,136,53
68,137,35
68,137,36
68,137,37
68,137,38
68,137,39
68,137,40
68,137,41
68,137,42
68,137,43
68,137,44
68,137,45
68,137,46
68,137,47
68,137,48
68,137,49
68,137,50
68,137,51
68,137,52
68,137,53
68,137,54
68,137,55
68,138,36
68,138,37
68,138,38
68,138,39
68,138,40
68,138,41
68,138,42
68,138,43
68,138,44
68,138,45
68,138,46
68,138,47
68,138,48
68,138,49
68,138,50
68,138,51
68,138,52
68,138,53
68,138,54
68,138,55
68,138,56
68,139,36
68,139,37
68,139,38
68,139,39
68,139,40
68,139,41
68,139,42
68,139,43
68,139,44
68,139,45
68,139,46
68,139,47
68,139,48
68,139,49
68,139,50
68,139,51
68,139,52
68,139,53
68,139,54
68,139,55
68,139,56
68,139,57
68,140,36
68,140,37
68,140,38
68,140,39
68,140,40
68,140,41
68,140,42
68,140,43
68,140,44
68,140,45
68,140,46
68,140,47
68,140,48
68,140,49
68,140,50
68,140,51
68,140,52
68,140,53
68,140,54
68,140,55
68,140,56
68,140,57
68,140,58
68,141,36
68,141,37
68,141,38
68,141,39
68,141,40
68,141,41
68,141,42
68,141,43
68,141,44
68,141,45
68,141,46
68,141,47
68,141,48
68,141,49
68,141,50
68,141,51
68,141,52
68,141,53
68,141,54
68,141,55
68,141,56
68,141,57
68,141,58
68,141,59
68,142,40
68,142,41
68,142,42
68,142,43
68,142,44
68,142,45
68,142,46
68,142,47
68,142,48
68,142,49
68,142,50
68,142,51
68,142,52
68,142,53
68,142,54
68,142,55
68,142,56
68,142,57
68,142,58
68,142,59
68,142,60
68,142,61
68,142,62
68,143,42
68,143,43
68,143,44
68,143,45
68,143,46
68,143,47
68,143,48
68,143,49
68,143,50
68,143,51
68,143,52
68,143,53
68,143,54
68,143,55
68,143,56
68,143,57
68,143,58
68,143,59
68,144,43
68,144,44
68,144,45
68,144,46
68,144,47
68,144,48
68,144,49
68,144,50
68,144,51
68,144,52
68,144,53
68,144,54
68,144,55
68,144,56
68,145,45
68,145,46
68,145,47
68,145,48
68,145,49
68,145,50
68,145,51
68,145,52
68,145,53
69,125,36
69,125,37
69,125,38
69,125,39
69,125,40
69,125,41
69,125,42
69,125,43
69,126,41
69,126,42
69,126,43
69,127,33
69,127,34
69,127,35
69,127,40
69,128,34
69,128,35
69,128,36
69,128,37
69,128,38
69,129,33
69,129,34
69,129,35
69,129,36
69,129,37
69,129,38
69,129,39
69,129,40
69,129,41
69,130,33
69,130,34
69,130,35
69,130,36
69,130,37
69,130,38
69,130,39
69,130,40
69,130,41
69,130,42
69,131,32
69,131,33
69,131,34
69,131,35
69,131,36
69,131,37
69,131,38
69,131,39
69,131,40
69,131,41
69,132,32
69,132,33
69,132,34
69,132,35
69,132,36
69,132,37
69,132,38
69,132,39
69,132,40
69,132,41
69,133,32
69,133,33
69,133,34
69,133,35
69,133,36
69,133,37
69,133,38
69,133,39
69,133,40
69,133,41
69,133,42
69,133,43
69,133,44
69,133,45
69,134,33
