"x","y","z"
48,58,66
48,59,66
48,59,67
49,58,66
49,58,67
49,59,66
49,59,67
50,59,66
50,59,67
50,60,68
50,61,67
50,61,68
51,60,68
51,60,69
51,61,67
51,61,68
51,62,67
51,62,68
52,61,67
52,61,68
52,61,69
52,62,67
52,62,68
52,63,67
52,63,68
53,62,67
53,62,68
53,62,69
53,62,70
53,63,67
53,63,68
53,63,69
53,64,68
53,64,69
54,64,68
54,64,69
54,67,70
55,64,68
55,64,69
55,64,70
55,65,68
55,65,69
55,65,70
55,66,68
55,66,69
55,67,69
55,67,70
56,65,68
56,65,69
56,65,70
56,66,68
56,66,69
56,66,70
56,67,69
56,67,70
56,67,71
56,68,70
56,68,71
56,69,70
56,69,71
56,70,70
56,70,71
57,68,69
57,68,70
57,68,71
57,68,72
57,69,69
57,69,70
57,69,71
57,70,69
57,70,70
57,70,71
57,71,69
57,71,70
57,72,70
57,72,71
57,73,69
57,73,70
57,73,71
57,74,68
57,74,69
57,74,70
57,74,71
58,68,69
58,68,70
58,68,71
58,69,69
58,69,70
58,69,71
58,70,69
58,70,70
58,70,71
58,71,69
58,71,70
58,71,71
58,72,70
58,72,71
58,73,68
58,73,69
58,73,70
58,73,71
58,74,68
58,74,69
58,74,70
58,74,71
58,75,67
58,75,68
58,75,69
58,75,70
58,75,71
58,76,69
58,76,70
58,76,71
58,77,66
58,77,67
58,77,68
58,77,69
58,77,70
58,77,71
58,78,68
58,78,69
58,78,70
58,78,71
58,79,71
58,80,67
58,80,68
58,80,69
58,80,70
58,80,71
58,87,69
58,88,65
58,88,66
58,88,67
58,89,63
58,89,64
58,89,65
59,71,69
59,71,70
59,73,68
59,73,69
59,73,70
59,75,67
59,75,68
59,75,69
59,75,70
59,75,71
59,76,67
59,76,68
59,76,69
59,76,70
59,76,71
59,77,66
59,77,67
59,77,68
59,77,69
59,77,70
59,77,71
59,78,66
59,78,67
59,78,68
59,78,69
59,78,70
59,78,71
59,79,65
59,79,66
59,79,67
59,79,68
59,79,69
59,79,70
59,79,71
59,80,65
59,80,66
59,80,67
59,80,68
59,80,69
59,80,70
59,80,71
59,81,64
59,81,65
59,81,66
59,81,67
59,81,68
59,81,69
59,81,70
59,81,71
59,82,64
59,82,65
59,82,66
59,82,67
59,82,68
59,82,69
59,82,70
59,83,63
59,83,64
59,83,65
59,83,66
59,83,67
59,83,68
59,83,69
59,83,70
59,84,63
59,84,64
59,84,65
59,84,66
59,84,67
59,84,68
59,84,69
59,84,70
59,85,62
59,85,63
59,85,64
59,85,65
59,85,66
