"x","y","z"
56,63,35
56,63,36
56,63,37
57,61,37
57,61,38
57,63,36
57,63,37
57,63,38
57,63,39
57,64,35
57,64,36
57,64,37
57,64,38
57,64,39
58,60,32
58,60,33
58,60,36
58,61,31
58,61,32
58,61,33
58,61,35
58,61,36
58,61,37
58,61,38
58,61,39
58,62,34
58,62,35
58,62,36
58,62,37
58,63,34
58,63,35
58,63,36
58,63,37
58,63,38
58,63,39
58,63,40
58,64,34
58,64,35
58,64,36
58,64,37
58,64,38
58,64,39
58,64,40
59,60,34
59,60,35
59,61,32
59,61,33
59,61,34
59,61,35
59,61,36
59,61,37
59,61,38
59,61,39
59,61,40
59,61,41
59,62,31
59,62,32
59,62,33
59,62,34
59,62,35
59,62,36
59,62,37
59,62,38
59,62,39
59,63,30
59,63,31
59,63,32
59,63,33
59,63,34
59,63,35
59,63,36
59,63,41
59,64,30
59,64,31
59,64,32
59,64,33
59,64,34
59,64,35
59,64,36
59,64,37
59,64,38
59,64,39
59,64,40
59,64,41
59,65,31
59,65,32
59,65,33
59,65,34
59,66,31
59,66,32
59,66,33
59,66,34
59,66,35
59,66,36
59,66,37
59,67,31
59,67,32
59,67,33
59,67,34
59,67,35
59,67,36
59,67,37
59,67,38
59,68,33
59,68,34
59,68,35
59,69,31
59,69,32
59,69,33
59,69,34
59,69,35
59,69,36
59,70,30
59,70,31
59,70,32
59,70,33
59,70,34
59,70,35
59,71,29
59,71,30
59,71,31
60,61,33
60,61,34
60,61,35
60,61,36
60,62,32
60,62,33
60,62,34
60,62,35
60,62,36
60,62,37
60,62,38
60,63,31
60,63,32
60,63,33
60,63,34
60,63,35
60,64,29
60,64,30
60,64,31
60,64,32
60,64,33
60,64,34
60,64,35
60,64,39
60,64,40
60,64,41
60,64,42
60,64,43
60,65,29
60,65,30
60,65,31
60,65,32
60,65,33
60,65,34
60,65,35
60,65,36
60,65,37
60,65,38
60,65,39
60,66,29
60,66,30
60,66,31
60,66,32
60,66,33
60,66,34
60,66,35
60,66,36
60,66,37
60,66,38
60,66,39
60,67,29
60,67,30
60,67,31
60,67,32
60,67,33
60,67,34
60,67,35
60,67,36
60,67,37
60,67,38
60,67,39
60,68,29
60,68,30
60,68,31
60,68,32
60,68,33
60,68,34
60,68,35
60,68,36
60,69,29
60,69,30
60,69,31
60,69,32
60,69,33
60,69,34
60,69,35
60,69,36
60,70,29
60,70,30
60,70,31
60,70,32
60,70,33
60,70,34
60,70,35
60,71,29
60,71,30
60,71,31
60,71,32
60,71,33
60,71,34
60,71,35
60,72,29
60,72,30
60,72,31
60,72,32
60,72,33
60,72,34
60,72,35
60,73,30
60,73,31
60,73,32
60,73,33
60,73,34
61,61,33
61,61,34
61,61,35
61,61,45
61,62,32
61,62,33
61,62,34
61,62,35
61,62,36
61,62,37
61,63,31
61,63,32
61,63,33
61,63,34
61,63,35
61,64,29
61,64,30
61,64,31
61,64,32
61,64,33
61,64,34
61,64,41
61,64,42
61,64,43
61,64,44
61,65,27
61,65,28
61,65,29
61,65,30
61,65,31
61,65,32
61,65,33
61,65,34
61,65,35
61,65,36
61,65,39
61,65,40
61,66,27
61,66,28
61,66,29
61,66,30
61,66,31
61,66,32
61,66,33
61,66,34
61,66,35
61,66,36
61,66,37
61,66,38
61,66,39
61,66,40
61,66,41
61,67,27
61,67,28
61,67,29
61,67,30
61,67,31
61,67,32
61,67,33
61,67,34
61,67,35
61,67,36
61,67,37
61,67,38
61,67,39
61,67,40
61,67,41
61,68,28
61,68,29
61,68,30
61,68,31
61,68,32
61,68,33
61,68,34
61,68,35
61,68,36
61,68,37
61,69,27
61,69,28
61,69,29
61,69,30
61,69,31
61,69,32
61,69,33
61,69,34
61,69,35
61,69,36
61,69,37
61,70,27
61,70,28
61,70,29
61,70,30
61,70,31
61,70,32
61,70,33
61,70,34
61,70,35
61,70,36
61,71,27
61,71,28
61,71,29
61,71,30
61,71,31
61,71,32
61,71,33
61,71,34
61,71,35
61,71,36
61,71,37
61,72,27
61,72,28
61,72,29
61,72,30
61,72,31
61,72,32
61,72,33
61,72,34
61,72,35
61,72,36
61,72,37
61,73,29
61,73,30
61,73,31
61,73,32
61,73,33
61,73,34
61,73,35
61,73,36
61,73,37
61,74,30
61,74,31
61,74,32
61,74,33
61,74,34
61,76,28
61,76,29
61,76,30
61,76,31
61,77,27
61,77,28
61,77,29
61,77,30
61,77,31
61,77,32
61,77,33
62,61,33
62,61,34
62,61,35
62,61,45
62,61,46
62,62,32
62,62,33
62,62,34
62,62,35
62,62,36
62,62,37
62,63,31
62,63,32
62,63,33
62,63,34
62,63,35
62,64,29
62,64,30
62,64,31
62,64,32
62,64,33
62,64,34
62,64,42
62,64,43
62,64,44
62,64,45
62,65,27
62,65,28
62,65,29
62,65,30
62,65,31
62,65,32
62,65,33
62,65,34
62,65,35
62,65,40
62,65,41
62,66,27
62,66,28
62,66,29
62,66,30
62,66,31
62,66,32
62,66,33
62,66,34
62,66,35
62,66,36
62,66,37
62,66,38
62,66,39
62,66,40
62,66,41
62,66,42
62,67,27
62,67,28
62,67,29
62,67,30
62,67,31
62,67,32
62,67,33
62,67,34
62,67,35
62,67,36
62,67,37
62,67,38
62,67,39
62,67,40
62,67,41
62,67,42
62,68,26
62,68,27
62,68,28
62,68,29
62,68,30
62,68,31
62,68,32
62,68,33
62,68,34
62,68,35
62,68,36
62,68,37
62,68,38
62,69,26
62,69,27
62,69,28
62,69,29
62,69,30
62,69,31
62,69,32
62,69,33
62,69,34
62,69,35
62,69,36
62,69,37
62,69,38
62,70,26
62,70,27
62,70,28
62,70,29
62,70,30
62,70,31
62,70,32
62,70,33
62,70,34
62,70,35
62,70,36
62,70,37
62,70,38
62,70,39
62,71,26
62,71,27
62,71,28
62,71,29
62,71,30
62,71,31
62,71,32
62,71,33
62,71,34
62,71,35
62,71,36
62,71,37
62,71,38
62,72,26
62,72,27
62,72,28
62,72,29
62,72,30
62,72,31
62,72,32
62,72,33
62,72,34
62,72,35
62,72,36
62,72,37
62,73,27
62,73,28
62,73,29
62,73,30
62,73,31
62,73,32
62,73,33
62,73,34
62,73,35
62,73,36
62,73,37
62,73,38
62,74,29
62,74,30
