"x","y","z"
47,121,29
47,125,31
47,126,31
47,126,32
47,127,32
47,127,33
48,120,29
48,120,30
48,121,29
48,124,29
48,124,30
48,124,31
48,124,32
48,125,29
48,125,30
48,125,31
48,125,32
48,125,33
48,126,30
48,126,31
48,126,32
48,126,33
48,127,31
48,127,32
48,127,33
48,127,34
48,128,31
48,128,32
48,128,33
48,128,34
48,129,33
48,129,34
48,129,35
49,119,29
49,120,29
49,120,30
49,120,31
49,120,32
49,121,29
49,121,30
49,121,31
49,122,30
49,122,31
49,123,31
49,124,29
49,124,30
49,124,31
49,124,32
49,124,33
49,125,29
49,125,30
49,125,31
49,125,32
49,125,33
49,126,28
49,126,29
49,126,30
49,126,31
49,126,32
49,126,33
49,127,29
49,127,30
49,127,31
49,127,32
49,127,33
49,127,34
49,127,35
49,128,30
49,128,31
49,128,32
49,128,33
49,128,34
49,128,35
49,129,31
49,129,32
49,129,33
49,129,34
49,129,35
49,129,36
49,130,32
49,130,33
49,130,34
49,130,35
49,130,36
49,131,33
49,131,34
49,131,35
49,131,36
49,131,37
49,132,36
49,132,37
50,117,31
50,118,28
50,118,29
50,118,30
50,118,31
50,118,32
50,119,29
50,119,30
50,119,31
50,119,32
50,119,33
50,120,29
50,120,30
50,120,31
50,120,32
50,120,33
50,120,34
50,121,29
50,121,30
50,121,31
50,121,32
50,121,33
50,122,30
50,122,31
50,122,32
50,122,33
50,123,30
50,123,31
50,123,32
50,123,33
50,124,29
50,124,30
50,124,31
50,124,32
50,124,33
50,125,29
50,125,30
50,125,31
50,125,32
50,125,33
50,125,34
50,126,28
50,126,29
50,126,30
50,126,31
50,126,32
50,126,33
50,126,34
50,126,35
50,127,29
50,127,30
50,127,31
50,127,32
50,127,33
50,127,34
50,127,35
50,127,36
50,128,29
50,128,30
50,128,31
50,128,32
50,128,33
50,128,34
50,128,35
50,128,36
50,129,30
50,129,31
50,129,32
50,129,33
50,129,34
50,129,35
50,129,36
50,130,31
50,130,32
50,130,33
50,130,34
50,130,35
50,130,36
50,130,37
50,131,32
50,131,33
50,131,34
50,131,35
50,131,36
50,131,37
50,131,38
50,131,39
50,132,33
50,132,34
50,132,35
50,132,36
50,132,37
50,132,38
50,132,39
50,133,34
50,133,35
50,133,36
50,133,37
50,133,38
50,133,39
50,133,40
51,117,29
51,117,30
51,117,31
51,117,32
51,117,33
51,117,34
51,118,29
51,118,30
51,118,31
51,118,32
51,118,33
51,118,34
51,119,29
51,119,30
51,119,31
51,119,32
51,119,33
51,119,34
51,119,35
51,120,30
51,120,31
51,120,32
51,120,33
51,120,34
51,120,35
51,120,36
51,121,29
51,121,30
51,121,31
51,121,32
51,121,33
51,121,34
51,122,29
51,122,30
51,122,31
51,122,32
51,122,33
51,122,34
51,123,29
51,123,30
51,123,31
51,123,32
51,123,33
51,123,34
51,123,35
51,124,29
51,124,30
51,124,31
51,124,32
51,124,33
51,124,34
51,125,29
51,125,30
51,125,31
51,125,32
51,125,33
51,125,34
51,125,35
51,126,28
51,126,29
51,126,30
51,126,31
51,126,32
51,126,33
51,126,34
51,126,35
51,126,36
51,127,29
51,127,30
51,127,31
51,127,32
51,127,33
51,127,34
51,127,35
51,127,36
51,127,37
51,128,30
51,128,31
51,128,32
51,128,33
51,128,34
51,128,35
51,128,36
51,128,37
51,129,29
51,129,30
51,129,31
51,129,32
51,129,33
51,129,34
51,129,35
51,129,36
51,129,37
51,130,30
51,130,31
51,130,32
51,130,33
51,130,34
51,130,35
51,130,36
51,130,37
51,130,38
51,131,31
51,131,32
51,131,33
51,131,34
51,131,35
51,131,36
51,131,37
51,131,38
51,131,39
51,132,32
51,132,33
51,132,34
51,132,35
51,132,36
51,132,37
51,132,38
51,132,39
51,132,40
51,132,41
51,132,42
51,133,33
51,133,34
51,133,35
51,133,36
51,133,37
51,133,38
51,133,39
51,133,40
51,133,41
51,134,34
51,134,35
51,134,36
51,134,37
51,134,38
51,134,39
51,134,40
51,134,41
51,134,42
51,135,37
51,135,38
51,135,39
51,135,40
51,135,41
51,135,42
51,135,43
51,135,44
52,117,30
52,117,31
52,117,32
52,117,33
52,117,34
52,117,35
52,118,31
52,118,32
52,118,33
52,118,34
52,118,35
52,118,36
52,119,30
52,119,31
52,119,32
52,119,33
52,119,34
52,119,35
52,119,36
52,120,32
52,120,33
52,120,34
52,120,35
52,120,36
52,120,37
52,121,31
52,121,32
52,121,33
52,121,34
52,121,35
52,122,29
52,122,30
52,122,31
52,122,32
52,122,33
52,122,34
52,122,35
52,123,29
52,123,30
52,123,31
52,123,32
52,123,33
52,123,34
52,123,35
52,123,36
52,124,30
52,124,31
52,124,32
52,124,33
52,124,34
52,124,35
52,124,36
52,125,29
52,125,30
52,125,31
52,125,32
52,125,33
52,125,34
52,125,35
52,125,36
52,125,37
52,126,28
52,126,29
52,126,30
52,126,31
52,126,32
52,126,33
52,126,34
52,126,35
52,126,36
52,126,37
52,127,30
52,127,31
52,127,32
52,127,33
52,127,34
52,127,35
52,127,36
52,127,37
52,127,38
52,128,30
52,128,31
52,128,32
52,128,33
52,128,34
52,128,35
52,128,36
52,128,37
52,128,38
52,129,31
52,129,32
52,129,33
52,129,34
52,129,35
52,129,36
52,129,37
52,129,38
52,129,39
52,130,30
52,130,31
52,130,32
52,130,33
52,130,34
52,130,35
52,130,36
52,130,37
52,130,38
52,130,39
52,131,30
52,131,31
52,131,32
52,131,33
52,131,34
52,131,35
52,131,36
52,131,37
52,131,38
52,131,39
52,132,31
52,132,32
52,132,33
52,132,34
52,132,35
52,132,36
52,132,37
52,132,38
52,132,39
52,132,40
52,132,41
52,132,42
52,133,32
52,133,33
52,133,34
52,133,35
52,133,36
52,133,37
52,133,38
52,133,39
52,133,40
52,133,41
52,133,42
52,133,43
52,134,33
52,134,34
52,134,35
52,134,36
52,134,37
52,134,38
52,134,39
52,134,40
52,134,41
52,134,42
52,134,43
52,134,44
52,135,35
52,135,36
52,135,37
52,135,38
52,135,39
52,135,40
52,135,41
52,135,42
52,135,43
52,135,44
52,135,45
52,136,37
52,136,38
52,136,39
52,136,40
52,136,41
52,136,42
52,136,43
52,136,44
52,136,45
52,137,39
52,137,40
52,137,41
52,137,42
52,137,43
52,137,44
53,117,33
53,117,34
53,117,35
53,117,36
53,118,32
53,118,33
53,118,34
53,118,35
53,118,36
53,118,37
53,118,38
53,119,33
53,119,34
53,119,35
53,119,36
53,119,37
53,119,38
53,120,33
53,120,34
53,120,35
53,120,36
53,120,37
53,120,38
53,121,32
53,121,33
53,121,34
53,121,35
53,121,36
53,122,29
53,122,30
53,122,31
53,122,32
53,122,33
53,122,34
53,122,35
53,122,36
53,122,37
53,123,30
53,123,31
53,123,32
53,123,33
53,123,34
53,123,35
53,123,36
53,123,37
53,124,30
53,124,31
53,124,32
53,124,33
53,124,34
53,124,35
53,124,36
53,124,37
53,124,38
53,125,29
53,125,30
53,125,31
53,125,32
53,125,33
53,125,34
53,125,35
53,125,36
53,125,37
53,125,38
53,126,29
53,126,30
53,126,31
53,126,32
53,126,33
53,126,34
53,126,35
53,126,36
53,126,37
53,126,38
53,126,39
53,127,31
53,127,32
53,127,33
53,127,34
53,127,35
53,127,36
53,127,37
53,127,38
53,127,39
53,128,31
53,128,32
53,128,33
53,128,34
53,128,35
53,128,36
53,128,37
53,128,38
53,128,39
53,128,40
53,129,31
53,129,32
53,129,33
53,129,34
53,129,35
53,129,36
53,129,37
53,129,38
53,129,39
53,129,40
53,130,31
53,130,32
53,130,33
53,130,34
53,130,35
53,130,36
53,130,37
53,130,38
53,130,39
53,130,40
53,131,30
53,131,31
53,131,32
53,131,33
53,131,34
53,131,35
53,131,36
53,131,37
53,131,38
53,131,39
53,131,40
53,132,31
53,132,32
53,132,33
53,132,34
53,132,35
53,132,36
53,132,37
53,132,38
53,132,39
53,132,40
53,132,41
53,132,42
53,133,31
53,133,32
53,133,33
53,133,34
53,133,35
53,133,36
53,133,37
53,133,38
53,133,39
53,133,40
53,133,41
53,133,42
53,133,43
53,133,44
53,134,32
53,134,33
53,134,34
53,134,35
53,134,36
53,134,37
53,134,38
53,134,39
53,134,40
53,134,41
53,134,42
53,134,43
53,134,44
53,135,33
53,135,34
53,135,35
53,135,36
53,135,37
53,135,38
53,135,39
53,135,40
53,135,41
53,135,42
53,135,43
53,135,44
53,135,45
53,135,46
53,136,35
53,136,36
53,136,37
53,136,38
53,136,39
53,136,40
53,136,41
53,136,42
53,136,43
53,136,44
53,136,45
53,136,46
53,136,47
53,137,36
53,137,37
53,137,38
53,137,39
53,137,40
53,137,41
53,137,42
53,137,43
53,137,44
53,137,45
53,137,46
53,137,47
53,137,48
