"x","y","z"
70,62,36
70,62,37
70,62,38
70,63,37
70,63,38
70,63,39
70,63,40
70,64,37
70,64,38
70,64,39
70,64,40
70,65,37
70,65,38
70,65,39
70,65,40
70,66,36
70,66,37
70,66,38
70,66,39
70,66,40
70,66,41
70,66,42
70,67,35
70,67,36
70,67,37
70,67,38
70,67,39
70,67,40
70,67,41
70,68,37
70,68,38
70,68,39
70,69,37
70,69,38
70,69,39
71,62,34
71,62,35
71,62,36
71,62,37
71,62,38
71,62,39
71,62,40
71,62,41
71,62,42
71,63,35
71,63,36
71,63,37
71,63,38
71,63,39
71,63,40
71,63,41
71,63,42
71,64,35
71,64,36
71,64,37
71,64,38
71,64,39
71,64,40
71,64,41
71,64,42
71,65,34
71,65,35
71,65,36
71,65,37
71,65,38
71,65,39
71,65,40
71,65,41
71,66,34
71,66,35
71,66,36
71,66,37
71,66,38
71,66,39
71,66,40
71,66,41
71,66,42
71,67,34
71,67,35
71,67,36
71,67,37
71,67,38
71,67,39
71,67,40
71,67,41
71,68,35
71,68,36
71,68,37
71,68,38
71,68,39
71,68,40
71,68,41
71,69,35
71,69,36
71,69,37
71,69,38
71,69,39
71,69,40
71,70,37
71,70,38
71,70,39
71,70,40
71,70,41
71,71,37
71,71,38
71,71,39
71,76,35
71,76,36
71,76,37
71,76,38
71,76,39
71,76,40
72,62,35
72,62,36
72,62,37
72,62,38
72,62,39
72,62,40
72,62,41
72,62,42
72,62,43
72,62,44
72,63,34
72,63,35
72,63,36
72,63,37
72,63,38
72,63,39
72,63,40
72,63,41
72,63,42
72,63,43
72,64,34
72,64,35
72,64,36
72,64,37
72,64,38
72,64,39
72,64,40
72,64,41
72,64,42
72,64,43
72,65,34
72,65,35
72,65,36
72,65,37
72,65,38
72,65,39
72,65,40
72,65,41
72,66,34
72,66,35
72,66,36
72,66,37
72,66,38
72,66,39
72,66,40
72,66,41
72,66,42
72,66,43
72,67,33
72,67,34
72,67,35
72,67,36
72,67,37
72,67,38
72,67,39
72,67,40
72,67,41
72,67,42
72,68,34
72,68,35
72,68,36
72,68,37
72,68,38
72,68,39
72,68,40
72,68,41
72,68,42
72,69,34
72,69,35
72,69,36
72,69,37
72,69,38
72,69,39
72,69,40
72,69,41
72,70,35
72,70,36
72,70,37
72,70,38
72,70,39
72,70,40
72,70,41
72,70,42
72,71,35
72,71,36
72,71,37
72,71,38
72,71,39
72,71,40
72,71,41
72,72,36
72,72,37
72,72,38
72,72,39
72,72,40
72,72,41
72,73,36
72,73,37
72,73,38
72,74,35
72,74,36
72,74,37
72,74,38
72,74,39
72,75,35
72,75,36
72,75,37
72,75,38
72,75,39
72,76,33
72,76,34
72,76,35
72,76,36
72,76,37
72,76,38
72,76,39
72,76,40
72,76,41
72,76,42
72,77,34
72,77,35
72,77,36
72,77,37
72,77,38
72,77,39
72,77,40
73,62,36
73,62,37
73,62,38
73,62,39
73,62,40
73,62,41
73,62,42
73,62,43
73,62,44
73,62,45
73,63,35
73,63,36
