"x","y","z"
52,99,36
52,99,37
52,100,34
52,100,35
52,100,36
52,100,37
52,101,33
52,101,34
52,101,35
52,101,36
52,101,37
52,101,38
52,102,34
52,102,35
52,102,36
52,102,37
52,102,38
52,103,35
52,103,36
52,103,37
52,103,38
52,104,37
52,104,38
53,99,36
53,100,35
53,100,36
53,100,37
53,101,33
53,101,34
53,101,35
53,101,36
53,101,37
53,101,38
53,102,32
53,102,33
53,102,34
53,102,35
53,102,36
53,102,37
53,102,38
53,103,32
53,103,33
53,103,34
53,103,35
53,103,36
53,103,37
53,103,38
53,104,33
53,104,34
53,104,35
53,104,36
53,104,37
53,104,38
53,105,35
53,105,36
53,105,37
53,105,38
53,106,37
54,100,36
54,101,34
54,101,35
54,101,36
54,102,32
54,102,33
54,102,34
54,102,35
54,102,36
54,103,31
54,103,32
54,103,33
54,103,34
54,103,35
54,103,36
54,103,37
54,104,30
54,104,31
54,104,32
54,104,33
54,104,34
54,104,35
54,104,36
54,104,37
54,105,32
54,105,33
54,105,34
54,105,35
54,105,36
54,105,37
54,106,33
54,106,34
54,106,35
54,106,36
54,106,37
54,107,36
54,107,37
55,101,34
55,101,35
55,102,32
55,102,33
55,102,34
55,102,35
55,103,30
55,103,31
55,103,32
55,103,33
55,103,34
55,103,35
55,103,36
55,104,32
55,104,33
55,104,34
55,104,35
55,104,36
55,105,30
55,105,31
55,105,32
55,105,33
55,105,34
55,105,35
55,105,36
55,106,31
55,106,32
55,106,33
55,106,34
55,106,35
55,106,36
55,107,32
55,107,33
55,107,34
55,107,35
55,107,36
55,107,37
55,108,34
55,108,35
55,108,36
55,108,37
56,101,34
56,101,35
56,102,33
56,102,34
56,102,35
56,103,32
56,103,33
56,103,34
56,103,35
56,104,33
56,104,34
56,104,35
56,105,31
56,105,32
56,105,33
56,105,34
56,105,35
56,106,30
56,106,31
56,106,32
56,106,33
56,106,34
56,106,35
56,106,36
56,107,30
56,107,31
56,107,32
56,107,33
56,107,34
56,107,35
56,107,36
56,108,28
56,108,29
56,108,30
56,108,31
56,108,32
56,108,33
56,108,34
56,108,35
56,108,36
56,109,29
56,109,30
56,109,31
56,109,32
56,109,33
56,109,34
56,109,35
56,109,36
56,109,37
56,110,30
56,110,31
