"x","y","z"
54,59,57
55,59,57
55,59,58
55,59,59
55,60,57
55,60,58
56,59,57
56,59,58
56,59,59
56,59,60
56,60,58
56,60,59
56,60,60
57,59,58
57,59,59
57,59,60
57,59,61
57,60,58
57,60,59
57,60,60
57,60,61
57,61,58
57,61,59
58,59,59
58,59,60
58,59,61
58,59,62
58,60,59
58,60,60
58,60,61
58,60,62
58,61,58
58,61,59
58,61,60
58,62,58
58,62,59
58,62,60
58,62,61
59,59,60
59,59,61
59,59,62
59,60,60
59,60,61
59,60,62
59,60,63
59,61,58
59,61,59
59,61,60
59,61,61
59,61,62
59,62,59
59,62,60
59,62,61
59,62,62
59,63,59
59,63,60
60,59,61
60,59,62
60,59,63
60,59,64
60,60,61
60,60,63
60,60,64
60,61,59
60,61,60
60,61,61
60,61,62
60,61,63
60,62,60
60,62,61
60,62,62
60,63,59
60,63,60
60,63,61
60,64,59
60,64,60
61,59,61
61,59,62
61,59,63
61,59,64
61,59,65
61,60,62
61,60,63
61,60,64
61,60,65
61,61,61
61,61,62
61,61,63
61,61,64
61,62,61
61,62,62
61,62,63
61,63,59
61,63,60
61,63,61
61,63,62
61,64,60
61,64,61
61,65,59
61,65,60
61,65,61
62,59,63
62,59,64
62,59,65
62,60,63
62,60,64
62,60,65
62,61,62
62,61,63
62,61,64
62,61,65
62,62,61
62,62,62
62,62,63
62,62,64
62,63,60
62,63,61
62,63,62
62,63,63
62,64,60
62,64,61
62,64,62
62,65,60
62,65,61
62,65,62
62,66,61
62,107,57
62,107,58
62,110,56
62,110,57
62,110,58
63,59,64
63,59,65
63,59,66
63,60,64
63,60,65
63,60,66
63,61,63
63,61,64
63,61,65
63,61,66
63,62,62
63,62,63
63,62,64
63,62,65
63,63,61
63,63,62
63,63,63
63,63,64
63,63,65
63,64,60
63,64,61
63,64,62
63,64,63
63,65,60
63,65,61
63,65,62
63,65,63
63,65,64
63,66,61
63,66,62
63,66,63
63,66,64
63,67,61
63,67,62
63,67,63
63,105,57
63,105,58
63,106,56
63,106,57
63,106,58
63,107,57
63,107,58
63,107,59
63,107,60
63,108,57
63,108,58
63,108,59
63,109,56
63,109,57
63,109,58
63,110,56
63,110,57
63,110,58
63,110,59
63,110,60
64,59,65
64,59,66
64,59,67
64,60,64
64,60,65
64,60,66
64,61,64
64,61,65
64,61,66
64,61,67
64,62,62
64,62,63
64,62,64
64,62,65
64,63,62
64,63,63
64,63,64
64,63,65
64,64,61
64,64,62
64,64,63
64,64,64
64,65,61
64,65,62
64,65,63
64,65,64
64,65,65
64,66,63
64,66,64
64,66,65
64,67,61
64,67,62
64,67,63
64,67,64
64,68,62
64,68,63
64,68,64
64,69,61
64,69,62
64,69,63
64,69,64
64,70,61
64,70,62
64,101,58
64,101,59
64,102,57
64,102,58
64,102,59
64,103,57
64,103,58
64,103,59
64,103,60
64,103,61
64,104,57
64,104,58
64,104,59
64,105,56
64,105,57
64,105,58
64,105,59
64,105,60
64,106,56
64,106,57
64,106,58
64,106,59
64,106,60
64,107,57
64,107,58
64,107,59
64,107,60
64,107,61
64,108,57
64,108,58
64,108,59
64,108,60
64,108,61
64,109,56
64,109,57
64,109,58
64,109,59
64,109,60
64,110,57
64,110,58
64,110,59
64,110,60
64,110,61
64,110,62
65,59,66
65,59,67
65,60,65
65,60,66
65,60,67
65,61,65
65,61,66
65,61,67
65,62,63
65,62,64
65,62,65
65,62,66
65,63,64
65,63,65
65,63,66
65,64,62
65,64,63
65,64,64
65,64,65
65,65,63
65,65,64
65,65,65
65,65,66
65,66,63
65,66,64
65,66,65
65,66,66
65,67,62
65,67,63
65,67,64
65,67,65
65,68,62
65,68,63
65,68,64
65,69,62
65,69,63
65,69,64
65,69,65
65,70,62
65,70,63
65,70,64
65,71,62
65,71,63
65,71,64
65,71,65
65,72,62
65,72,63
65,72,64
65,99,58
65,99,59
65,100,58
65,100,59
65,100,60
65,100,61
65,101,58
65,101,59
65,101,60
65,101,61
65,102,57
65,102,58
65,102,59
65,102,60
65,102,61
65,103,57
65,103,58
65,103,59
65,103,60
65,103,61
65,103,62
65,104,57
65,104,58
65,104,59
65,104,60
65,104,61
65,105,57
65,105,58
65,105,59
65,105,60
65,105,61
65,106,57
65,106,58
65,106,59
65,106,60
65,106,61
65,106,62
65,107,59
65,107,60
65,107,61
65,107,62
65,108,58
65,108,59
65,108,60
65,108,61
65,108,62
65,109,57
65,109,58
65,109,59
65,109,60
65,109,61
65,109,62
65,109,63
65,110,59
65,110,60
65,110,61
65,110,62
65,110,63
66,59,66
66,59,67
66,60,65
66,60,66
66,60,67
66,61,66
66,61,67
66,61,68
66,62,63
66,62,64
66,62,65
66,62,66
66,63,64
66,63,65
66,63,66
66,63,67
66,64,63
66,64,64
66,64,65
66,64,66
66,65,64
66,65,65
66,65,66
66,66,64
66,66,65
66,66,66
66,67,63
66,67,64
66,67,65
66,67,66
66,68,63
66,68,64
66,68,65
66,69,63
66,69,64
66,69,65
66,69,66
66,70,63
66,70,64
66,70,65
66,70,66
66,71,62
66,71,63
66,71,64
66,71,65
66,71,66
66,72,63
66,72,64
66,72,65
66,72,66
66,73,63
66,74,63
66,74,64
66,74,65
66,98,58
66,98,59
66,98,60
66,99,58
66,99,59
66,99,60
66,100,58
66,100,59
66,100,60
66,100,61
66,101,58
66,101,59
66,101,60
66,101,61
66,101,62
66,102,58
66,102,59
66,102,60
66,102,61
66,102,62
66,103,59
66,103,60
66,103,61
66,103,62
66,103,63
66,104,58
66,104,59
66,104,60
66,104,61
66,104,62
66,104,63
66,105,59
66,105,60
66,105,61
66,105,62
66,106,59
66,106,60
66,106,61
66,106,62
66,106,63
66,107,60
66,107,61
66,107,62
66,107,63
66,108,60
66,108,61
66,108,62
66,108,63
66,108,64
66,109,59
66,109,60
66,109,61
66,109,62
66,109,63
66,109,64
66,110,61
66,110,62
66,110,63
66,110,64
67,59,66
67,59,67
67,60,66
67,60,67
67,60,68
67,61,66
67,61,67
67,61,68
67,62,64
67,62,65
67,62,66
67,62,67
67,63,65
67,63,66
67,63,67
67,64,64
67,64,65
67,64,66
67,64,67
67,65,65
67,65,66
67,65,67
67,66,65
67,66,66
67,66,67
67,67,64
67,67,65
67,67,66
67,67,67
67,68,63
67,68,64
67,68,65
67,68,66
67,69,64
67,69,65
67,69,66
67,69,67
67,70,63
67,70,64
67,70,65
67,70,66
67,70,67
67,71,64
67,71,65
67,71,66
67,71,67
67,72,63
67,72,64
67,72,65
67,72,66
67,73,63
67,73,64
67,73,65
67,74,64
67,74,65
67,74,66
67,75,64
67,75,65
67,75,66
67,76,64
67,76,65
67,76,66
67,77,63
67,78,64
67,79,63
67,79,64
67,79,65
67,97,58
67,97,59
67,97,60
67,98,58
67,98,59
67,98,60
67,98,61
67,99,58
67,99,59
67,99,60
67,99,61
67,100,59
67,100,60
67,100,61
67,100,62
67,101,60
67,101,61
67,101,62
67,101,63
67,102,60
67,102,61
67,102,62
67,102,63
67,103,61
67,103,62
67,103,63
67,103,64
67,104,60
67,104,61
67,104,62
67,104,63
67,104,64
67,105,60
67,105,61
