"x","y","z"
62,69,39
62,69,40
62,69,41
62,69,42
62,72,38
62,72,39
62,73,39
63,69,38
63,69,39
63,69,40
63,69,41
63,69,42
63,69,43
63,70,39
63,70,40
63,70,41
63,71,39
63,71,40
63,71,41
63,71,42
63,72,37
63,72,38
63,72,39
63,72,40
63,72,41
63,73,38
63,73,39
63,73,40
63,73,41
64,66,42
64,66,43
64,68,40
64,68,41
64,68,42
64,69,38
64,69,39
64,69,40
64,69,41
64,69,42
64,69,43
64,69,44
64,70,38
64,70,39
64,70,40
64,70,41
64,70,42
64,70,43
64,71,38
64,71,39
64,71,40
64,71,41
64,71,42
64,71,43
64,71,44
64,72,37
64,72,38
64,72,39
64,72,40
64,72,41
64,72,42
64,73,38
64,73,39
64,73,40
64,73,41
64,73,42
65,65,42
65,65,43
65,66,41
65,66,42
65,66,43
65,66,45
65,67,42
65,67,43
65,67,44
65,67,45
65,67,46
65,68,39
65,68,40
65,68,41
65,68,42
65,68,43
65,68,44
65,69,39
65,69,40
65,69,41
65,69,42
65,69,43
65,69,44
65,69,45
65,70,37
65,70,38
65,70,39
65,70,40
65,70,41
65,70,42
65,70,43
65,70,44
65,71,38
65,71,39
65,71,40
65,71,41
65,71,42
65,71,43
65,71,44
65,71,45
65,72,37
65,72,38
65,72,39
65,72,40
65,72,41
65,72,42
65,72,43
65,72,44
65,73,38
65,73,39
65,73,40
65,73,41
65,73,42
65,73,43
65,74,39
65,74,40
65,75,39
65,75,40
65,75,41
65,75,42
66,64,44
66,65,41
66,65,42
66,65,43
66,65,44
66,66,41
66,66,42
66,66,43
66,66,44
66,66,45
66,66,46
66,67,41
66,67,42
66,67,43
66,67,44
66,67,45
66,67,46
66,67,47
66,68,39
66,68,40
66,68,41
66,68,42
66,68,43
66,68,44
66,68,45
66,68,46
66,69,39
66,69,40
66,69,41
66,69,42
66,69,43
66,69,44
66,69,45
66,70,37
66,70,38
66,70,39
66,70,40
66,70,41
66,70,42
66,70,43
66,70,44
66,71,38
66,71,39
66,71,40
66,71,41
66,71,42
66,71,43
66,71,44
66,71,45
66,71,46
66,72,37
66,72,38
66,72,39
66,72,40
66,72,41
66,72,42
66,72,43
66,72,44
66,72,45
66,73,38
66,73,39
