"x","y","z"
42,54,41
42,55,45
42,55,46
42,55,47
42,56,44
42,56,45
42,56,46
42,56,47
43,54,39
43,54,40
43,54,41
43,54,42
43,54,43
43,54,44
43,54,45
43,54,46
43,54,47
43,54,48
43,54,49
43,54,50
43,55,47
43,55,48
43,55,49
43,55,50
43,56,45
43,56,46
43,56,47
43,56,48
43,56,49
43,57,47
43,57,48
43,58,44
43,58,45
43,58,46
43,58,47
44,54,39
44,54,40
44,54,41
44,54,42
44,54,43
44,54,44
44,54,45
44,54,46
44,54,47
44,54,48
44,54,49
44,54,50
44,55,49
44,55,50
44,55,51
44,55,52
44,56,45
44,56,46
44,56,47
44,56,48
44,56,49
44,56,50
44,56,51
44,57,47
44,57,48
44,57,49
44,57,50
44,58,45
44,58,46
44,58,47
44,58,48
44,58,49
45,54,39
45,54,40
45,54,41
45,54,42
45,54,43
45,54,44
45,54,45
45,54,46
45,54,47
45,54,48
45,54,49
45,54,50
45,55,50
45,55,51
45,55,52
45,55,53
45,55,54
45,56,46
45,56,47
45,56,48
45,56,49
45,56,50
45,56,51
45,56,52
45,56,53
45,57,48
45,57,49
45,57,50
45,57,51
45,57,52
45,58,45
45,58,46
45,58,47
45,58,48
45,58,49
45,58,50
46,54,39
46,54,40
46,54,41
46,54,42
46,54,43
46,54,44
46,54,45
46,54,46
46,54,47
46,54,48
46,54,49
46,54,50
46,54,51
46,55,50
46,55,51
46,55,52
46,55,53
46,55,54
46,55,55
46,56,46
46,56,47
46,56,48
46,56,49
46,56,50
46,56,51
46,56,52
46,56,53
46,56,54
46,57,48
46,57,49
46,57,50
46,57,51
46,57,52
46,57,53
46,58,45
46,58,46
46,58,47
46,58,48
46,58,49
46,58,50
46,58,51
46,58,52
47,54,38
47,54,39
47,54,40
47,54,41
47,54,42
47,54,43
47,54,44
47,54,45
47,54,46
47,54,47
47,54,48
47,54,49
47,54,50
47,54,51
47,55,51
47,55,52
47,55,53
47,55,54
47,55,55
47,55,56
47,56,46
47,56,47
47,56,48
47,56,49
47,56,50
47,56,51
47,56,52
47,56,53
47,56,54
47,56,55
47,56,56
47,57,48
47,57,49
47,57,50
47,57,51
47,57,52
47,57,53
47,57,54
47,57,55
47,58,45
47,58,46
47,58,47
47,58,48
47,58,49
47,58,50
47,58,51
47,58,52
47,58,53
48,54,36
48,54,39
48,54,40
48,54,41
48,54,42
48,54,43
48,54,44
48,54,45
48,54,46
48,54,47
48,54,48
48,54,49
48,54,50
48,54,51
48,54,52
48,54,53
48,55,51
48,55,52
48,55,53
48,55,54
48,55,55
48,55,56
48,55,57
48,56,45
48,56,46
48,56,47
48,56,48
48,56,49
48,56,50
48,56,51
48,56,52
48,56,53
48,56,54
48,56,55
48,56,56
48,56,57
48,57,47
48,57,48
48,57,49
48,57,50
48,57,51
48,57,52
48,57,53
48,57,54
48,57,55
48,57,56
48,58,45
48,58,46
48,58,47
48,58,48
48,58,49
48,58,50
48,58,51
48,58,52
48,58,53
48,58,54
48,58,55
49,54,40
49,54,41
49,54,42
49,54,43
49,54,44
49,54,45
49,54,46
49,54,47
49,54,48
49,54,49
49,54,50
49,54,51
49,54,52
49,54,53
49,54,54
49,55,51
49,55,52
49,55,53
49,55,54
49,55,55
49,55,56
49,55,57
49,55,58
49,56,45
49,56,46
49,56,47
49,56,48
49,56,49
49,56,50
49,56,51
49,56,52
49,56,53
49,56,54
49,56,55
49,56,56
49,56,57
49,56,58
49,57,47
49,57,48
49,57,49
49,57,50
49,57,51
49,57,52
49,57,53
49,57,54
49,57,55
49,57,56
49,57,57
49,58,44
49,58,45
49,58,46
49,58,47
49,58,48
49,58,49
49,58,50
49,58,51
49,58,52
49,58,53
49,58,54
49,58,55
49,58,56
49,58,57
50,54,41
50,54,42
50,54,43
50,54,44
50,54,45
50,54,46
50,54,47
50,54,48
50,54,49
50,54,50
50,54,51
50,54,52
50,54,53
50,54,54
50,54,55
50,54,56
50,55,50
50,55,51
50,55,52
50,55,53
50,55,54
50,55,55
50,55,56
50,55,57
50,55,58
50,55,59
50,56,44
50,56,45
50,56,46
50,56,47
50,56,48
50,56,49
50,56,50
50,56,51
50,56,52
50,56,53
50,56,54
50,56,55
50,56,56
50,56,57
50,56,58
50,56,59
50,57,46
50,57,47
50,57,48
50,57,49
50,57,50
50,57,51
50,57,52
50,57,53
50,57,54
50,57,55
50,57,56
50,57,57
50,57,58
50,58,44
50,58,45
50,58,46
50,58,47
50,58,48
50,58,49
50,58,50
50,58,51
50,58,52
50,58,53
50,58,54
50,58,55
50,58,56
50,58,57
50,58,58
51,54,42
51,54,43
51,54,44
51,54,45
51,54,46
51,54,47
51,54,48
51,54,49
51,54,50
51,54,51
51,54,52
51,54,53
51,54,54
51,54,55
51,54,56
51,54,57
51,55,50
51,55,51
51,55,52
51,55,53
51,55,54
51,55,55
51,55,56
51,55,57
51,55,58
51,55,59
51,55,60
51,56,42
51,56,43
51,56,44
51,56,45
51,56,46
51,56,47
51,56,48
51,56,49
51,56,50
51,56,51
51,56,52
51,56,53
51,56,54
51,56,55
51,56,56
51,56,57
51,56,58
51,56,59
51,56,60
51,57,44
51,57,45
51,57,46
51,57,47
51,57,48
51,57,49
51,57,50
51,57,51
51,57,52
51,57,53
51,57,54
51,57,55
51,57,56
51,57,57
51,57,58
51,57,59
51,58,43
51,58,44
51,58,45
51,58,46
51,58,47
51,58,48
51,58,49
51,58,50
51,58,51
51,58,52
51,58,53
51,58,54
51,58,55
51,58,56
51,58,57
51,58,58
51,58,59
52,53,55
52,53,56
52,53,57
52,54,43
52,54,44
52,54,45
52,54,46
52,54,47
52,54,48
52,54,49
52,54,50
52,54,51
52,54,52
52,54,53
52,54,54
52,54,55
52,54,56
52,54,57
52,54,58
52,54,59
52,55,49
52,55,50
52,55,51
52,55,52
52,55,53
52,55,54
52,55,55
52,55,56
52,55,57
52,55,58
52,55,59
52,55,60
52,55,61
52,56,43
52,56,44
52,56,45
52,56,46
52,56,47
52,56,48
52,56,49
52,56,50
52,56,51
52,56,52
52,56,53
52,56,54
52,56,55
52,56,56
52,56,57
52,56,58
52,56,59
52,56,60
52,56,61
52,57,42
52,57,43
52,57,44
52,57,45
52,57,46
52,57,47
52,57,48
52,57,49
52,57,50
52,57,51
52,57,52
52,57,53
52,57,54
52,57,55
52,57,56
52,57,57
52,57,58
52,57,59
52,57,60
52,58,42
52,58,43
52,58,44
52,58,45
52,58,46
52,58,47
52,58,48
52,58,49
52,58,50
52,58,51
52,58,52
52,58,53
52,58,54
52,58,55
52,58,56
52,58,57
52,58,58
52,58,59
52,58,60
53,53,53
53,53,54
53,53,55
53,53,56
53,53,57
53,53,58
53,54,45
53,54,46
53,54,47
53,54,48
53,54,49
53,54,50
53,54,51
53,54,52
53,54,53
53,54,54
53,54,55
53,54,56
53,54,57
53,54,58
53,54,59
53,54,60
53,55,47
53,55,48
53,55,49
53,55,50
53,55,51
53,55,52
53,55,53
53,55,54
53,55,55
53,55,56
53,55,57
53,55,58
53,55,59
53,55,60
53,55,61
53,55,62
53,56,44
53,56,45
53,56,46
53,56,47
53,56,48
53,56,49
53,56,50
53,56,51
53,56,52
53,56,53
53,56,54
53,56,55
53,56,56
53,56,57
53,56,58
53,56,59
53,56,60
53,56,61
53,56,62
53,57,42
53,57,43
53,57,44
53,57,45
53,57,46
53,57,47
53,57,48
53,57,49
53,57,50
53,57,51
53,57,52
53,57,53
53,57,54
53,57,55
53,57,56
53,57,57
53,57,58
53,57,59
53,57,60
53,57,61
53,58,40
53,58,41
53,58,42
53,58,43
53,58,44
53,58,45
53,58,46
53,58,47
53,58,48
53,58,49
53,58,50
53,58,51
53,58,52
53,58,53
53,58,54
53,58,55
53,58,56
53,58,57
53,58,58
53,58,59
53,58,60
53,58,61
54,52,49
54,52,59
54,52,60
54,52,61
54,53,47
54,53,48
54,53,49
54,53,50
54,53,51
54,53,52
54,53,53
54,53,54
54,53,55
54,53,56
54,53,57
54,53,58
54,53,59
54,54,47
54,54,48
54,54,49
54,54,50
54,54,51
54,54,52
54,54,53
54,54,54
54,54,55
54,54,56
54,54,57
54,54,58
54,54,59
54,54,60
54,54,61
54,55,46
54,55,47
54,55,48
54,55,49
54,55,50
54,55,51
54,55,52
54,55,53
54,55,54
54,55,55
54,55,56
54,55,57
54,55,58
54,55,59
54,55,60
54,55,61
54,55,62
54,55,63
54,56,43
54,56,44
54,56,45
54,56,46
54,56,47
54,56,48
54,56,49
54,56,50
54,56,51
54,56,52
54,56,53
54,56,54
54,56,55
54,56,56
54,56,57
54,56,58
54,56,59
54,56,60
54,56,61
54,56,62
54,56,63
54,57,41
54,57,42
54,57,43
54,57,44
54,57,45
54,57,46
54,57,47
54,57,48
54,57,49
54,57,50
54,57,51
54,57,52
54,57,53
54,57,54
