"x","y","z"
34,71,39
34,71,40
34,71,41
34,72,38
34,72,39
34,72,40
34,73,37
34,73,38
34,73,39
34,74,36
34,74,37
34,74,38
34,75,35
34,75,36
34,75,37
34,76,36
35,70,41
35,70,42
35,70,43
35,70,44
35,70,45
35,71,39
35,71,40
35,71,41
35,71,42
35,71,43
35,71,44
35,72,38
35,72,39
35,72,40
35,72,41
35,72,42
35,73,37
35,73,38
35,73,39
35,73,40
35,73,41
35,74,36
35,74,37
35,74,38
35,74,39
35,74,40
35,75,35
35,75,36
35,75,37
35,75,38
35,76,35
35,76,36
35,76,37
36,53,39
36,54,38
36,54,39
36,55,38
36,69,44
36,69,45
36,69,46
36,70,42
36,70,43
36,70,44
36,70,45
36,70,46
36,71,40
36,71,41
36,71,42
36,71,43
36,71,44
36,71,45
36,71,46
36,72,39
36,72,40
36,72,41
36,72,42
36,72,43
36,72,44
36,72,45
36,73,38
36,73,39
36,73,40
36,73,41
36,73,42
36,73,43
36,74,37
36,74,38
36,74,39
36,74,40
36,74,41
36,75,36
36,75,37
36,75,38
36,75,39
36,75,40
36,76,36
36,76,37
36,76,38
36,76,39
36,77,37
36,77,38
36,78,37
36,79,35
36,79,36
36,80,34
36,80,35
36,80,36
36,81,33
36,81,34
36,81,35
36,81,36
36,82,33
36,82,34
36,82,35
36,83,33
36,83,34
36,84,32
36,84,33
36,84,34
36,85,31
36,85,32
36,85,33
36,86,30
36,86,31
36,87,29
36,87,30
36,87,31
36,88,30
37,52,39
37,52,40
37,52,41
37,53,39
37,53,40
37,53,41
37,54,38
37,54,39
37,54,40
37,55,37
37,55,38
37,55,39
37,55,40
37,56,37
37,56,38
37,56,39
37,57,37
37,57,38
37,58,37
37,59,36
37,59,37
37,60,35
37,60,36
37,61,35
37,61,36
37,62,34
37,62,35
37,63,33
37,63,34
37,64,33
37,65,32
37,69,46
37,70,44
37,70,45
37,70,46
37,71,42
37,71,43
37,71,44
37,71,45
37,71,46
37,72,40
37,72,41
37,72,42
37,72,43
37,72,44
37,72,45
37,72,46
37,73,39
37,73,40
37,73,41
37,73,42
37,73,43
37,73,44
37,73,45
37,73,46
37,74,39
37,74,40
37,74,41
37,74,42
37,74,43
37,74,44
37,75,39
37,75,40
37,75,41
37,75,42
37,76,38
37,76,39
37,76,40
37,76,41
37,77,37
37,77,38
37,77,39
37,77,40
37,78,36
37,78,37
37,78,38
37,78,39
37,79,34
37,79,35
37,79,36
37,79,37
37,79,38
37,80,32
37,80,33
37,80,34
37,80,35
37,80,36
37,80,37
37,81,28
37,81,29
37,81,31
37,81,32
37,81,33
37,81,34
37,81,35
37,81,36
37,81,37
37,82,30
37,82,31
37,82,32
37,82,33
37,82,34
37,82,35
37,82,36
37,83,27
37,83,28
37,83,29
37,83,30
37,83,31
37,83,32
37,83,33
37,83,34
37,83,35
37,84,27
37,84,28
37,84,29
37,84,30
37,84,31
37,84,32
37,84,33
37,84,34
37,85,28
37,85,29
37,85,30
37,85,31
37,85,32
37,85,33
37,86,28
37,86,29
37,86,30
37,86,31
37,86,32
37,87,29
37,87,30
37,87,31
37,88,29
37,88,30
38,51,44
38,52,40
38,52,41
38,52,42
38,52,43
38,52,44
38,53,39
38,53,40
38,53,41
38,53,42
38,53,43
38,54,38
38,54,39
38,54,40
38,54,41
38,54,42
38,55,38
38,55,39
38,55,40
38,55,41
38,56,38
38,56,39
38,56,40
38,57,37
38,57,38
38,57,39
38,57,40
38,58,37
38,58,38
38,58,39
38,59,36
38,59,37
38,59,38
38,60,35
38,60,36
38,60,37
38,60,38
38,61,35
38,61,36
38,61,37
38,62,34
38,62,35
38,62,36
38,62,37
38,63,33
38,63,34
38,63,35
38,63,36
38,64,32
38,64,33
38,64,34
38,64,35
38,65,32
38,65,33
38,65,34
38,66,31
38,66,32
38,66,33
38,67,31
38,67,32
38,68,30
38,68,31
38,70,46
38,71,44
38,71,45
38,71,46
38,72,42
38,72,43
38,72,44
38,72,45
38,72,46
38,73,41
38,73,42
38,73,43
38,73,44
38,73,45
38,73,46
38,73,47
38,74,41
38,74,42
38,74,43
38,74,44
38,74,45
38,74,46
38,75,40
38,75,41
38,75,42
38,75,43
38,75,44
38,75,45
38,76,39
38,76,40
38,76,41
38,76,42
38,76,43
38,77,37
38,77,38
38,77,39
38,77,40
38,77,41
38,78,34
38,78,35
38,78,36
38,78,37
38,78,38
38,78,39
38,78,40
38,79,33
38,79,34
38,79,35
38,79,36
38,79,37
38,79,38
38,79,39
38,80,32
38,80,33
38,80,34
38,80,35
38,80,36
38,80,37
38,80,38
38,81,26
38,81,27
38,81,28
38,81,29
38,81,30
38,81,31
38,81,32
38,81,33
38,81,34
38,81,35
38,81,36
38,81,37
38,82,31
38,82,32
38,82,33
38,82,34
38,82,35
38,82,36
38,83,28
38,83,29
38,83,30
38,83,31
38,83,32
38,83,33
38,83,34
38,83,35
38,84,27
38,84,28
38,84,29
38,84,30
38,84,31
38,84,32
38,84,33
38,84,34
38,85,26
38,85,27
38,85,28
38,85,29
38,85,30
38,85,31
38,85,32
38,85,33
38,86,27
38,86,28
38,86,29
38,86,30
38,86,31
38,86,32
38,87,28
38,87,29
38,87,30
38,87,31
38,88,29
38,88,30
39,48,48
39,48,49
39,49,47
39,49,48
39,49,49
39,50,47
39,50,48
39,51,43
39,51,44
39,51,45
39,51,46
39,51,47
39,52,42
39,52,43
39,52,44
39,52,45
39,52,46
39,52,47
39,53,41
39,53,42
39,53,43
39,53,44
39,53,45
39,53,47
39,54,40
39,54,41
39,54,42
39,54,43
39,54,44
39,55,39
39,55,40
39,55,41
39,55,42
39,55,43
39,56,38
39,56,39
39,56,40
39,56,41
39,56,42
39,56,47
39,57,38
39,57,39
39,57,40
39,57,41
39,57,47
39,58,37
39,58,38
39,58,39
39,58,40
39,59,37
39,59,38
39,59,39
39,59,40
39,60,36
39,60,37
39,60,38
39,60,39
39,61,35
39,61,36
39,61,37
39,61,38
39,61,39
39,62,34
39,62,35
39,62,36
39,62,37
39,62,38
39,63,34
39,63,35
39,63,36
39,63,37
39,64,33
39,64,34
39,64,35
39,64,36
39,65,32
39,65,33
39,65,34
39,65,35
39,66,32
39,66,33
39,66,34
39,67,31
39,67,32
39,67,33
39,68,30
39,68,31
39,68,32
39,68,33
39,69,30
39,69,31
39,69,32
39,69,33
39,70,30
39,70,31
39,70,32
39,70,33
39,71,30
39,71,31
39,71,32
39,71,33
39,71,34
39,71,46
39,72,30
39,72,31
39,72,32
39,72,33
39,72,34
39,72,45
39,72,46
39,73,32
39,73,33
39,73,34
39,73,43
39,73,44
39,73,45
39,73,46
39,73,47
39,73,48
39,74,34
39,74,35
39,74,42
39,74,43
39,74,44
39,74,45
39,74,46
39,74,47
39,74,48
39,75,34
39,75,35
39,75,40
39,75,41
39,75,42
39,75,43
39,75,44
39,75,45
39,75,46
39,75,47
39,76,38
39,76,39
39,76,40
39,76,41
39,76,42
39,76,43
39,76,44
39,76,45
39,77,35
39,77,36
39,77,37
39,77,38
39,77,39
39,77,40
39,77,41
39,77,42
39,77,43
39,78,35
39,78,36
39,78,37
39,78,38
39,78,39
39,78,40
39,78,41
39,79,35
39,79,36
39,79,37
39,79,38
39,79,39
39,80,33
39,80,34
39,80,35
39,80,36
39,80,37
39,80,38
39,81,31
39,81,32
39,81,33
39,81,34
39,81,35
39,81,36
39,81,37
39,82,32
39,82,33
39,82,34
39,82,35
39,82,36
39,83,29
39,83,30
39,83,31
39,83,32
39,83,33
39,83,34
39,83,35
39,84,28
39,84,29
39,84,30
39,84,31
39,84,32
39,84,33
39,84,34
39,85,27
39,85,28
39,85,29
39,85,30
39,85,31
39,85,32
39,85,33
39,86,28
39,86,29
39,86,30
39,86,31
39,86,32
39,87,27
39,87,28
39,87,30
39,87,31
39,97,36
39,98,35
39,98,36
39,99,33
39,99,34
39,99,35
39,99,36
39,100,33
39,100,34
39,100,35
39,101,33
40,47,49
40,47,50
40,47,51
40,47,52
40,48,48
40,48,49
40,48,50
40,48,51
40,49,47
40,49,48
40,49,49
40,49,50
40,50,46
40,50,47
40,50,48
40,50,49
40,50,50
40,51,45
40,51,46
40,51,47
40,51,48
40,52,44
40,52,45
40,52,46
40,52,47
40,52,48
40,52,49
40,52,50
40,53,42
40,53,43
40,53,44
40,53,45
40,53,46
40,53,47
40,53,48
40,53,49
40,53,50
40,54,41
40,54,42
40,54,43
40,54,44
40,54,45
40,54,46
40,54,47
40,54,48
40,54,49
40,54,50
40,55,40
40,55,41
40,55,42
40,55,43
40,55,44
40,55,45
40,55,46
40,55,47
40,55,48
40,55,49
40,55,50
40,56,39
40,56,40
40,56,41
40,56,42
40,56,43
40,56,44
40,56,45
40,56,46
40,56,47
40,56,48
40,56,49
40,57,39
40,57,40
40,57,41
40,57,42
40,57,43
40,57,44
40,57,45
40,57,46
40,57,47
40,57,48
40,57,49
40,57,50
40,58,38
40,58,39
40,58,40
40,58,41
40,58,42
40,58,43
40,58,44
40,58,45
40,58,46
40,58,47
40,58,48
40,58,49
40,58,50
40,59,37
40,59,38
40,59,39
40,59,40
40,59,41
40,59,42
40,59,43
40,59,44
40,59,45
40,59,47
40,59,48
40,59,49
40,60,37
40,60,38
40,60,39
40,60,40
40,60,41
40,60,42
40,60,43
40,60,44
40,60,47
40,60,48
40,61,36
40,61,37
40,61,38
40,61,39
40,61,40
40,61,41
40,61,42
40,62,35
40,62,36
40,62,37
40,62,38
40,62,39
40,62,40
40,62,41
40,63,35
40,63,36
40,63,37
40,63,38
40,63,39
40,63,40
40,64,34
40,64,35
40,64,36
40,64,37
40,64,38
40,64,39
40,65,33
40,65,34
40,65,35
40,65,36
40,65,37
40,65,38
40,66,32
40,66,33
40,66,34
40,66,35
40,66,36
40,66,37
40,67,31
40,67,32
40,67,33
40,67,34
40,67,35
40,67,36
40,68,30
40,68,31
40,68,32
40,68,33
40,68,34
40,68,35
40,68,36
40,69,29
40,69,30
40,69,31
40,69,32
40,69,33
40,69,34
40,69,35
40,69,36
40,70,30
40,70,31
40,70,32
40,70,33
40,70,34
40,70,35
40,70,36
40,70,37
40,71,29
40,71,30
40,71,31
40,71,32
40,71,33
40,71,34
40,71,35
40,71,36
40,71,37
40,72,30
40,72,31
40,72,32
40,72,33
40,72,34
40,72,35
40,72,36
40,72,37
40,72,38
40,73,31
40,73,32
40,73,33
40,73,34
40,73,35
40,73,36
40,73,37
40,73,38
40,73,45
40,73,46
40,73,47
40,73,48
40,73,49
40,74,33
40,74,34
40,74,35
40,74,36
40,74,37
40,74,38
40,74,43
40,74,44
40,74,45
40,74,46
40,74,47
40,74,48
40,74,49
40,74,50
40,75,35
40,75,36
40,75,37
40,75,38
40,75,39
40,75,40
40,75,41
40,75,42
40,75,43
40,75,44
40,75,45
40,75,46
40,75,47
40,75,48
40,75,49
40,76,37
40,76,38
40,76,39
40,76,40
40,76,41
40,76,42
40,76,43
40,76,44
40,76,45
40,76,46
40,76,47
40,77,36
40,77,37
40,77,38
40,77,39
40,77,40
40,77,41
40,77,42
40,77,43
40,77,44
40,78,36
40,78,37
40,78,38
40,78,39
40,78,40
40,78,41
40,79,36
40,79,37
40,79,38
40,79,39
40,80,34
40,80,35
40,80,36
40,80,37
40,80,38
40,81,32
40,81,33
40,81,34
40,81,35
40,81,36
40,81,37
40,82,33
40,82,34
40,82,35
40,82,36
40,83,31
40,83,32
40,83,33
40,83,34
40,83,35
40,84,30
40,84,31
40,84,32
40,84,33
40,84,34
40,85,29
40,85,30
40,85,31
40,85,32
40,85,33
40,86,29
40,86,30
40,86,31
40,86,32
40,86,33
40,87,31
40,87,32
40,95,39
40,96,37
40,96,38
40,97,35
40,97,36
40,97,37
40,97,38
40,98,34
40,98,35
40,98,36
40,98,37
40,98,38
40,99,33
40,99,34
40,99,35
40,99,36
40,99,37
40,100,32
40,100,33
40,100,34
40,100,35
40,100,36
40,101,31
40,101,32
40,101,33
40,101,34
40,101,35
40,102,31
40,102,32
40,102,33
40,102,34
40,102,35
40,103,32
40,103,33
41,46,52
41,46,53
41,47,51
41,47,52
41,47,53
41,48,50
41,48,51
41,48,52
41,48,53
41,49,49
41,49,50
41,49,51
41,49,52
41,50,47
41,50,48
41,50,49
41,50,50
41,50,51
41,50,52
41,51,47
41,51,48
41,51,49
41,51,50
41,51,51
41,52,45
41,52,46
41,52,47
41,52,48
41,52,49
41,52,50
41,52,51
41,52,52
41,52,53
41,53,44
41,53,45
41,53,46
41,53,47
41,53,48
41,53,49
41,53,50
41,53,51
41,53,52
41,53,53
41,54,42
41,54,43
41,54,44
41,54,45
41,54,46
41,54,47
41,54,48
41,54,49
41,54,50
41,54,51
41,54,52
41,54,53
41,55,41
41,55,42
41,55,43
41,55,44
41,55,45
41,55,46
41,55,47
41,55,48
41,55,49
41,55,50
41,55,51
41,55,52
41,55,53
41,56,40
41,56,41
41,56,42
41,56,43
41,56,44
41,56,45
41,56,46
41,56,47
41,56,48
41,56,49
41,56,50
41,56,51
41,56,52
41,57,39
41,57,40
41,57,41
41,57,42
41,57,43
41,57,44
41,57,45
41,57,46
41,57,47
41,57,48
41,57,49
41,57,50
41,57,51
41,57,52
41,58,38
41,58,39
41,58,40
41,58,41
41,58,42
41,58,43
41,58,44
41,58,45
41,58,46
