"x","y","z"
51,85,32
51,85,33
51,86,33
51,86,34
51,86,35
51,86,36
51,86,37
51,86,38
51,87,33
51,87,34
51,87,35
51,87,36
51,87,37
51,87,38
51,87,39
51,88,32
51,88,33
51,88,34
51,88,35
51,88,36
51,88,37
51,88,38
51,89,35
51,89,36
52,81,27
52,81,28
52,84,31
52,84,32
52,84,33
52,85,30
52,85,31
52,85,32
52,85,33
52,85,34
52,85,35
52,85,36
52,85,37
52,85,38
52,86,32
52,86,33
52,86,34
52,86,35
52,86,36
52,86,37
52,86,38
52,86,39
52,87,31
52,87,32
52,87,33
52,87,34
52,87,35
52,87,36
52,87,37
52,87,38
52,87,39
52,87,40
52,88,31
52,88,32
52,88,33
52,88,34
52,88,35
52,88,36
52,88,37
52,88,38
52,88,39
52,89,32
52,89,33
52,89,34
52,89,35
52,89,36
52,89,37
52,89,38
52,90,31
52,90,32
52,90,33
52,90,34
52,90,35
52,90,36
52,90,37
52,90,38
52,98,41
52,98,42
52,99,38
52,99,39
52,99,40
52,99,41
52,99,42
52,103,39
52,104,40
52,104,41
53,81,27
53,81,28
53,82,27
53,82,28
53,84,29
53,84,30
53,84,31
53,84,32
53,84,33
53,85,29
53,85,30
53,85,31
53,85,32
53,85,33
53,85,34
53,85,35
53,85,36
53,85,37
53,85,38
53,86,30
53,86,31
53,86,32
53,86,33
53,86,34
53,86,35
53,86,36
53,86,37
53,86,38
53,86,39
53,87,30
53,87,31
53,87,32
53,87,33
53,87,34
53,87,35
53,87,36
53,87,37
53,87,38
53,87,39
53,87,40
53,88,30
53,88,31
53,88,32
53,88,33
53,88,34
53,88,35
53,88,36
53,88,37
53,88,38
53,88,39
53,89,32
53,89,33
53,89,34
53,89,35
53,89,36
53,89,37
53,89,38
53,90,30
53,90,31
53,90,32
53,90,33
53,90,34
53,90,35
53,90,36
53,90,37
53,90,38
53,90,39
53,91,31
53,91,32
53,91,33
53,91,34
53,91,35
53,91,36
53,91,37
53,91,38
53,92,32
53,92,33
53,92,34
53,92,35
53,97,37
53,97,38
53,97,39
53,97,40
53,97,41
53,97,42
53,98,38
53,98,39
53,98,40
53,98,41
53,98,42
53,98,43
53,99,37
53,99,38
53,99,39
53,99,40
53,99,41
53,99,42
53,99,43
53,100,38
53,100,39
53,100,40
53,100,41
53,100,42
53,101,39
53,101,40
53,102,39
53,103,39
53,103,40
53,103,41
53,104,39
53,104,40
53,104,41
53,104,42
53,105,40
53,105,41
53,106,38
53,106,39
53,106,40
53,108,38
53,108,39
54,80,26
54,80,27
54,80,28
54,81,26
54,81,27
54,81,28
54,82,26
54,82,27
54,82,28
54,82,29
54,83,26
54,83,27
54,83,28
54,83,29
54,84,28
54,84,29
54,84,30
54,84,31
54,84,32
54,85,28
54,85,29
54,85,30
54,85,31
54,85,32
54,85,33
54,85,34
54,86,29
54,86,30
54,86,31
54,86,32
54,86,33
54,86,34
54,86,35
54,86,36
54,86,37
54,86,38
54,87,29
54,87,30
54,87,31
54,87,32
54,87,33
54,87,34
54,87,35
54,87,36
54,87,37
54,87,38
54,87,39
54,88,29
54,88,30
54,88,31
54,88,32
54,88,33
54,88,34
54,88,35
54,88,36
54,88,37
54,88,38
54,89,31
54,89,32
54,89,33
54,89,34
54,89,35
54,89,36
54,89,37
54,89,38
54,90,29
54,90,30
54,90,31
54,90,32
54,90,33
54,90,34
54,90,35
54,90,36
54,90,37
54,90,38
54,90,39
54,91,30
54,91,31
54,91,32
54,91,33
54,91,34
54,91,35
54,91,36
54,91,37
54,91,38
54,92,30
54,92,31
54,92,32
54,92,33
54,92,34
54,92,35
54,92,36
54,93,32
54,93,33
54,93,34
54,93,35
54,95,35
54,95,36
54,95,37
54,96,37
54,96,38
54,96,39
54,96,40
54,97,36
54,97,37
54,97,38
54,97,39
54,97,40
54,97,41
54,97,42
54,98,37
54,98,38
54,98,39
54,98,40
54,98,41
54,98,42
54,98,43
54,99,36
54,99,37
54,99,38
54,99,39
54,99,40
54,99,41
54,99,42
54,100,37
54,100,38
54,100,39
54,100,40
54,100,41
54,100,42
54,101,37
54,101,38
54,101,39
54,101,40
54,101,41
54,102,37
54,102,38
54,102,39
54,102,40
54,102,41
54,103,38
54,103,39
54,103,40
54,103,41
54,104,38
54,104,39
54,104,40
54,104,41
54,104,42
54,105,38
54,105,39
54,105,40
54,105,41
54,106,38
54,106,39
54,106,40
54,106,41
54,107,38
54,107,39
54,107,40
54,108,37
54,108,38
54,108,39
54,108,40
54,109,38
54,109,39
55,77,27
55,77,28
55,78,26
55,78,27
55,78,28
55,79,26
55,79,27
55,79,28
55,80,25
55,80,26
55,80,27
55,80,28
55,80,29
55,80,30
55,81,25
55,81,26
55,81,27
55,81,28
55,81,29
55,82,25
55,82,26
55,82,27
55,82,28
55,82,29
55,83,26
55,83,27
55,83,28
55,83,29
55,84,25
55,84,26
55,84,27
55,84,28
55,84,29
55,84,30
55,84,31
55,85,27
55,85,28
55,85,29
55,85,30
55,85,31
55,85,32
55,86,28
55,86,29
55,86,30
55,86,31
55,86,32
55,87,28
55,87,29
55,87,30
55,87,31
55,87,32
55,87,33
55,88,27
55,88,28
55,88,29
55,88,30
55,88,31
55,88,32
55,88,33
55,89,28
55,89,29
55,89,30
55,89,31
55,89,32
55,89,33
55,89,36
55,90,28
55,90,29
55,90,30
55,90,31
55,90,32
55,90,33
55,90,34
55,90,35
55,90,36
55,90,37
55,90,38
55,91,29
55,91,30
55,91,31
55,91,32
55,91,33
55,91,34
55,91,35
55,92,29
55,92,30
55,92,31
55,92,32
55,92,33
55,92,34
55,92,35
55,92,36
55,93,30
55,93,31
55,93,32
55,93,33
55,93,34
55,93,35
55,94,31
55,94,32
55,94,33
55,94,34
55,94,35
55,94,36
55,94,37
55,95,33
55,95,34
55,95,35
55,95,36
55,95,37
55,95,38
55,96,35
55,96,36
55,96,37
55,96,38
55,96,39
55,96,40
55,96,41
55,97,35
55,97,36
55,97,37
55,97,38
55,97,39
55,97,40
55,97,41
55,97,42
55,98,36
55,98,37
55,98,38
55,98,39
55,98,40
55,98,41
55,98,42
55,99,35
55,99,36
55,99,37
55,99,38
55,99,39
55,99,40
55,99,41
55,99,42
55,100,36
55,100,37
55,100,38
55,100,39
55,100,40
55,100,41
55,100,42
55,101,36
55,101,37
55,101,38
55,101,39
55,101,40
55,101,41
55,101,42
55,102,36
55,102,37
55,102,38
55,102,39
55,102,40
55,102,41
55,103,37
55,103,38
55,103,39
55,103,40
55,103,41
55,104,37
55,104,38
55,104,39
55,104,40
55,104,41
55,104,42
55,105,37
55,105,38
55,105,39
55,105,40
55,105,41
55,106,37
55,106,38
55,106,39
55,106,40
55,106,41
55,106,42
55,107,38
55,107,39
55,107,40
55,107,41
55,108,38
55,108,39
55,108,40
55,108,41
55,109,37
55,109,38
55,109,39
56,75,28
56,76,26
56,76,27
56,76,28
56,77,26
56,77,27
56,77,28
56,78,25
56,78,26
56,78,27
56,78,28
56,78,29
56,79,25
56,79,26
56,79,27
56,79,28
56,79,29
56,80,24
56,80,25
56,80,26
56,80,27
56,80,28
56,80,29
56,80,30
56,81,24
56,81,25
56,81,26
56,81,27
56,81,28
56,82,24
56,82,25
56,82,26
56,82,27
56,82,28
56,82,29
56,83,24
56,83,25
56,83,26
56,83,27
56,83,28
56,83,29
56,84,25
56,84,26
56,84,27
56,84,28
56,84,29
56,84,30
56,85,25
56,85,26
56,85,27
56,85,28
56,85,29
56,85,30
56,85,31
56,86,26
56,86,27
56,86,28
56,86,29
56,86,30
56,86,31
56,87,26
56,87,27
56,87,28
56,87,29
56,87,30
56,87,31
56,88,26
56,88,27
56,88,28
56,88,29
56,88,30
56,88,31
56,89,27
56,89,28
56,89,29
56,89,30
56,89,31
56,90,27
56,90,28
56,90,29
56,90,30
56,90,31
56,90,32
56,91,28
56,91,29
56,91,30
56,91,31
56,91,32
56,91,33
56,92,29
56,92,30
56,92,31
56,92,32
56,92,33
56,92,34
56,93,29
56,93,30
56,93,31
56,93,32
56,93,33
56,93,34
56,93,35
56,94,29
56,94,30
56,94,31
56,94,32
56,94,33
56,94,34
56,94,35
56,94,36
56,94,37
56,95,31
56,95,32
56,95,33
56,95,34
56,95,35
56,95,36
56,95,37
56,95,38
56,96,33
56,96,34
56,96,35
56,96,36
56,96,37
56,96,38
56,96,39
56,96,40
56,96,41
56,97,34
56,97,35
56,97,36
56,97,37
56,97,38
56,97,39
56,97,40
56,97,41
56,98,33
56,98,34
56,98,35
56,98,36
56,98,37
56,98,38
56,98,39
56,98,40
56,98,41
56,99,33
56,99,34
56,99,35
56,99,36
56,99,37
56,99,38
56,99,39
56,99,40
56,99,41
56,100,36
56,100,37
56,100,38
56,100,39
56,100,40
56,100,41
56,101,36
56,101,37
56,101,38
56,101,39
56,101,40
56,102,36
56,102,37
56,102,38
56,102,39
56,102,40
56,103,36
56,103,37
56,103,38
56,103,39
56,103,40
56,104,36
56,104,37
56,104,38
56,104,39
56,104,40
56,104,41
56,105,36
56,105,37
56,105,38
56,105,39
56,105,40
56,105,41
56,106,37
56,106,38
56,106,39
56,106,40
56,106,41
56,107,37
56,107,38
56,107,39
56,107,40
56,107,41
56,108,37
56,108,38
56,108,39
56,108,40
56,108,41
56,108,42
56,109,38
56,109,39
56,109,40
56,109,41
56,110,38
56,110,39
56,110,40
56,110,41
57,74,27
57,74,28
57,74,29
57,75,25
57,75,26
57,75,27
57,75,28
57,75,29
57,76,25
57,76,26
57,76,27
57,76,28
57,76,29
57,77,24
57,77,25
57,77,26
57,77,27
57,77,28
57,77,29
57,78,24
57,78,25
57,78,26
57,78,27
57,78,28
57,78,29
57,79,24
57,79,25
57,79,26
57,79,27
57,79,28
57,79,29
57,80,24
57,80,25
57,80,26
57,80,27
57,80,28
57,80,29
57,81,24
57,81,25
57,81,26
57,81,27
57,81,28
57,82,24
57,82,25
57,82,26
57,82,27
57,82,28
57,82,29
57,83,24
57,83,25
57,83,26
57,83,27
57,83,28
57,83,29
57,84,24
57,84,25
57,84,26
57,84,27
57,84,28
57,84,29
57,84,30
57,85,24
57,85,25
57,85,26
57,85,27
57,85,28
57,85,29
57,85,30
57,86,25
57,86,26
57,86,27
57,86,28
57,86,29
57,86,30
57,87,25
57,87,26
57,87,27
57,87,28
57,87,29
57,87,30
57,88,25
57,88,26
57,88,27
57,88,28
57,88,29
57,88,30
57,89,27
57,89,28
57,89,29
57,89,30
57,89,31
57,90,26
57,90,27
57,90,28
57,90,29
57,90,30
57,90,31
57,91,27
57,91,28
57,91,29
57,91,30
57,91,31
57,91,32
57,92,28
57,92,29
57,92,30
57,92,31
57,92,32
57,92,33
57,93,28
57,93,29
57,93,30
57,93,31
57,93,32
57,93,33
57,93,34
57,93,35
57,94,30
57,94,31
57,94,32
57,94,33
57,94,34
57,94,35
57,94,36
57,95,30
57,95,31
57,95,32
57,95,33
57,95,34
57,95,35
57,95,36
57,95,37
57,96,32
57,96,33
57,96,34
57,96,35
57,96,36
57,96,37
57,97,32
57,97,33
57,97,34
57,97,35
57,97,36
57,97,37
57,97,38
57,97,39
57,97,40
57,98,31
57,98,32
57,98,33
57,98,34
57,98,35
57,98,36
57,98,37
57,98,38
57,98,39
57,98,40
57,99,32
57,99,33
57,99,34
57,99,35
57,99,36
57,99,37
57,99,38
57,99,39
57,99,40
57,100,35
57,100,36
57,100,37
57,100,38
57,100,39
57,100,40
57,101,35
57,101,36
57,101,37
57,101,38
57,101,39
57,101,40
57,102,35
57,102,36
57,102,37
57,102,38
57,102,39
57,102,40
57,103,34
57,103,35
57,103,36
57,103,37
57,103,38
57,103,39
57,103,40
57,104,32
57,104,33
57,104,34
57,104,35
57,104,36
57,104,37
57,104,38
57,104,39
57,104,40
