"x","y","z"
53,127,60
53,127,61
53,127,62
53,127,63
53,127,64
54,123,57
54,124,58
54,124,59
54,124,60
54,124,61
54,124,62
54,124,63
54,125,58
54,125,59
54,125,60
54,125,61
54,125,62
54,125,63
54,125,64
54,125,65
54,126,59
54,126,60
54,126,61
54,126,62
54,126,63
54,126,64
54,126,65
54,127,60
54,127,61
54,127,62
54,127,63
54,127,64
55,122,56
55,122,57
55,122,58
55,122,59
55,122,60
55,122,61
55,122,62
55,122,63
55,122,64
55,122,65
55,123,57
55,123,58
55,123,59
55,123,60
55,123,61
55,123,62
55,123,63
55,123,64
55,123,65
55,124,58
55,124,59
55,124,60
55,124,61
55,124,62
55,124,63
55,124,64
55,124,65
55,124,66
55,125,58
55,125,59
55,125,60
55,125,61
55,125,62
55,125,63
55,125,64
55,125,65
55,125,66
55,126,59
55,126,60
55,126,61
55,126,62
55,126,63
55,126,64
55,126,65
56,120,57
56,121,56
56,121,57
56,121,58
56,121,59
56,121,60
56,121,61
56,121,62
56,121,63
56,121,64
56,121,65
56,122,56
56,122,57
56,122,58
56,122,59
56,122,60
56,122,61
56,122,62
56,122,63
56,122,64
56,122,65
56,123,57
56,123,58
56,123,59
56,123,60
56,123,61
56,123,62
56,123,63
56,123,64
56,123,65
56,123,66
56,123,67
57,118,56
57,118,57
57,118,58
57,119,57
57,119,58
57,119,59
57,119,60
57,119,61
57,119,62
57,119,63
57,120,56
57,120,57
57,120,58
57,120,59
57,120,60
57,120,61
57,120,62
57,120,63
57,120,64
57,120,65
57,121,56
57,121,57
57,121,58
57,121,59
57,121,60
57,121,61
57,121,62
57,121,63
57,121,64
57,121,65
57,121,66
57,121,67
58,118,57
58,118,58
58,119,57
58,119,58
58,119,59
58,119,60
58,119,61
58,119,62
58,119,63
58,119,64
58,119,65
58,120,56
58,120,57
58,120,58
58,120,59
58,120,60
58,120,61
58,120,62
58,120,63
58,120,64
59,115,55
59,115,56
59,116,56
59,116,57
59,116,58
59,116,59
59,117,56
59,117,57
59,117,58
59,118,58
59,118,59
59,118,60
59,118,61
59,119,60
59,119,61
59,119,62
59,119,63
59,119,64
59,119,65
59,119,66
60,113,56
60,113,57
60,113,58
60,114,56
60,114,57
60,115,55
60,115,56
60,115,57
60,115,58
60,116,56
60,116,57
60,116,58
60,116,59
60,117,56
60,117,57
60,117,58
60,117,59
60,117,60
60,117,61
60,117,62
60,117,63
60,117,64
60,118,58
60,118,59
60,118,60
60,118,61
60,118,62
60,118,63
60,118,64
60,118,65
60,118,66
60,119,64
60,119,65
60,119,66
60,119,67
61,112,56
61,112,57
61,112,58
61,112,59
61,113,56
61,113,57
61,113,58
61,113,59
61,114,56
61,114,57
61,114,58
61,114,59
61,115,55
61,115,56
61,115,57
61,115,58
61,115,59
61,116,58
61,116,59
61,116,60
61,116,61
61,117,57
61,117,58
61,117,59
61,117,60
61,117,61
61,117,62
61,117,63
61,117,64
61,117,65
61,117,66
61,118,60
61,118,61
61,118,62
61,118,63
61,118,64
61,118,65
61,118,66
61,118,67
62,111,57
62,111,58
62,111,59
62,112,56
62,112,57
62,112,58
62,112,59
62,112,60
62,113,57
62,113,58
62,113,59
62,113,60
62,114,56
62,114,57
62,114,58
62,114,59
62,114,60
62,115,58
62,115,59
62,115,60
62,115,61
62,116,58
62,116,59
62,116,60
62,116,61
62,116,62
62,116,63
62,117,61
62,117,62
62,117,63
62,117,64
62,117,65
62,117,66
63,111,57
63,111,58
63,111,59
63,111,60
63,111,61
63,112,58
63,112,59
63,112,60
63,112,61
63,113,58
63,113,59
63,113,60
63,113,61
63,114,58
63,114,59
63,114,60
63,114,61
63,114,62
63,115,59
63,115,60
63,115,61
63,115,62
63,115,63
63,116,60
63,116,61
63,116,62
63,116,63
63,116,64
63,116,65
63,116,66
63,116,67
63,117,66
63,117,67
64,111,58
64,111,59
64,111,60
64,111,61
64,111,62
64,112,59
64,112,60
64,112,61
64,112,62
64,112,63
64,113,59
64,113,60
64,113,61
64,113,62
64,113,63
64,113,64
64,113,65
64,114,59
64,114,60
