"x","y","z"
58,60,37
58,60,38
58,60,39
58,60,40
58,60,41
59,58,39
59,58,40
59,58,44
59,59,35
59,59,36
59,59,37
59,59,38
59,59,39
59,59,40
59,59,41
59,60,36
59,60,37
59,60,38
59,60,39
59,60,40
59,60,41
59,60,42
59,63,37
59,63,38
59,63,39
59,63,40
60,58,37
60,58,38
60,58,39
60,58,40
60,58,41
60,58,42
60,58,45
60,59,35
60,59,36
60,59,37
60,59,38
60,59,39
60,59,40
60,59,41
60,59,42
60,60,35
60,60,36
60,60,37
60,60,38
60,60,39
60,60,40
60,60,41
60,60,42
60,60,43
60,61,37
60,61,38
60,61,39
60,61,40
60,61,41
60,61,42
60,61,43
60,62,39
60,62,40
60,62,41
60,63,36
60,63,37
60,63,38
60,63,39
60,63,40
60,63,41
60,63,42
60,64,36
60,64,37
60,64,38
61,58,37
61,58,38
61,58,39
61,58,40
61,58,41
61,58,42
61,58,43
61,58,44
61,58,45
61,59,35
61,59,36
61,59,37
61,59,38
61,59,39
61,59,40
61,59,41
61,59,42
61,59,43
61,60,35
61,60,36
61,60,37
61,60,38
61,60,39
61,60,40
61,60,41
61,60,42
61,60,43
61,60,44
61,61,36
61,61,37
61,61,38
61,61,39
61,61,40
61,61,41
61,61,42
61,61,43
61,61,44
61,62,38
61,62,39
61,62,40
61,62,41
61,62,42
61,63,36
61,63,37
61,63,38
61,63,39
61,63,40
61,63,41
61,63,42
61,63,43
61,64,35
61,64,36
61,64,37
61,64,38
61,64,39
61,64,40
61,65,37
61,65,38
62,58,37
62,58,38
62,58,39
62,58,40
62,58,41
62,58,42
62,58,43
62,58,44
62,58,45
62,58,46
62,59,35
62,59,36
62,59,37
62,59,38
62,59,39
62,59,40
62,59,41
62,59,42
62,59,43
62,59,44
62,59,45
62,60,35
62,60,36
62,60,37
62,60,38
62,60,39
62,60,40
62,60,41
62,60,42
62,60,43
62,60,44
62,60,45
62,61,36
62,61,37
62,61,38
62,61,39
62,61,40
62,61,41
62,61,42
62,61,43
62,61,44
62,62,38
62,62,39
62,62,40
62,62,41
62,62,42
62,62,43
62,62,44
62,63,36
62,63,37
62,63,38
62,63,39
62,63,40
62,63,41
62,63,42
62,63,43
