"x","y","z"
47,83,32
47,83,33
47,83,34
47,83,35
47,85,31
47,85,32
47,85,33
47,86,32
48,83,32
48,83,33
48,83,34
48,83,35
48,83,36
48,84,31
48,84,32
48,84,33
48,85,31
48,85,32
48,85,33
48,85,34
48,86,32
48,86,33
49,83,31
49,83,32
49,83,33
49,83,34
49,83,35
49,83,36
49,83,37
49,84,31
49,84,32
49,84,33
49,84,34
49,85,30
49,85,31
49,85,32
49,85,33
49,85,34
49,86,31
49,86,32
49,86,33
49,87,30
49,88,31
49,89,30
49,89,31
49,90,30
49,91,30
50,83,30
50,83,31
50,83,32
50,83,33
50,83,34
50,83,35
50,83,36
50,83,37
50,83,38
50,84,30
50,84,31
50,84,32
50,84,33
50,84,34
50,85,29
50,85,30
50,85,31
50,85,32
50,85,33
50,86,29
50,86,30
50,86,31
50,86,32
50,86,33
50,87,29
50,87,30
50,87,31
50,88,29
50,88,30
50,88,31
50,89,29
50,89,30
50,89,31
50,89,32
50,90,29
50,90,30
50,90,31
50,91,29
50,91,30
50,91,31
51,83,29
51,83,30
51,83,31
51,83,32
51,83,33
51,83,34
51,83,35
51,83,36
51,83,37
51,83,38
51,84,29
51,84,30
51,84,31
51,84,32
51,84,33
51,85,28
51,85,29
51,85,30
51,85,31
51,86,29
51,86,30
51,86,31
51,86,32
51,87,29
51,87,30
51,87,31
51,88,29
51,88,30
51,88,31
51,89,29
51,89,30
51,89,31
51,89,32
51,90,29
51,90,30
51,90,31
51,91,28
51,91,29
51,91,30
51,91,31
51,92,27
51,92,28
51,92,29
52,83,28
52,83,29
52,83,35
52,83,36
52,83,37
52,83,38
52,83,39
52,84,28
52,84,29
52,84,30
52,85,27
52,85,28
52,85,29
52,86,28
52,86,29
52,86,30
52,86,31
52,87,28
52,87,29
52,87,30
52,88,28
52,88,29
52,88,30
52,89,28
52,89,29
52,89,30
52,89,31
52,90,28
52,90,29
52,90,30
52,91,28
52,91,29
52,91,30
52,91,31
52,92,27
52,92,28
52,92,29
52,92,30
52,93,27
52,93,28
52,94,26
52,94,27
52,94,28
52,94,29
53,83,26
53,83,27
53,83,28
53,83,35
53,83,36
53,83,37
53,83,38
53,83,39
53,83,40
53,84,26
53,84,27
53,84,28
53,85,27
53,85,28
53,86,27
53,86,28
53,86,29
53,87,27
53,87,28
53,87,29
53,88,27
53,88,28
53,88,29
53,89,27
53,89,28
53,89,29
53,89,30
53,89,31
53,90,28
53,90,29
53,91,28
53,91,29
53,91,30
53,92,27
53,92,28
53,92,29
53,92,30
53,93,27
53,93,28
53,93,29
