"x","y","z"
33,58,41
33,58,42
33,58,43
33,58,44
33,58,45
33,58,46
33,59,41
33,59,42
33,59,43
33,59,44
33,59,45
33,59,46
33,60,42
33,60,43
33,60,44
33,60,45
33,61,42
33,61,43
33,61,46
33,62,40
33,62,41
33,62,42
34,57,45
34,57,46
34,57,47
34,57,48
34,57,49
34,58,41
34,58,42
34,58,43
34,58,44
34,58,45
34,58,46
34,58,47
34,58,48
34,58,49
34,59,41
34,59,42
34,59,43
34,59,44
34,59,45
34,59,46
34,59,47
34,59,48
34,60,40
34,60,41
34,60,42
34,60,43
34,60,44
34,60,45
34,60,46
34,60,47
34,60,48
34,61,41
34,61,42
34,61,43
34,61,44
34,61,45
34,61,46
34,61,47
34,61,48
34,62,40
34,62,41
34,62,42
34,62,43
34,62,44
34,62,45
34,62,46
34,62,47
34,63,41
34,63,42
34,63,43
34,63,44
34,63,45
34,63,46
35,56,51
35,57,43
35,57,44
35,57,45
35,57,46
35,57,47
35,57,48
35,57,49
35,57,50
35,57,51
35,58,40
35,58,41
35,58,42
35,58,43
35,58,44
35,58,45
35,58,46
35,58,47
35,58,48
35,58,49
35,58,50
35,58,51
35,59,40
35,59,41
35,59,42
35,59,43
35,59,44
35,59,45
35,59,46
35,59,47
35,59,48
35,59,49
35,59,50
35,59,51
35,60,40
35,60,41
35,60,42
35,60,43
35,60,44
35,60,45
35,60,46
35,60,47
35,60,48
35,60,49
35,60,50
35,60,51
35,61,41
35,61,42
35,61,43
35,61,44
35,61,45
35,61,46
35,61,47
35,61,48
35,61,49
35,61,50
35,62,39
35,62,40
35,62,41
35,62,42
35,62,43
35,62,44
35,62,45
35,62,46
35,62,47
35,62,48
35,62,49
35,63,40
35,63,41
35,63,42
35,63,43
35,63,44
35,63,45
35,63,46
35,63,47
35,63,48
36,56,49
36,56,50
36,56,51
36,56,52
36,56,53
36,56,54
36,56,55
36,57,43
36,57,44
36,57,45
36,57,46
36,57,47
36,57,48
36,57,49
36,57,50
36,57,51
36,57,52
36,57,53
36,57,54
36,57,55
36,58,40
36,58,41
36,58,42
36,58,43
36,58,44
36,58,45
36,58,46
36,58,47
36,58,48
36,58,49
36,58,50
36,58,51
36,58,52
36,58,53
36,58,54
36,58,55
36,59,40
36,59,41
36,59,42
36,59,43
36,59,44
36,59,45
36,59,46
36,59,47
36,59,48
36,59,49
36,59,50
36,59,51
36,59,52
36,59,53
36,59,54
36,59,55
36,60,39
36,60,40
36,60,41
36,60,42
36,60,43
36,60,44
36,60,45
36,60,46
36,60,47
36,60,48
36,60,49
36,60,50
36,60,51
36,60,52
36,60,53
36,60,54
36,61,40
36,61,41
36,61,42
36,61,43
36,61,44
36,61,45
36,61,46
36,61,47
36,61,48
36,61,49
36,61,50
36,61,51
36,61,52
36,61,53
36,62,39
36,62,40
36,62,41
36,62,42
36,62,43
36,62,44
36,62,45
36,62,46
36,62,47
36,62,48
36,62,49
36,62,50
36,62,51
36,62,52
36,63,38
36,63,39
36,63,40
36,63,41
36,63,42
36,63,43
36,63,44
36,63,45
36,63,46
36,63,47
36,63,48
36,63,49
36,63,50
36,63,51
37,56,49
37,56,50
37,56,51
37,56,52
37,56,53
37,56,54
37,56,55
37,56,56
37,56,57
37,57,42
37,57,43
37,57,44
37,57,45
37,57,46
37,57,47
37,57,48
37,57,49
37,57,50
37,57,51
37,57,52
37,57,53
37,57,54
37,57,55
37,57,56
37,57,57
37,58,39
37,58,40
37,58,41
37,58,42
37,58,43
37,58,44
37,58,45
37,58,46
37,58,47
37,58,48
37,58,49
37,58,50
37,58,51
37,58,52
37,58,53
37,58,54
37,58,55
37,58,56
37,58,57
37,59,40
37,59,41
37,59,42
37,59,43
37,59,44
37,59,45
37,59,46
37,59,47
37,59,48
37,59,49
37,59,50
37,59,51
37,59,52
37,59,53
37,59,54
37,59,55
37,59,56
37,59,57
37,60,39
37,60,40
37,60,41
37,60,42
37,60,43
37,60,44
37,60,45
37,60,46
37,60,47
37,60,48
37,60,49
37,60,50
37,60,51
37,60,52
37,60,53
37,60,54
37,60,55
37,60,56
37,61,40
37,61,41
37,61,42
37,61,43
37,61,44
37,61,45
37,61,46
37,61,47
37,61,48
37,61,49
37,61,50
37,61,51
37,61,52
37,61,53
37,61,54
37,61,55
37,61,56
