"x","y","z"
31,70,32
31,71,31
31,72,31
32,68,36
32,68,37
32,68,38
32,69,34
32,69,35
32,70,32
32,70,33
32,70,34
32,70,35
32,71,31
32,71,32
32,71,33
32,71,34
32,72,31
32,72,32
33,65,43
33,66,39
33,66,40
33,66,42
33,67,38
33,67,39
33,67,40
33,68,36
33,68,37
33,68,38
33,69,34
33,69,35
33,70,34
33,70,35
33,71,32
33,71,33
33,71,34
34,65,41
34,65,42
34,65,43
34,65,44
34,65,45
34,65,46
34,66,40
34,66,41
34,66,42
34,66,43
34,67,38
34,67,39
34,67,40
34,68,37
34,68,38
34,69,34
34,69,35
34,70,34
34,70,35
34,71,33
34,71,34
35,64,47
35,65,41
35,65,42
35,65,43
35,65,44
35,65,45
35,66,40
35,66,41
35,66,42
35,66,43
35,67,39
35,67,40
35,67,41
35,68,37
35,68,38
36,64,47
36,64,48
36,64,49
36,65,43
36,65,44
36,65,45
36,67,39
36,67,40
36,67,41
37,64,50
37,64,51
37,64,52
38,65,54
39,65,54
39,65,55
39,65,56
39,66,55
39,97,48
39,98,47
40,65,55
40,65,56
40,65,57
40,65,58
40,66,53
40,66,54
40,66,55
40,66,56
40,66,57
40,66,58
40,88,55
40,90,53
40,90,54
40,92,52
40,93,51
40,95,50
40,96,49
40,96,50
40,97,48
40,97,49
40,98,47
40,98,48
40,99,47
40,99,48
40,100,46
40,100,47
40,101,46
40,101,47
40,102,45
40,102,46
40,103,44
40,103,45
40,104,44
40,104,45
40,105,43
41,66,53
41,66,54
41,66,55
41,66,56
41,67,58
41,83,58
41,84,57
41,85,57
41,85,59
41,86,56
41,86,57
41,87,56
41,87,57
41,88,54
41,88,55
41,88,56
41,89,54
41,89,55
41,90,53
41,90,54
41,90,55
41,91,53
41,91,54
41,92,52
41,92,53
41,93,51
41,93,52
41,94,50
41,94,51
41,94,52
41,95,50
41,95,51
41,96,49
41,96,50
41,97,48
41,97,49
41,98,47
41,98,48
41,99,47
41,99,48
41,100,46
41,100,47
41,101,46
41,101,47
41,102,45
41,102,46
41,103,44
41,103,45
41,104,44
41,104,45
41,105,43
41,105,44
41,106,43
41,106,44
41,107,43
41,107,44
41,108,43
41,108,44
41,109,42
41,109,43
41,110,42
41,113,43
42,66,53
42,66,54
42,67,55
42,67,56
42,67,57
42,67,58
42,67,59
42,68,58
42,68,59
42,82,59
