"x","y","z"
49,79,33
49,79,34
50,77,34
50,77,37
50,77,38
50,77,39
50,78,33
50,78,34
50,78,35
50,78,36
50,78,37
50,78,38
50,79,35
50,79,36
50,79,37
50,79,38
50,81,33
50,81,34
50,81,35
51,72,38
51,72,39
51,73,37
51,73,38
51,73,39
51,73,40
51,74,38
51,74,39
51,75,36
51,75,37
51,75,38
51,75,39
51,75,40
51,77,33
51,77,34
51,77,35
51,77,36
51,77,37
51,77,38
51,77,39
51,78,32
51,78,33
51,78,34
51,78,35
51,78,36
51,78,37
51,78,38
51,78,39
51,78,40
51,78,41
51,79,31
51,79,32
51,79,33
51,79,34
51,79,35
51,79,36
51,79,37
51,79,38
51,79,39
51,80,34
51,80,35
51,80,36
51,81,29
51,81,32
51,81,33
51,81,34
51,81,35
51,81,36
51,81,37
51,81,38
52,71,38
52,71,39
52,72,37
52,72,38
52,72,39
52,72,40
52,73,37
52,73,38
52,73,39
52,73,40
52,73,41
52,74,37
52,74,38
52,74,39
52,74,40
52,75,36
52,75,37
52,75,38
52,75,39
52,75,40
52,75,41
52,75,42
52,76,33
52,76,34
52,76,35
52,76,36
52,77,32
52,77,33
52,77,34
52,77,35
52,77,36
52,77,37
52,77,38
52,77,39
52,77,40
52,78,31
52,78,32
52,78,33
52,78,34
52,78,35
52,78,36
52,78,37
52,78,38
52,78,39
52,78,40
52,78,41
52,78,42
52,79,30
52,79,31
52,79,32
52,79,33
52,79,34
52,79,35
52,79,36
52,79,37
52,79,38
52,79,39
52,80,33
52,80,34
52,80,35
52,80,36
52,80,37
52,81,32
52,81,33
52,81,34
52,81,35
52,81,36
52,81,37
52,81,38
52,81,39
53,71,37
53,71,38
53,71,39
53,71,40
53,72,32
53,72,33
53,72,36
53,72,37
53,72,38
53,72,39
53,72,40
53,72,41
53,73,31
53,73,32
53,73,33
53,73,36
53,73,37
53,73,38
53,73,39
53,73,40
53,73,41
53,73,42
53,74,32
53,74,33
53,74,36
53,74,37
53,74,38
53,74,39
53,74,40
53,74,41
53,75,36
53,75,37
53,75,38
53,75,39
53,75,43
53,76,31
53,76,32
53,76,33
53,76,34
53,76,35
53,76,36
53,77,31
53,77,32
53,77,33
53,77,34
53,77,35
53,77,36
53,77,37
53,77,38
53,77,39
53,77,40
53,77,41
53,77,42
53,77,43
53,78,30
53,78,31
53,78,32
53,78,33
53,78,34
53,78,35
53,78,36
53,78,37
53,78,38
53,78,39
53,78,40
53,78,41
53,78,42
53,78,43
53,79,29
53,79,30
53,79,31
53,79,32
53,79,33
53,79,34
53,79,35
53,79,36
53,79,37
53,79,38
53,79,39
53,79,40
53,80,32
53,80,33
53,80,34
53,80,35
53,80,36
53,80,37
53,80,38
53,81,31
53,81,32
53,81,33
53,81,34
53,81,35
53,81,36
53,81,37
53,81,38
53,81,39
53,81,40
54,71,32
54,71,33
54,71,34
54,71,37
54,71,38
54,71,39
54,71,40
54,71,41
54,72,31
54,72,32
54,72,33
54,72,34
54,72,35
54,72,36
54,72,37
54,72,38
54,72,39
54,72,40
54,72,41
54,72,42
54,73,30
54,73,31
54,73,32
54,73,33
54,73,34
54,73,35
54,73,36
54,73,37
54,73,38
54,73,39
54,73,40
54,73,41
54,73,42
54,73,43
54,74,31
54,74,32
54,74,33
54,74,34
54,74,35
54,74,36
54,74,37
54,74,38
54,74,39
54,74,40
54,74,41
54,74,42
54,75,32
54,75,33
54,75,34
54,75,36
54,75,37
54,75,38
54,75,39
54,75,43
54,75,44
54,76,30
54,76,31
54,76,32
54,76,33
54,76,37
54,76,45
54,77,30
54,77,31
54,77,32
54,77,33
54,77,34
54,77,35
54,77,36
54,77,37
54,77,38
54,77,39
54,77,40
54,77,41
54,77,42
54,77,43
54,77,44
54,77,45
54,77,46
54,78,29
54,78,30
54,78,31
54,78,32
54,78,33
54,78,34
54,78,35
54,78,36
54,78,37
54,78,38
54,78,39
54,78,40
54,78,41
54,78,42
54,78,43
54,78,44
54,78,45
54,79,29
54,79,30
54,79,31
54,79,32
54,79,33
54,79,34
54,79,35
54,79,36
54,79,37
54,79,38
54,79,39
54,79,40
54,79,41
54,80,30
54,80,31
54,80,32
54,80,33
54,80,34
54,80,35
54,80,36
54,80,37
54,80,38
54,80,39
54,81,30
54,81,31
54,81,32
54,81,33
54,81,34
54,81,35
54,81,36
54,81,37
54,81,38
54,81,39
54,81,40
54,81,41
54,82,34
54,82,35
54,83,34
54,83,35
54,84,34
54,84,35
54,84,36
54,85,36
54,85,41
54,85,42
54,86,40
54,86,41
55,71,31
55,71,32
55,71,33
55,71,34
55,71,35
55,71,36
55,71,37
55,71,38
55,71,39
55,71,40
55,71,41
55,71,42
55,72,30
55,72,31
55,72,32
55,72,33
55,72,34
55,72,35
55,72,36
55,72,37
55,72,38
55,72,39
55,72,40
55,72,41
55,72,42
55,72,43
55,73,30
55,73,31
55,73,32
55,73,33
55,73,34
55,73,35
55,73,36
55,73,37
55,73,38
55,73,39
55,73,40
55,73,41
55,73,42
55,73,43
55,74,30
55,74,31
55,74,32
55,74,33
55,74,34
55,74,35
55,74,36
55,74,37
55,74,38
55,74,39
55,74,40
55,74,41
55,74,42
55,74,43
55,75,31
55,75,32
55,75,33
55,75,34
55,75,37
55,75,38
55,75,39
55,75,40
55,75,41
55,75,42
55,75,43
55,75,44
55,75,45
55,76,29
55,76,30
55,76,31
55,76,32
55,76,33
55,76,34
55,76,38
55,76,42
55,76,43
55,76,44
55,76,45
55,76,46
55,77,29
55,77,30
55,77,31
55,77,32
55,77,33
55,77,34
55,77,35
55,77,36
55,77,37
55,77,38
55,77,39
55,77,40
55,77,41
55,77,42
55,77,43
55,77,44
55,77,45
55,77,46
55,77,47
55,78,29
55,78,30
55,78,31
55,78,32
55,78,33
55,78,34
55,78,35
55,78,36
55,78,37
55,78,38
55,78,39
55,78,40
55,78,41
55,78,42
55,78,43
55,78,44
55,78,45
55,78,46
55,78,47
55,79,29
55,79,30
55,79,31
55,79,32
55,79,33
55,79,34
55,79,35
55,79,36
55,79,37
55,79,38
55,79,39
55,79,40
55,79,41
55,79,42
55,79,43
55,80,31
55,80,32
55,80,33
55,80,34
55,80,35
55,80,36
55,80,37
55,80,38
55,80,39
55,80,40
55,80,41
55,80,42
55,81,30
55,81,31
55,81,32
55,81,33
55,81,34
55,81,35
55,81,36
55,81,37
55,81,38
55,81,39
55,81,40
55,81,41
55,82,32
55,82,33
55,82,34
55,82,35
55,82,36
55,83,32
55,83,33
55,83,34
55,83,35
55,83,36
55,83,37
55,84,33
55,84,34
55,84,35
55,84,36
55,84,37
55,84,42
55,84,43
55,85,33
55,85,34
55,85,35
55,85,36
55,85,37
55,85,38
55,85,39
55,85,41
55,85,42
55,85,43
55,86,33
55,86,34
55,86,35
55,86,36
55,86,37
55,86,38
55,86,39
55,86,40
55,86,41
55,86,42
55,86,43
55,86,44
55,87,34
55,87,35
55,87,36
55,87,37
55,87,38
55,87,39
55,87,40
55,87,41
55,87,42
55,87,43
55,87,44
55,88,34
55,88,35
55,88,36
55,88,37
55,88,40
55,88,41
55,88,42
55,88,43
55,88,44
55,89,34
55,89,35
55,89,40
55,89,43
55,90,42
55,90,43
55,91,42
56,71,31
56,71,32
56,71,33
56,71,34
56,71,35
56,71,36
56,71,37
56,71,38
56,71,39
56,71,40
56,71,41
56,71,42
56,72,30
56,72,31
56,72,32
56,72,33
56,72,34
56,72,35
56,72,36
56,72,37
56,72,38
56,72,39
56,72,40
56,72,41
56,72,42
56,72,43
56,73,30
56,73,31
56,73,32
56,73,33
56,73,34
56,73,35
56,73,36
56,73,37
56,73,38
56,73,39
56,73,40
56,73,41
56,73,42
56,73,43
56,74,30
56,74,31
56,74,32
56,74,33
56,74,34
56,74,35
56,74,36
56,74,37
56,74,38
56,74,39
56,74,40
56,74,41
56,74,42
56,74,43
56,74,44
56,75,31
56,75,32
56,75,33
56,75,34
56,75,35
56,75,37
56,75,38
56,75,39
56,75,40
56,75,41
56,75,42
56,75,43
56,75,44
56,75,45
56,76,29
56,76,30
56,76,31
56,76,32
56,76,33
56,76,34
56,76,35
56,76,38
56,76,39
56,76,40
56,76,41
56,76,42
56,76,43
56,76,44
56,76,45
56,76,46
56,77,29
56,77,30
56,77,31
56,77,32
56,77,33
56,77,34
56,77,35
56,77,36
56,77,37
56,77,38
56,77,39
56,77,40
56,77,41
56,77,42
56,77,43
56,77,44
56,77,45
56,77,46
56,77,47
56,78,30
56,78,31
56,78,32
56,78,33
56,78,34
56,78,35
56,78,36
56,78,37
56,78,38
56,78,39
56,78,40
56,78,41
56,78,42
56,78,43
56,78,44
56,78,45
56,78,46
56,78,47
56,79,30
56,79,31
56,79,32
56,79,33
56,79,34
56,79,35
56,79,36
56,79,37
56,79,38
56,79,39
56,79,40
56,79,41
56,79,42
56,79,43
56,79,44
56,79,45
56,79,46
56,80,31
56,80,32
56,80,33
56,80,34
56,80,35
56,80,36
56,80,37
56,80,38
56,80,39
56,80,40
56,80,41
56,80,42
56,80,43
56,80,44
56,80,45
56,80,46
56,81,29
56,81,30
56,81,31
56,81,32
56,81,33
56,81,34
56,81,35
56,81,36
56,81,37
56,81,38
56,81,39
56,81,40
56,81,41
56,81,42
56,82,32
56,82,33
56,82,34
56,82,35
56,82,36
56,82,37
56,83,32
56,83,33
56,83,34
56,83,35
56,83,36
56,83,37
56,83,38
56,83,43
56,84,32
56,84,33
56,84,34
56,84,35
56,84,36
56,84,37
56,84,38
56,84,42
56,84,43
