"x","y","z"
38,105,52
41,85,20
42,85,19
43,116,55
49,76,36
49,76,37
49,76,38
50,76,35
50,76,36
50,76,37
50,76,38
50,76,39
50,82,30
51,61,27
51,76,38
51,76,39
51,76,40
51,82,29
51,82,30
51,82,31
51,82,32
51,82,33
51,82,34
51,82,35
51,82,36
51,82,37
51,84,34
51,84,35
51,84,36
51,84,37
51,90,32
52,50,33
52,76,37
52,76,38
52,76,39
52,76,40
52,76,41
52,76,42
52,82,28
52,82,29
52,82,31
52,82,32
52,82,33
52,82,34
52,82,35
52,82,36
52,82,37
52,82,38
52,83,30
52,83,31
52,83,32
52,83,33
52,83,34
52,84,34
52,84,35
52,84,36
52,84,37
53,47,50
53,61,29
53,75,40
53,76,37
53,76,38
53,76,39
53,76,40
53,76,41
53,76,42
53,76,43
53,76,44
53,82,30
53,82,31
53,82,32
53,82,33
53,82,34
53,82,35
53,82,36
53,82,37
53,82,38
53,82,39
53,83,29
53,83,30
53,83,31
53,83,32
53,83,33
53,83,34
53,84,34
53,84,35
53,84,36
53,84,37
54,75,35
54,75,40
54,75,41
54,75,42
54,76,34
54,76,35
54,76,36
54,76,38
54,76,39
54,76,40
54,76,41
54,76,42
54,76,43
54,76,44
54,76,46
54,82,30
54,82,31
54,82,32
54,82,33
54,82,36
54,82,37
54,82,38
54,82,39
54,82,40
54,83,30
54,83,31
54,83,32
54,83,33
54,84,33
54,84,37
54,84,38
54,85,35
54,85,37
55,75,35
55,75,36
55,76,35
55,76,36
55,76,37
55,76,39
55,76,40
55,76,41
55,82,30
55,82,31
55,82,37
55,82,38
55,82,39
55,82,40
55,82,41
55,83,30
55,83,31
55,84,32
55,84,38
55,84,39
55,88,38
55,88,39
55,89,37
55,89,38
55,89,39
55,90,39
55,96,42
55,97,26
56,75,36
56,76,36
56,76,37
56,80,47
56,82,30
56,82,31
56,82,38
56,82,39
56,82,40
56,82,41
56,83,30
56,83,31
56,84,31
56,84,39
56,84,40
56,84,41
56,96,42
56,97,25
56,97,26
56,106,28
56,106,29
57,64,23
57,82,30
57,82,39
57,82,40
57,83,30
57,84,40
57,95,27
57,97,25
57,97,26
57,98,25
57,99,25
57,105,31
57,105,32
57,106,28
57,106,29
57,106,30
57,106,31
57,107,27
57,107,28
57,107,29
57,107,30
57,108,27
57,108,28
57,108,29
58,63,21
58,64,22
58,64,23
58,76,22
58,77,29
58,82,29
58,82,30
58,82,40
58,83,29
58,83,30
58,84,30
58,86,30
58,87,30
58,91,42
58,91,43
58,92,41
58,92,42
58,92,43
58,92,44
58,97,25
58,97,26
58,98,26
58,99,25
58,105,31
58,106,30
58,106,31
58,106,32
58,106,33
58,107,27
58,107,28
58,107,29
58,107,30
58,107,31
